t_dec,ueId,cell,HO_next,ueSinrDb,eveSinrDb,secrecy,outage,ueSinrDb_prev,secrecy_prev,outage_prev,d_ueSinrDb,d_secrecy
4.0,0,3,0,36.2369,2.57695,10.5474,0,43.1333,6.80066,0.0,-6.8964,3.74674
6.0,0,3,0,42.4333,16.7524,8.50093,0,36.2369,10.5474,0.0,6.196400000000004,-2.0464699999999993
8.0,0,3,0,41.2675,26.8141,4.79842,0,42.4333,8.50093,0.0,-1.1658000000000044,-3.70251
10.0,0,3,0,42.4084,11.3857,10.2044,0,41.2675,4.79842,0.0,1.140900000000002,5.40598
12.0,0,3,0,34.8424,18.7126,5.33938,0,42.4084,10.2044,0.0,-7.5660000000000025,-4.8650199999999995
14.0,0,3,0,36.9196,10.6983,8.59293,0,34.8424,5.33938,0.0,2.077200000000005,3.2535500000000006
16.0,0,3,0,36.1518,18.3486,5.8935,0,36.9196,8.59293,0.0,-0.7678000000000011,-2.6994300000000004
18.0,0,3,0,25.0623,15.4906,3.14394,0,36.1518,5.8935,0.0,-11.089500000000001,-2.7495600000000002
20.0,0,3,0,31.552,14.0326,5.7649,0,25.0623,3.14394,0.0,6.489699999999999,2.6209599999999997
22.0,0,3,0,14.9819,-4.54146,4.58749,0,31.552,5.7649,0.0,-16.5701,-1.17741
24.0,0,3,0,23.5425,16.2739,2.38731,0,14.9819,4.58749,0.0,8.5606,-2.20018
26.0,0,3,0,25.1037,23.5317,0.52028,0,23.5425,2.38731,0.0,1.5611999999999995,-1.8670299999999997
28.0,0,3,0,21.1245,12.8537,2.68569,0,25.1037,0.52028,0.0,-3.9791999999999987,2.16541
30.0,0,3,0,16.5573,18.2506,0.0,1,21.1245,2.68569,0.0,-4.5672,-2.68569
32.0,0,3,0,21.217,13.0128,2.66589,0,16.5573,0.0,1.0,4.659699999999997,2.66589
34.0,0,3,0,3.37373,14.4039,0.0,1,21.217,2.66589,0.0,-17.843269999999997,-2.66589
36.0,0,3,0,7.78113,6.48396,0.360891,0,3.37373,0.0,1.0,4.4074,0.360891
4.0,1,9,1,-9.47478,-100.0,0.154266,0,-4.16054,0.468489,0.0,-5.314240000000001,-0.31422300000000003
6.0,1,3,0,12.4906,16.7524,0.0,1,-9.47478,0.154266,0.0,21.965380000000003,-0.154266
8.0,1,3,0,21.818,26.8141,0.0,1,12.4906,0.0,1.0,9.3274,0.0
10.0,1,3,0,10.6269,11.3857,0.0,1,21.818,0.0,1.0,-11.191100000000002,0.0
12.0,1,3,0,-0.0614787,18.7126,0.0,1,10.6269,0.0,1.0,-10.6883787,0.0
14.0,1,3,0,0.891462,10.6983,0.0,1,-0.0614787,0.0,1.0,0.9529407,0.0
16.0,1,3,0,2.57711,18.3486,0.0,1,0.891462,0.0,1.0,1.6856479999999998,0.0
18.0,1,3,0,6.31335,15.4906,0.0,1,2.57711,0.0,1.0,3.73624,0.0
20.0,1,3,0,17.2454,14.0326,1.03832,0,6.31335,0.0,1.0,10.93205,1.03832
