t_dec,ueId,cell,HO_next,ueSinrDb,eveSinrDb,secrecy,outage,ueSinrDb_prev,secrecy_prev,outage_prev,d_ueSinrDb,d_secrecy
4.0,0,2,0,32.5722,-100.0,10.8211,0,23.5885,7.84225,0.0,8.983700000000002,2.9788499999999996
6.0,0,2,0,24.7095,-100.0,8.21319,0,32.5722,10.8211,0.0,-7.862700000000004,-2.6079099999999986
8.0,0,2,0,20.4281,-100.0,6.79907,0,24.7095,8.21319,0.0,-4.281399999999998,-1.4141200000000005
10.0,0,2,0,27.0147,-100.0,8.97697,0,20.4281,6.79907,0.0,6.586600000000001,2.1778999999999993
12.0,0,2,0,19.4173,-100.0,6.46668,0,27.0147,8.97697,0.0,-7.5974,-2.5102899999999995
14.0,0,2,0,26.4964,-100.0,8.80515,0,19.4173,6.46668,0.0,7.0791,2.338469999999999
16.0,0,2,0,17.6054,-100.0,5.87322,0,26.4964,8.80515,0.0,-8.891000000000002,-2.9319299999999995
18.0,0,2,0,23.7603,-100.0,7.89907,0,17.6054,5.87322,0.0,6.154900000000001,2.02585
20.0,0,2,0,24.3578,-100.0,8.09675,0,23.7603,7.89907,0.0,0.5975000000000001,0.19768000000000008
22.0,0,2,0,21.7977,-100.0,7.25055,0,24.3578,8.09675,0.0,-2.560100000000002,-0.8462000000000005
24.0,0,2,0,14.3339,-100.0,4.81383,0,21.7977,7.25055,0.0,-7.463799999999999,-2.4367199999999993
26.0,0,2,0,23.4448,-100.0,7.79471,0,14.3339,4.81383,0.0,9.1109,2.98088
28.0,0,2,0,3.63788,-100.0,1.72724,0,23.4448,7.79471,0.0,-19.80692,-6.06747
30.0,0,2,0,20.5332,-100.0,6.83369,0,3.63788,1.72724,0.0,16.89532,5.10645
32.0,0,2,0,49.6427,-100.0,16.491,0,20.5332,6.83369,0.0,29.109499999999997,9.657309999999999
34.0,0,2,0,12.9648,-100.0,4.37793,0,49.6427,16.491,0.0,-36.677899999999994,-12.11307
36.0,0,2,0,14.8611,-100.0,4.98311,0,12.9648,4.37793,0.0,1.8963,0.6051799999999998
4.0,1,1,0,5.35626,-15.294,2.10614,0,9.46434,3.22467,0.0,-4.10808,-1.1185300000000002
6.0,1,1,0,11.5568,-10.0467,3.80044,0,5.35626,2.10614,0.0,6.200540000000001,1.6943000000000001
8.0,1,1,0,-29.2014,-9.60823,0.0,1,11.5568,3.80044,0.0,-40.7582,-3.80044
10.0,1,1,0,12.062,-15.7161,4.05578,0,-29.2014,0.0,1.0,41.2634,4.05578
12.0,1,1,0,3.19371,-18.6181,1.60617,0,12.062,4.05578,0.0,-8.86829,-2.4496100000000003
14.0,1,1,0,0.56423,-14.7874,1.04963,0,3.19371,1.60617,0.0,-2.62948,-0.55654
16.0,1,1,0,-28.023,-18.0529,0.0,1,0.56423,1.04963,0.0,-28.587229999999998,-1.04963
18.0,1,1,0,0.782131,-8.33839,0.938377,0,-28.023,0.0,1.0,28.805131,0.938377
20.0,1,1,0,-0.0974179,-11.616,0.887743,0,0.782131,0.938377,0.0,-0.8795489000000001,-0.05063400000000007
22.0,1,1,0,42.0515,-11.8102,13.8772,0,-0.0974179,0.887743,0.0,42.1489179,12.989457
24.0,1,1,0,-1.35807,-11.4869,0.693022,0,42.0515,13.8772,0.0,-43.409569999999995,-13.184178
26.0,1,1,0,10.3771,-12.023,3.48593,0,-1.35807,0.693022,0.0,11.73517,2.792908
28.0,1,1,0,9.62562,-9.24575,3.18466,0,10.3771,3.48593,0.0,-0.7514800000000008,-0.30127000000000015
30.0,1,1,0,2.34942,-13.4416,1.37849,0,9.62562,3.18466,0.0,-7.276199999999999,-1.80617
32.0,1,1,0,-0.572508,-14.9665,0.862782,0,2.34942,1.37849,0.0,-2.921928,-0.5157079999999999
34.0,1,1,0,4.76314,-10.7193,1.88065,0,-0.572508,0.862782,0.0,5.335648,1.017868
36.0,1,1,0,0.558985,-16.6855,1.06521,0,4.76314,1.88065,0.0,-4.204155,-0.8154399999999999
4.0,2,5,0,14.2298,-100.0,4.7805,0,5.50585,2.18679,0.0,8.723949999999999,2.59371
6.0,2,5,0,8.58764,-100.0,3.0398,0,14.2298,4.7805,0.0,-5.642159999999999,-1.7407
8.0,2,5,0,10.2025,-100.0,3.5207,0,8.58764,3.0398,0.0,1.6148600000000002,0.4809000000000001
10.0,2,5,0,13.0601,-100.0,4.40806,0,10.2025,3.5207,0.0,2.8575999999999997,0.8873599999999997
12.0,2,5,0,2.73617,-100.0,1.5249,0,13.0601,4.40806,0.0,-10.32393,-2.88316
14.0,2,5,0,13.1571,-100.0,4.43879,0,2.73617,1.5249,0.0,10.42093,2.9138900000000003
16.0,2,5,0,12.9704,-100.0,4.37968,0,13.1571,4.43879,0.0,-0.1867000000000001,-0.05911000000000044
18.0,2,5,0,13.3857,-100.0,4.51133,0,12.9704,4.37968,0.0,0.4153000000000002,0.1316500000000005
20.0,2,5,0,8.45741,-100.0,3.00187,0,13.3857,4.51133,0.0,-4.9282900000000005,-1.5094600000000002
22.0,2,5,0,46.4429,-100.0,15.428,0,8.45741,3.00187,0.0,37.98549,12.42613
24.0,2,5,0,6.98154,-100.0,2.5827,0,46.4429,15.428,0.0,-39.46136,-12.845300000000002
26.0,2,5,0,4.11596,-100.0,1.8399,0,6.98154,2.5827,0.0,-2.8655799999999996,-0.7427999999999999
28.0,2,5,0,9.98211,-100.0,3.45403,0,4.11596,1.8399,0.0,5.86615,1.6141299999999998
30.0,2,5,0,-9.12727,-100.0,0.166403,0,9.98211,3.45403,0.0,-19.10938,-3.287627
32.0,2,5,0,14.1342,-100.0,4.74992,0,-9.12727,0.166403,0.0,23.26147,4.5835170000000005
34.0,2,5,0,6.56472,-100.0,2.4683,0,14.1342,4.74992,0.0,-7.5694799999999995,-2.28162
36.0,2,5,0,46.1902,-100.0,15.3441,0,6.56472,2.4683,0.0,39.625479999999996,12.875799999999998
4.0,3,2,0,10.8758,-100.0,3.7262,0,5.56074,2.20104,0.0,5.31506,1.52516
6.0,3,2,0,45.7783,-100.0,15.2073,0,10.8758,3.7262,0.0,34.9025,11.4811
8.0,3,2,0,-5.39988,-100.0,0.365593,0,45.7783,15.2073,0.0,-51.17818,-14.841707
