Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,BestDonorDistanceM,XhaulConnected,XhaulChannelVariationDb,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,XhaulDegradationActive,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,UavSwitchingXappAvailable,UavSwitchingXappState,BackhaulMode,RicControlState,ActiveUavRic,NormalUeHandoverAllowed,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode,recent_dl_pdr,recent_dl_delay_ms,recent_dl_throughput_mbps,recent_ul_pdr,recent_ul_delay_ms,recent_ul_throughput_mbps,ResultDir,SeedGroup,ScenarioKind
4.5,tn-uav-satellite,0,5,1,1451.84,1,0.434841,-103.074,UNREACHABLE,0,UNREACHABLE,0,0,12.3134,7.79283,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
4.5,tn-uav-satellite,1,6,4,629.258,1,-2.28216,-85.4578,HEALTHY,0,HEALTHY,0,0,12.2681,7.74747,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
4.5,tn-uav-satellite,2,7,2,765.017,1,-0.793916,-88.7207,HEALTHY,0,HEALTHY,0,0,10.0691,5.54852,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
6.5,tn-uav-satellite,0,5,1,1479.21,1,-3.5052,-107.468,UNREACHABLE,2,UNREACHABLE,0,0,6.94574,2.42514,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
6.5,tn-uav-satellite,1,6,4,628.779,1,-3.9027,-87.0598,HEALTHY,2,HEALTHY,0,0,13.3539,8.83325,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
6.5,tn-uav-satellite,2,7,2,791.903,1,-0.170944,-88.9378,HEALTHY,2,HEALTHY,0,0,11.0803,6.5597,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
8.5,tn-uav-satellite,0,5,1,1514.22,1,0.172433,-104.359,UNREACHABLE,4,UNREACHABLE,0,0,8.25714,3.73654,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
8.5,tn-uav-satellite,1,6,4,632.214,1,2.22826,-81.0613,HEALTHY,4,HEALTHY,0,0,7.96809,3.44749,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
8.5,tn-uav-satellite,2,7,2,826.989,1,0.725406,-89.0958,HEALTHY,4,HEALTHY,0,0,11.513,6.99237,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
10.5,tn-uav-satellite,0,5,3,1668.54,1,1.3721,-105.52,UNREACHABLE,6,UNREACHABLE,0,0,13.1748,8.6542,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
10.5,tn-uav-satellite,1,6,4,637.453,1,-7.24567,-90.736,HEALTHY,6,HEALTHY,0,0,10.5669,6.04633,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
10.5,tn-uav-satellite,2,7,2,863.527,1,-4.11727,-94.9899,HEALTHY,6,HEALTHY,0,0,15.8705,11.3499,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
12.5,tn-uav-satellite,0,5,3,1687.11,1,-0.892629,-108.054,UNREACHABLE,8,UNREACHABLE,0,0,14.2584,9.7378,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
12.5,tn-uav-satellite,1,6,4,648.119,1,2.56656,-81.3273,HEALTHY,8,HEALTHY,0,0,10.0224,5.50177,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
12.5,tn-uav-satellite,2,7,2,901.341,1,1.04915,-90.8658,HEALTHY,8,HEALTHY,0,0,11.6598,7.13921,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
14.5,tn-uav-satellite,0,5,1,1623.92,1,3.02157,-103.211,UNREACHABLE,10,UNREACHABLE,0,0,12.3675,7.8469,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
14.5,tn-uav-satellite,1,6,4,660.708,1,-3.75201,-88.1138,HEALTHY,10,HEALTHY,0,0,12.2461,7.72551,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
14.5,tn-uav-satellite,2,7,2,940.276,1,-2.04708,-94.9906,HEALTHY,10,HEALTHY,0,0,16.2231,11.7025,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
16.5,tn-uav-satellite,0,5,1,1663.07,1,-1.35744,-108.17,UNREACHABLE,12,UNREACHABLE,0,0,10.0042,5.48355,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
16.5,tn-uav-satellite,1,6,4,663.059,1,-2.66666,-87.1148,HEALTHY,12,HEALTHY,0,0,12.8287,8.30806,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
16.5,tn-uav-satellite,2,7,2,983.008,1,-5.34018,-99.3646,HEALTHY,12,HEALTHY,0,0,12.3656,7.84496,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
18.5,tn-uav-satellite,0,5,1,1703.43,1,1.51246,-105.883,UNREACHABLE,14,UNREACHABLE,0,0,12.5033,7.9827,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
18.5,tn-uav-satellite,1,6,4,665.818,1,-0.297647,-84.8468,HEALTHY,14,HEALTHY,0,0,12.1793,7.6587,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
18.5,tn-uav-satellite,2,7,2,1027.05,1,0.972659,-94.1177,HEALTHY,14,HEALTHY,0,0,10.9684,6.44779,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
20.5,tn-uav-satellite,0,5,1,1744.05,1,-1.23503,-109.204,UNREACHABLE,16,UNREACHABLE,0,0,15.0132,10.4926,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL,0.12,13.433300000000001,0.00023529,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
20.5,tn-uav-satellite,1,6,4,672.492,1,-4.72636,-89.518,HEALTHY,16,HEALTHY,0,0,12.6391,8.11847,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.12,13.433300000000001,0.00023529,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
20.5,tn-uav-satellite,2,7,2,1071.6,1,0.0675034,-96.0555,HEALTHY,16,HEALTHY,0,0,13.9691,9.44853,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.12,13.433300000000001,0.00023529,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
22.5,tn-uav-satellite,0,5,3,1806.54,1,3.91691,-104.908,UNREACHABLE,18,UNREACHABLE,0,0,12.7782,8.2576,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
22.5,tn-uav-satellite,1,6,4,682.79,1,-2.96853,-88.1298,HEALTHY,18,HEALTHY,0,0,11.8756,7.35498,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
22.5,tn-uav-satellite,2,7,2,1116.59,1,1.01141,-96.1119,HEALTHY,18,HEALTHY,0,0,11.8311,7.3105,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
24.5,tn-uav-satellite,0,5,1,1826.56,1,-9.97187,-119.065,UNREACHABLE,20,UNREACHABLE,0,0,4.40566,-0.114937,0,1,ACTIVE,NO_BACKHAUL_AVAILABLE,NEAR_RT_RIC_SWITCHING_NO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,0,0.1,2,2,AUTONOMOUS_LOCAL_ISLAND,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
24.5,tn-uav-satellite,1,6,4,696.978,1,1.30617,-84.3553,HEALTHY,20,HEALTHY,0,0,12.7727,8.25208,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
24.5,tn-uav-satellite,2,7,2,1161.98,1,0.562182,-97.5302,HEALTHY,20,HEALTHY,0,0,14.385,9.86439,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
26.5,tn-uav-satellite,0,5,1,1867.21,1,0.6374,-108.991,UNREACHABLE,22,UNREACHABLE,0,0,9.66596,5.14536,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL,0.0,0.0,0.0,0.1538462,269.04699999999997,7.843019999999999e-05,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
26.5,tn-uav-satellite,1,6,4,727.808,1,-2.69739,-89.4115,HEALTHY,22,HEALTHY,0,0,12.2207,7.70014,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.1538462,269.04699999999997,7.843019999999999e-05,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
26.5,tn-uav-satellite,2,7,2,1205.23,1,-4.21776,-103.199,UNREACHABLE,0,HEALTHY,0,0,13.4897,8.96914,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION,0.0,0.0,0.0,0.1538462,269.04699999999997,7.843019999999999e-05,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
28.5,tn-uav-satellite,0,5,1,1909.2,1,1.53709,-108.632,UNREACHABLE,24,UNREACHABLE,0,0,14.3312,9.81063,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL,0.0,0.0,0.0,0.0,0.0,0.0,tn-uav-satellite_ueS1_50_ueS2_50_tnGnb_4_ntnGnb_3_tnCap_20_ntnCap_10_hyst_2_ai-dataset-v2-logdist-fading-seed1-sat,seed1,satellite
