time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,9,8,2,-111.543,4,-86.0459,1,1,20,0,-999,-999,0
6.5,9,8,2,-111.543,1,-114.533,2,2,20,0,-999,-999,0
6.5,9,8,2,-111.543,3,-121.353,3,3,20,0,-999,-999,0
6.5,9,8,2,-111.543,6,-126.858,3,3,10,1,-999,-999,0
6.5,9,8,2,-111.543,7,-127.726,3,3,10,1,-999,-999,0
6.5,9,8,2,-111.543,5,-130.212,1,1,10,1,-999,-999,0
6.5,13,24,3,-108.827,4,-101.623,1,1,20,0,-999,-999,0
6.5,13,24,3,-108.827,1,-109.214,2,2,20,0,-999,-999,0
6.5,13,24,3,-108.827,2,-117.399,1,1,20,0,-999,-999,0
6.5,13,24,3,-108.827,7,-126.148,3,3,10,1,-999,-999,0
6.5,13,24,3,-108.827,5,-137.035,1,1,10,1,-999,-999,0
6.5,13,24,3,-108.827,6,-139.947,3,3,10,1,-999,-999,0
6.5,23,15,7,-121.928,1,-78.7714,2,2,20,0,-999,-999,0
6.5,23,15,7,-121.928,3,-81.5542,3,3,20,0,-999,-999,0
6.5,23,15,7,-121.928,2,-101.054,1,1,20,0,-999,-999,0
6.5,23,15,7,-121.928,5,-133.298,1,1,10,1,-999,-999,0
6.5,23,15,7,-121.928,6,-133.321,3,3,10,1,-999,-999,0
6.5,23,15,7,-121.928,4,-134.613,1,1,20,0,-999,-999,0
6.5,26,15,3,-74.3366,4,-94.8789,1,1,20,0,-999,-999,0
6.5,26,15,3,-74.3366,1,-111.137,2,2,20,0,-999,-999,0
6.5,26,15,3,-74.3366,2,-114.273,1,1,20,0,-999,-999,0
6.5,26,15,3,-74.3366,5,-114.849,1,1,10,1,-999,-999,0
6.5,26,15,3,-74.3366,6,-135.528,3,3,10,1,-999,-999,0
6.5,26,15,3,-74.3366,7,-144.609,3,3,10,1,-999,-999,0
6.5,27,23,6,-110.045,4,-119.298,1,1,20,0,-999,-999,0
6.5,27,23,6,-110.045,2,-127.478,1,1,20,0,-999,-999,0
6.5,27,23,6,-110.045,3,-128.845,3,3,20,0,-999,-999,0
6.5,27,23,6,-110.045,1,-132.076,2,2,20,0,-999,-999,0
6.5,27,23,6,-110.045,7,-133.099,3,3,10,1,-999,-999,0
6.5,27,23,6,-110.045,5,-143.77,1,1,10,1,-999,-999,0
6.5,29,15,1,-118.82,5,-98.2085,1,1,10,1,-999,-999,0
6.5,29,15,1,-118.82,2,-119.86,1,1,20,0,-999,-999,0
6.5,29,15,1,-118.82,3,-121.358,3,3,20,0,-999,-999,0
6.5,29,15,1,-118.82,7,-128.907,3,3,10,1,-999,-999,0
6.5,29,15,1,-118.82,4,-136.003,1,1,20,0,-999,-999,0
6.5,29,15,1,-118.82,6,-143.42,3,3,10,1,-999,-999,0
6.5,33,16,7,-123.231,3,-85.1411,3,3,20,0,-999,-999,0
6.5,33,16,7,-123.231,2,-113.38,1,1,20,0,-999,-999,0
6.5,33,16,7,-123.231,1,-121.385,2,2,20,0,-999,-999,0
6.5,33,16,7,-123.231,5,-133.543,1,1,10,1,-999,-999,0
6.5,33,16,7,-123.231,4,-137.248,1,1,20,0,-999,-999,0
6.5,33,16,7,-123.231,6,-139.962,3,3,10,1,-999,-999,0
6.5,42,24,6,-90.2228,1,-95.7267,2,2,20,0,-999,-999,0
6.5,42,24,6,-90.2228,4,-117.711,1,1,20,0,-999,-999,0
6.5,42,24,6,-90.2228,2,-123.881,1,1,20,0,-999,-999,0
6.5,42,24,6,-90.2228,3,-127.326,3,3,20,0,-999,-999,0
6.5,42,24,6,-90.2228,7,-129.005,3,3,10,1,-999,-999,0
6.5,42,24,6,-90.2228,5,-137.869,1,1,10,1,-999,-999,0
6.5,45,16,1,-113.302,2,-89.2051,1,1,20,0,-999,-999,0
6.5,45,16,1,-113.302,3,-110.483,3,3,20,0,-999,-999,0
6.5,45,16,1,-113.302,5,-123.804,1,1,10,1,-999,-999,0
6.5,45,16,1,-113.302,7,-125.794,3,3,10,1,-999,-999,0
6.5,45,16,1,-113.302,6,-137.351,3,3,10,1,-999,-999,0
6.5,45,16,1,-113.302,4,-142.509,1,1,20,0,-999,-999,0
6.5,46,8,6,-107.388,4,-81.0264,1,1,20,0,-999,-999,0
6.5,46,8,6,-107.388,7,-96.58,3,3,10,1,-999,-999,0
