time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,9,8,2,-111.893,3,-90.1637,4,4,20,0,-999,-999,0
6.5,9,8,2,-111.893,1,-116.791,1,1,20,0,-999,-999,0
6.5,9,8,2,-111.893,6,-125.208,1,1,10,1,-999,-999,0
6.5,9,8,2,-111.893,5,-126.089,1,1,10,1,-999,-999,0
6.5,9,8,2,-111.893,7,-127.478,2,2,10,1,-999,-999,0
6.5,9,8,2,-111.893,4,-135.611,0,0,20,0,-999,-999,0
6.5,10,32,3,-99.7595,7,-108.909,2,2,10,1,-999,-999,0
6.5,10,32,3,-99.7595,1,-113.081,1,1,20,0,-999,-999,0
6.5,10,32,3,-99.7595,2,-126.127,1,1,20,0,-999,-999,0
6.5,10,32,3,-99.7595,5,-127.003,1,1,10,1,-999,-999,0
6.5,10,32,3,-99.7595,6,-139.334,1,1,10,1,-999,-999,0
6.5,10,32,3,-99.7595,4,-143.506,0,0,20,0,-999,-999,0
6.5,15,24,3,-93.0387,1,-106.963,1,1,20,0,-999,-999,0
6.5,15,24,3,-93.0387,2,-114.376,1,1,20,0,-999,-999,0
6.5,15,24,3,-93.0387,6,-134.906,1,1,10,1,-999,-999,0
6.5,15,24,3,-93.0387,5,-137.125,1,1,10,1,-999,-999,0
6.5,15,24,3,-93.0387,7,-142.635,2,2,10,1,-999,-999,0
6.5,15,24,3,-93.0387,4,-146.52,0,0,20,0,-999,-999,0
6.5,23,15,7,-123.687,3,-77.8714,4,4,20,0,-999,-999,0
6.5,23,15,7,-123.687,2,-91.1772,1,1,20,0,-999,-999,0
6.5,23,15,7,-123.687,1,-94.0294,1,1,20,0,-999,-999,0
6.5,23,15,7,-123.687,5,-128.189,1,1,10,1,-999,-999,0
6.5,23,15,7,-123.687,6,-128.314,1,1,10,1,-999,-999,0
6.5,23,15,7,-123.687,4,-141.177,0,0,20,0,-999,-999,0
6.5,26,15,3,-112.606,2,-95.4452,1,1,20,0,-999,-999,0
6.5,26,15,3,-112.606,1,-129.802,1,1,20,0,-999,-999,0
6.5,26,15,3,-112.606,5,-131.839,1,1,10,1,-999,-999,0
6.5,26,15,3,-112.606,6,-137.72,1,1,10,1,-999,-999,0
6.5,26,15,3,-112.606,4,-146.311,0,0,20,0,-999,-999,0
6.5,26,15,3,-112.606,7,-155.931,2,2,10,1,-999,-999,0
6.5,33,16,7,-124.283,1,-111.521,1,1,20,0,-999,-999,0
6.5,33,16,7,-124.283,2,-114.783,1,1,20,0,-999,-999,0
6.5,33,16,7,-124.283,3,-119.466,4,4,20,0,-999,-999,0
6.5,33,16,7,-124.283,6,-132.87,1,1,10,1,-999,-999,0
6.5,33,16,7,-124.283,5,-135.418,1,1,10,1,-999,-999,0
6.5,33,16,7,-124.283,4,-135.511,0,0,20,0,-999,-999,0
6.5,46,8,6,-115.816,3,-112.909,4,4,20,0,-999,-999,0
6.5,46,8,6,-115.816,2,-118.339,1,1,20,0,-999,-999,0
6.5,46,8,6,-115.816,4,-129.032,0,0,20,0,-999,-999,0
6.5,46,8,6,-115.816,7,-135.218,2,2,10,1,-999,-999,0
6.5,46,8,6,-115.816,1,-140.573,1,1,20,0,-999,-999,0
6.5,46,8,6,-115.816,5,-142.553,1,1,10,1,-999,-999,0
6.5,47,16,3,-121.775,7,-90.4537,2,2,10,1,-999,-999,0
6.5,47,16,3,-121.775,2,-99.6606,1,1,20,0,-999,-999,0
6.5,47,16,3,-121.775,1,-109.588,1,1,20,0,-999,-999,0
6.5,47,16,3,-121.775,5,-135.129,1,1,10,1,-999,-999,0
6.5,47,16,3,-121.775,6,-139.332,1,1,10,1,-999,-999,0
6.5,47,16,3,-121.775,4,-141.571,0,0,20,0,-999,-999,0
6.5,52,8,5,-67.6594,7,-114.98,2,2,10,1,-999,-999,0
6.5,52,8,5,-67.6594,1,-141.164,1,1,20,0,-999,-999,0
6.5,52,8,5,-67.6594,3,-144.822,4,4,20,0,-999,-999,0
6.5,52,8,5,-67.6594,2,-144.961,1,1,20,0,-999,-999,0
6.5,52,8,5,-67.6594,6,-152.198,1,1,10,1,-999,-999,0
6.5,52,8,5,-67.6594,4,-159.065,0,0,20,0,-999,-999,0
6.5,56,8,1,-94.7289,2,-110.546,1,1,20,0,-999,-999,0
6.5,56,8,1,-94.7289,3,-118.835,4,4,20,0,-999,-999,0
6.5,56,8,1,-94.7289,6,-128.348,1,1,10,1,-999,-999,0
6.5,56,8,1,-94.7289,5,-131.247,1,1,10,1,-999,-999,0
6.5,56,8,1,-94.7289,7,-134.342,2,2,10,1,-999,-999,0
6.5,56,8,1,-94.7289,4,-141.377,0,0,20,0,-999,-999,0
8.5,9,8,2,-119.718,6,-105.051,6,6,10,1,-999,-999,3
8.5,9,8,2,-119.718,5,-105.872,4,4,10,1,-999,-999,3
8.5,9,8,2,-119.718,3,-108.476,4,4,20,0,-999,-999,3
8.5,9,8,2,-119.718,1,-118.511,3,3,20,0,-999,-999,3
8.5,9,8,2,-119.718,7,-126.437,2,2,10,1,-999,-999,3
8.5,9,8,2,-119.718,4,-130.037,0,0,20,0,-999,-999,3
8.5,10,32,3,-84.2212,1,-85.0077,3,3,20,0,-999,-999,0
8.5,10,32,3,-84.2212,5,-85.7776,4,4,10,1,-999,-999,0
8.5,10,32,3,-84.2212,7,-116.88,2,2,10,1,-999,-999,0
8.5,10,32,3,-84.2212,2,-117.376,1,1,20,0,-999,-999,0
8.5,10,32,3,-84.2212,6,-129.881,6,6,10,1,-999,-999,0
8.5,10,32,3,-84.2212,4,-144.152,0,0,20,0,-999,-999,0
8.5,15,24,3,-76.6332,1,-113.995,3,3,20,0,-999,-999,0
8.5,15,24,3,-76.6332,2,-120.365,1,1,20,0,-999,-999,0
8.5,15,24,3,-76.6332,5,-127.926,4,4,10,1,-999,-999,0
8.5,15,24,3,-76.6332,6,-133.978,6,6,10,1,-999,-999,0
8.5,15,24,3,-76.6332,7,-141.961,2,2,10,1,-999,-999,0
8.5,15,24,3,-76.6332,4,-148.743,0,0,20,0,-999,-999,0
8.5,23,15,7,-121.354,1,-95.2859,3,3,20,0,-999,-999,0
8.5,23,15,7,-121.354,2,-105.858,1,1,20,0,-999,-999,0
8.5,23,15,7,-121.354,3,-110.573,4,5,20,0,-999,-999,0
8.5,23,15,7,-121.354,5,-130.605,4,4,10,1,-999,-999,0
8.5,23,15,7,-121.354,6,-135.578,6,6,10,1,-999,-999,0
8.5,23,15,7,-121.354,4,-137.279,0,0,20,0,-999,-999,0
8.5,26,15,3,-94.3465,2,-107.233,1,1,20,0,-999,-999,0
8.5,26,15,3,-94.3465,5,-113.831,4,4,10,1,-999,-999,0
8.5,26,15,3,-94.3465,6,-116.013,6,6,10,1,-999,-999,0
8.5,26,15,3,-94.3465,1,-132.599,3,3,20,0,-999,-999,0
8.5,26,15,3,-94.3465,4,-149.367,0,0,20,0,-999,-999,0
8.5,26,15,3,-94.3465,7,-153.999,2,2,10,1,-999,-999,0
8.5,33,16,7,-109.99,3,-102.007,4,5,20,0,-999,-999,0
8.5,33,16,7,-109.99,2,-113.098,1,1,20,0,-999,-999,0
8.5,33,16,7,-109.99,1,-119.205,3,3,20,0,-999,-999,0
8.5,33,16,7,-109.99,5,-126.187,4,4,10,1,-999,-999,0
8.5,33,16,7,-109.99,6,-135.977,6,6,10,1,-999,-999,0
8.5,33,16,7,-109.99,4,-140.679,0,0,20,0,-999,-999,0
8.5,46,8,6,-97.2736,7,-110.796,2,2,10,1,-999,-999,0
8.5,46,8,6,-97.2736,4,-126.828,0,0,20,0,-999,-999,0
8.5,46,8,6,-97.2736,2,-128.096,1,1,20,0,-999,-999,0
8.5,46,8,6,-97.2736,1,-134.641,3,3,20,0,-999,-999,0
8.5,46,8,6,-97.2736,3,-142.32,4,5,20,0,-999,-999,0
8.5,46,8,6,-97.2736,5,-151.479,4,4,10,1,-999,-999,0
8.5,47,16,3,-118.041,1,-108.096,3,3,20,0,-999,-999,0
8.5,47,16,3,-118.041,2,-113.148,1,1,20,0,-999,-999,0
8.5,47,16,3,-118.041,6,-117.061,6,6,10,1,-999,-999,0
8.5,47,16,3,-118.041,7,-123.835,2,2,10,1,-999,-999,0
8.5,47,16,3,-118.041,5,-125.649,4,4,10,1,-999,-999,0
8.5,47,16,3,-118.041,4,-138.943,0,0,20,0,-999,-999,0
8.5,52,8,5,-66.8947,3,-129.246,4,5,20,0,-999,-999,0
8.5,52,8,5,-66.8947,6,-129.419,6,6,10,1,-999,-999,0
8.5,52,8,5,-66.8947,2,-133.695,1,1,20,0,-999,-999,0
8.5,52,8,5,-66.8947,1,-137.556,3,3,20,0,-999,-999,0
8.5,52,8,5,-66.8947,7,-148.833,2,2,10,1,-999,-999,0
8.5,52,8,5,-66.8947,4,-158.69,0,0,20,0,-999,-999,0
8.5,56,8,1,-99.0408,2,-95.6828,1,1,20,0,-999,-999,0
8.5,56,8,1,-99.0408,3,-118.599,4,5,20,0,-999,-999,0
8.5,56,8,1,-99.0408,7,-119.001,2,2,10,1,-999,-999,0
8.5,56,8,1,-99.0408,6,-127.809,6,6,10,1,-999,-999,0
8.5,56,8,1,-99.0408,5,-128.825,4,4,10,1,-999,-999,0
8.5,56,8,1,-99.0408,4,-144.387,0,0,20,0,-999,-999,0
8.5,59,23,5,-122.728,1,-87.2033,3,3,20,0,-999,-999,0
8.5,59,23,5,-122.728,3,-121.839,4,5,20,0,-999,-999,0
8.5,59,23,5,-122.728,2,-126.358,1,1,20,0,-999,-999,0
8.5,59,23,5,-122.728,7,-133.687,2,2,10,1,-999,-999,0
8.5,59,23,5,-122.728,6,-141.554,6,6,10,1,-999,-999,0
8.5,59,23,5,-122.728,4,-149.761,0,0,20,0,-999,-999,0
8.5,74,32,5,-116.906,3,-126.686,4,5,20,0,-999,-999,0
8.5,74,32,5,-116.906,7,-127.506,2,2,10,1,-999,-999,0
8.5,74,32,5,-116.906,1,-130.928,3,3,20,0,-999,-999,0
8.5,74,32,5,-116.906,6,-131.586,6,6,10,1,-999,-999,0
8.5,74,32,5,-116.906,2,-135.155,1,1,20,0,-999,-999,0
8.5,74,32,5,-116.906,4,-153.021,0,0,20,0,-999,-999,0
8.5,79,30,6,-88.8844,4,-115.789,0,0,20,0,-999,-999,0
8.5,79,30,6,-88.8844,3,-142.909,4,5,20,0,-999,-999,0
8.5,79,30,6,-88.8844,2,-143.708,1,1,20,0,-999,-999,0
8.5,79,30,6,-88.8844,1,-145.413,3,3,20,0,-999,-999,0
8.5,79,30,6,-88.8844,7,-145.483,2,2,10,1,-999,-999,0
8.5,79,30,6,-88.8844,5,-153.016,4,4,10,1,-999,-999,0
8.5,85,31,6,-100.17,2,-105.692,1,1,20,0,-999,-999,0
8.5,85,31,6,-100.17,7,-110.578,2,2,10,1,-999,-999,0
8.5,85,31,6,-100.17,3,-121.247,4,5,20,0,-999,-999,0
8.5,85,31,6,-100.17,4,-126.484,0,0,20,0,-999,-999,0
8.5,85,31,6,-100.17,1,-136.596,3,3,20,0,-999,-999,0
8.5,85,31,6,-100.17,5,-143.604,4,4,10,1,-999,-999,0
8.5,86,40,6,-118.152,3,-122.991,4,5,20,0,-999,-999,0
8.5,86,40,6,-118.152,4,-129.633,0,0,20,0,-999,-999,0
8.5,86,40,6,-118.152,2,-132.327,1,1,20,0,-999,-999,0
8.5,86,40,6,-118.152,7,-136.709,2,2,10,1,-999,-999,0
8.5,86,40,6,-118.152,5,-137.65,4,4,10,1,-999,-999,0
8.5,86,40,6,-118.152,1,-141.425,3,3,20,0,-999,-999,0
