time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,9,8,2,-116.961,1,-79.7916,1,1,20,0,-999,-999,0
6.5,9,8,2,-116.961,3,-121.319,4,4,20,0,-999,-999,0
6.5,9,8,2,-116.961,7,-127.137,2,2,10,1,-999,-999,0
6.5,9,8,2,-116.961,5,-132.768,1,1,10,1,-999,-999,0
6.5,9,8,2,-116.961,6,-132.904,1,1,10,1,-999,-999,0
6.5,9,8,2,-116.961,4,-134.605,0,0,20,0,-999,-999,0
6.5,10,32,3,-102.892,1,-95.7207,1,1,20,0,-999,-999,0
6.5,10,32,3,-102.892,2,-110.357,1,1,20,0,-999,-999,0
6.5,10,32,3,-102.892,5,-121.379,1,1,10,1,-999,-999,0
6.5,10,32,3,-102.892,7,-131.791,2,2,10,1,-999,-999,0
6.5,10,32,3,-102.892,4,-141.591,0,0,20,0,-999,-999,0
6.5,10,32,3,-102.892,6,-142.076,1,1,10,1,-999,-999,0
6.5,15,24,3,-98.9071,1,-96.0424,1,1,20,0,-999,-999,0
6.5,15,24,3,-98.9071,6,-97.348,1,1,10,1,-999,-999,0
6.5,15,24,3,-98.9071,2,-118.484,1,1,20,0,-999,-999,0
6.5,15,24,3,-98.9071,5,-135.976,1,1,10,1,-999,-999,0
6.5,15,24,3,-98.9071,7,-140.044,2,2,10,1,-999,-999,0
6.5,15,24,3,-98.9071,4,-148.007,0,0,20,0,-999,-999,0
6.5,23,15,7,-121.125,3,-80.9996,4,4,20,0,-999,-999,0
6.5,23,15,7,-121.125,1,-90.601,1,1,20,0,-999,-999,0
6.5,23,15,7,-121.125,2,-101.48,1,1,20,0,-999,-999,0
6.5,23,15,7,-121.125,5,-130.688,1,1,10,1,-999,-999,0
6.5,23,15,7,-121.125,6,-140.532,1,1,10,1,-999,-999,0
6.5,23,15,7,-121.125,4,-141.449,0,0,20,0,-999,-999,0
6.5,26,15,3,-113.304,1,-104.994,1,1,20,0,-999,-999,0
6.5,26,15,3,-113.304,2,-105.297,1,1,20,0,-999,-999,0
6.5,26,15,3,-113.304,6,-139.939,1,1,10,1,-999,-999,0
6.5,26,15,3,-113.304,5,-140.24,1,1,10,1,-999,-999,0
6.5,26,15,3,-113.304,7,-152.644,2,2,10,1,-999,-999,0
6.5,26,15,3,-113.304,4,-155.41,0,0,20,0,-999,-999,0
6.5,33,16,7,-125.974,1,-77.7083,1,1,20,0,-999,-999,0
6.5,33,16,7,-125.974,5,-99.5769,1,1,10,1,-999,-999,0
6.5,33,16,7,-125.974,6,-107.811,1,1,10,1,-999,-999,0
6.5,33,16,7,-125.974,2,-118.53,1,1,20,0,-999,-999,0
6.5,33,16,7,-125.974,3,-123.552,4,4,20,0,-999,-999,0
6.5,33,16,7,-125.974,4,-135.666,0,0,20,0,-999,-999,0
6.5,46,8,6,-115.413,2,-108.557,1,1,20,0,-999,-999,0
6.5,46,8,6,-115.413,4,-127.046,0,0,20,0,-999,-999,0
6.5,46,8,6,-115.413,1,-133.253,1,1,20,0,-999,-999,0
6.5,46,8,6,-115.413,3,-143.703,4,4,20,0,-999,-999,0
6.5,46,8,6,-115.413,5,-147.765,1,1,10,1,-999,-999,0
6.5,46,8,6,-115.413,7,-148.072,2,2,10,1,-999,-999,0
6.5,47,16,3,-121.285,1,-106.891,1,1,20,0,-999,-999,0
6.5,47,16,3,-121.285,2,-111.163,1,1,20,0,-999,-999,0
6.5,47,16,3,-121.285,7,-122.04,2,2,10,1,-999,-999,0
6.5,47,16,3,-121.285,5,-125.619,1,1,10,1,-999,-999,0
6.5,47,16,3,-121.285,4,-137.23,0,0,20,0,-999,-999,0
6.5,47,16,3,-121.285,6,-139.469,1,1,10,1,-999,-999,0
6.5,52,8,5,-68.0906,3,-110.806,4,4,20,0,-999,-999,0
6.5,52,8,5,-68.0906,6,-118.885,1,1,10,1,-999,-999,0
6.5,52,8,5,-68.0906,2,-134.883,1,1,20,0,-999,-999,0
6.5,52,8,5,-68.0906,1,-141.254,1,1,20,0,-999,-999,0
6.5,52,8,5,-68.0906,4,-150.877,0,0,20,0,-999,-999,0
6.5,52,8,5,-68.0906,7,-152.847,2,2,10,1,-999,-999,0
8.5,9,8,2,-118.8,1,-104.823,2,2,20,0,-999,-999,1
8.5,9,8,2,-118.8,6,-106.784,3,3,10,1,-999,-999,1
8.5,9,8,2,-118.8,7,-108.359,3,3,10,1,-999,-999,1
8.5,9,8,2,-118.8,3,-109.796,4,4,20,0,-999,-999,1
8.5,9,8,2,-118.8,5,-117.921,3,3,10,1,-999,-999,1
8.5,9,8,2,-118.8,4,-133.958,0,0,20,0,-999,-999,1
