time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,23,8,7,-86.0943,3,-119.45,0,0,20,0,-999,-999,0
6.5,23,8,7,-86.0943,5,-126.768,0,0,10,1,6.94574,2.42514,0
6.5,23,8,7,-86.0943,6,-127.829,1,1,10,1,13.3539,8.83325,0
6.5,23,8,7,-86.0943,2,-128.968,0,0,20,0,-999,-999,0
6.5,23,8,7,-86.0943,4,-130.462,0,0,20,0,-999,-999,0
6.5,23,8,7,-86.0943,1,-133.571,0,0,20,0,-999,-999,0
6.5,46,8,6,-104.577,4,-97.2649,0,0,20,0,-999,-999,0
6.5,46,8,6,-104.577,7,-141.601,1,1,10,1,11.0803,6.5597,0
6.5,46,8,6,-104.577,1,-154.886,0,0,20,0,-999,-999,0
6.5,46,8,6,-104.577,3,-157.608,0,0,20,0,-999,-999,0
6.5,46,8,6,-104.577,2,-161.332,0,0,20,0,-999,-999,0
6.5,46,8,6,-104.577,5,-169.279,0,0,10,1,6.94574,2.42514,0
8.5,23,8,7,-135.033,3,-108.937,0,0,20,0,-999,-999,0
8.5,23,8,7,-135.033,1,-132.565,0,0,20,0,-999,-999,0
8.5,23,8,7,-135.033,2,-133.261,0,0,20,0,-999,-999,0
8.5,23,8,7,-135.033,6,-135.145,2,2,10,1,7.96809,3.44749,0
8.5,23,8,7,-135.033,4,-136.507,1,1,20,0,-999,-999,0
8.5,23,8,7,-135.033,5,-149.883,0,0,10,1,8.25714,3.73654,0
8.5,46,8,6,-133.743,4,-118.673,1,1,20,0,-999,-999,0
8.5,46,8,6,-133.743,7,-123.361,1,1,10,1,11.513,6.99237,0
8.5,46,8,6,-133.743,3,-154.206,0,0,20,0,-999,-999,0
8.5,46,8,6,-133.743,1,-154.476,0,0,20,0,-999,-999,0
8.5,46,8,6,-133.743,2,-157.241,0,0,20,0,-999,-999,0
8.5,46,8,6,-133.743,5,-169.305,0,0,10,1,8.25714,3.73654,0
8.5,90,8,4,-90.432,6,-96.6085,2,2,10,1,7.96809,3.44749,0
8.5,90,8,4,-90.432,2,-134.478,0,0,20,0,-999,-999,0
8.5,90,8,4,-90.432,1,-137.537,0,0,20,0,-999,-999,0
8.5,90,8,4,-90.432,3,-141.687,0,0,20,0,-999,-999,0
8.5,90,8,4,-90.432,7,-141.789,1,1,10,1,11.513,6.99237,0
8.5,90,8,4,-90.432,5,-158.399,0,0,10,1,8.25714,3.73654,0
8.5,92,16,6,-130.746,4,-116.006,1,1,20,0,-999,-999,0
