Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
4.5,tn-uav-satellite,0,5,-87.2866,HEALTHY,0,HEALTHY,0,13.3188,8.79816,1,TN_DIRECT,TN_DIRECT,True,1
4.5,tn-uav-satellite,1,6,-114.344,UNREACHABLE,0,UNREACHABLE,0,12.0817,7.56106,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
4.5,tn-uav-satellite,2,7,-99.9319,HEALTHY,0,HEALTHY,0,16.2705,12.3665,1,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav-satellite,0,5,-92.4462,HEALTHY,2,HEALTHY,0,10.7993,6.27871,1,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav-satellite,1,6,-113.684,UNREACHABLE,2,UNREACHABLE,0,13.3804,8.85978,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
6.5,tn-uav-satellite,2,7,-103.446,UNREACHABLE,0,HEALTHY,0,14.9053,10.3847,1,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav-satellite,0,5,-90.2313,HEALTHY,4,HEALTHY,0,13.7161,9.19547,1,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav-satellite,1,6,-108.406,UNREACHABLE,4,UNREACHABLE,0,14.0785,9.55785,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
8.5,tn-uav-satellite,2,7,-102.787,UNREACHABLE,2,HEALTHY,0,13.2012,8.68056,1,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav-satellite,2,7,-99.8679,HEALTHY,0,HEALTHY,0,11.2098,6.68915,1,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav-satellite,1,6,-108.639,UNREACHABLE,6,UNREACHABLE,0,11.9721,7.45152,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
10.5,tn-uav-satellite,0,5,-98.8638,HEALTHY,6,HEALTHY,0,13.8483,9.32768,1,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav-satellite,0,5,-91.5991,HEALTHY,8,HEALTHY,0,10.2122,5.69165,1,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav-satellite,1,6,-108.962,UNREACHABLE,8,UNREACHABLE,0,11.3375,6.81687,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
12.5,tn-uav-satellite,2,7,-102.655,UNREACHABLE,0,HEALTHY,0,8.52141,4.00081,1,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav-satellite,0,5,-91.3079,HEALTHY,10,HEALTHY,0,15.3999,10.8793,1,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav-satellite,1,6,-105.424,UNREACHABLE,10,UNREACHABLE,0,13.1673,8.64674,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
14.5,tn-uav-satellite,2,7,-100.292,UNREACHABLE,2,HEALTHY,0,13.9176,9.39698,1,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav-satellite,0,5,-92.0957,HEALTHY,12,HEALTHY,0,15.4269,10.9063,1,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav-satellite,1,6,-107.51,UNREACHABLE,12,UNREACHABLE,0,12.1979,7.67734,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
