Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,BestDonorDistanceM,XhaulConnected,XhaulChannelVariationDb,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,XhaulDegradationActive,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,UavSwitchingXappAvailable,UavSwitchingXappState,BackhaulMode,RicControlState,ActiveUavRic,NormalUeHandoverAllowed,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
4.5,tn-uav-satellite,0,5,3,916.466,1,-0.312432,-92.6322,HEALTHY,0,HEALTHY,0,0,10.8803,6.35972,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
4.5,tn-uav-satellite,1,6,1,979.955,1,-1.45774,-95.4065,HEALTHY,0,HEALTHY,0,0,12.5202,7.99964,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
4.5,tn-uav-satellite,2,7,4,1186.92,1,-0.330307,-98.939,HEALTHY,0,HEALTHY,0,0,10.3871,5.86649,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav-satellite,0,5,3,877.868,1,-5.04768,-96.3209,HEALTHY,2,HEALTHY,0,0,12.9127,8.39211,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav-satellite,1,6,1,1010.82,1,-5.45534,-100.158,UNREACHABLE,0,HEALTHY,0,0,9.61084,5.09024,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav-satellite,2,7,1,1377.03,1,0.83215,-101.39,UNREACHABLE,0,HEALTHY,0,0,14.6747,10.1541,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav-satellite,0,5,3,829.382,1,-1.16866,-91.0601,HEALTHY,4,HEALTHY,0,0,13.5121,8.99149,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav-satellite,1,6,1,1050.26,1,-1.69823,-97.332,HEALTHY,0,HEALTHY,0,0,12.3968,7.87617,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav-satellite,2,7,1,1327.24,1,5.7703,-95.5561,HEALTHY,0,HEALTHY,0,0,13.2329,8.71228,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav-satellite,0,5,3,781.231,1,1.3721,-87.0647,HEALTHY,6,HEALTHY,0,0,9.46583,4.94523,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav-satellite,1,6,1,1090.39,1,1.94423,-94.6015,HEALTHY,2,HEALTHY,0,0,11.8711,7.35052,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav-satellite,2,7,1,1277.46,1,5.16465,-95.232,HEALTHY,2,HEALTHY,0,0,7.46556,2.94496,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav-satellite,0,5,3,733.385,1,-0.892629,-87.7924,HEALTHY,8,HEALTHY,0,0,9.74353,5.22293,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav-satellite,1,6,4,1240.32,1,2.56656,-97.1126,HEALTHY,4,HEALTHY,0,0,11.8831,7.3625,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav-satellite,2,7,1,1227.7,1,-1.42953,-100.86,UNREACHABLE,0,HEALTHY,0,0,11.749,7.2284,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
