time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,38,8,6,-133.052,5,-136.211,2,2,10,1,-999,-999,0
6.5,38,8,6,-133.052,3,-152.171,0,0,20,0,-999,-999,0
6.5,38,8,6,-133.052,1,-154.277,0,0,20,0,-999,-999,0
6.5,38,8,6,-133.052,4,-158.566,0,0,20,0,-999,-999,0
6.5,38,8,6,-133.052,2,-159.32,0,0,20,0,-999,-999,0
6.5,38,8,6,-133.052,7,-169.775,1,1,10,1,-999,-999,0
6.5,50,8,5,-121.105,6,-95.6055,1,1,0,1,-999,-999,0
6.5,50,8,5,-121.105,2,-113.036,0,0,20,0,-999,-999,0
6.5,50,8,5,-121.105,3,-131.264,0,0,20,0,-999,-999,0
6.5,50,8,5,-121.105,1,-132.653,0,0,20,0,-999,-999,0
6.5,50,8,5,-121.105,4,-137.378,0,0,20,0,-999,-999,0
6.5,50,8,5,-121.105,7,-149.22,1,1,10,1,-999,-999,0
8.5,36,16,5,-129.501,7,-112.379,1,1,10,1,-999,-999,0
8.5,36,16,5,-129.501,6,-119.608,2,2,0,1,-999,-999,0
8.5,36,16,5,-129.501,4,-127.917,1,1,20,0,-999,-999,0
8.5,36,16,5,-129.501,1,-130.96,0,0,20,0,-999,-999,0
8.5,36,16,5,-129.501,2,-135.744,0,0,20,0,-999,-999,0
8.5,36,16,5,-129.501,3,-147.135,0,0,20,0,-999,-999,0
8.5,38,8,6,-131.174,5,-139.053,2,2,10,1,-999,-999,0
8.5,38,8,6,-131.174,7,-143.231,1,1,10,1,-999,-999,0
8.5,38,8,6,-131.174,1,-153.946,0,0,20,0,-999,-999,0
8.5,38,8,6,-131.174,3,-154.231,0,0,20,0,-999,-999,0
8.5,38,8,6,-131.174,4,-158.16,1,1,20,0,-999,-999,0
8.5,38,8,6,-131.174,2,-161.134,0,0,20,0,-999,-999,0
8.5,42,8,7,-77.0639,5,-104.121,2,2,10,1,-999,-999,0
8.5,42,8,7,-77.0639,4,-129.149,1,1,20,0,-999,-999,0
8.5,42,8,7,-77.0639,1,-139.7,0,0,20,0,-999,-999,0
8.5,42,8,7,-77.0639,2,-142.167,0,0,20,0,-999,-999,0
8.5,42,8,7,-77.0639,3,-151.576,0,0,20,0,-999,-999,0
8.5,42,8,7,-77.0639,6,-163.412,2,2,0,1,-999,-999,0
8.5,50,8,5,-99.824,2,-108.061,0,0,20,0,-999,-999,0
8.5,50,8,5,-99.824,7,-119.305,1,1,10,1,-999,-999,0
8.5,50,8,5,-99.824,3,-127.543,0,0,20,0,-999,-999,0
8.5,50,8,5,-99.824,6,-131.938,2,2,0,1,-999,-999,0
8.5,50,8,5,-99.824,1,-134.866,0,0,20,0,-999,-999,0
8.5,50,8,5,-99.824,4,-142.838,1,1,20,0,-999,-999,0
8.5,100,16,6,-138.519,4,-126.248,1,1,20,0,-999,-999,0
8.5,100,16,6,-138.519,7,-141.403,1,1,10,1,-999,-999,0
8.5,100,16,6,-138.519,5,-162.195,2,2,10,1,-999,-999,0
8.5,100,16,6,-138.519,3,-162.621,0,0,20,0,-999,-999,0
8.5,100,16,6,-138.519,1,-163.692,0,0,20,0,-999,-999,0
8.5,100,16,6,-138.519,2,-176.303,0,0,20,0,-999,-999,0
10.5,13,8,4,-91.0304,5,-129.832,2,2,10,1,-999,-999,0
10.5,13,8,4,-91.0304,2,-131.84,0,0,20,0,-999,-999,0
10.5,13,8,4,-91.0304,1,-132.28,0,0,20,0,-999,-999,0
10.5,13,8,4,-91.0304,7,-137.301,1,1,10,1,-999,-999,0
10.5,13,8,4,-91.0304,3,-141.127,0,0,20,0,-999,-999,0
10.5,13,8,4,-91.0304,6,-149.016,2,2,0,1,-999,-999,0
10.5,36,16,5,-129.714,4,-121.163,1,1,20,0,-999,-999,0
10.5,36,16,5,-129.714,2,-135.781,0,0,20,0,-999,-999,0
10.5,36,16,5,-129.714,1,-136.754,0,0,20,0,-999,-999,0
10.5,36,16,5,-129.714,6,-137.029,2,2,0,1,-999,-999,0
10.5,36,16,5,-129.714,7,-144.635,1,1,10,1,-999,-999,0
10.5,36,16,5,-129.714,3,-145.015,0,0,20,0,-999,-999,0
10.5,38,8,6,-127.058,7,-109.247,1,1,10,1,-999,-999,0
10.5,38,8,6,-127.058,5,-133.24,2,2,10,1,-999,-999,0
10.5,38,8,6,-127.058,4,-150.316,1,1,20,0,-999,-999,0
10.5,38,8,6,-127.058,3,-151.249,0,0,20,0,-999,-999,0
10.5,38,8,6,-127.058,1,-151.66,0,0,20,0,-999,-999,0
10.5,38,8,6,-127.058,2,-157.495,0,0,20,0,-999,-999,0
10.5,42,8,7,-111.305,5,-88.1676,2,2,10,1,-999,-999,0
10.5,42,8,7,-111.305,4,-126.974,1,1,20,0,-999,-999,0
10.5,42,8,7,-111.305,1,-138.891,0,0,20,0,-999,-999,0
10.5,42,8,7,-111.305,2,-142.438,0,0,20,0,-999,-999,0
10.5,42,8,7,-111.305,3,-151.521,0,0,20,0,-999,-999,0
10.5,42,8,7,-111.305,6,-163.64,2,2,0,1,-999,-999,0
10.5,50,8,5,-86.3352,6,-95.5103,2,2,0,1,-999,-999,0
10.5,50,8,5,-86.3352,7,-106.872,1,1,10,1,-999,-999,0
10.5,50,8,5,-86.3352,2,-110.483,0,0,20,0,-999,-999,0
10.5,50,8,5,-86.3352,3,-128.475,0,0,20,0,-999,-999,0
10.5,50,8,5,-86.3352,1,-133.56,0,0,20,0,-999,-999,0
10.5,50,8,5,-86.3352,4,-133.598,1,1,20,0,-999,-999,0
10.5,100,16,6,-147.85,7,-127.076,1,1,10,1,-999,-999,0
10.5,100,16,6,-147.85,4,-151.84,1,1,20,0,-999,-999,0
10.5,100,16,6,-147.85,5,-156.522,2,2,10,1,-999,-999,0
10.5,100,16,6,-147.85,3,-161.861,0,0,20,0,-999,-999,0
10.5,100,16,6,-147.85,1,-165.462,0,0,20,0,-999,-999,0
10.5,100,16,6,-147.85,2,-166.139,0,0,20,0,-999,-999,0
12.5,13,8,4,-109.311,2,-128.687,1,1,20,0,-999,-999,0
12.5,13,8,4,-109.311,5,-129.388,2,2,10,1,-999,-999,0
12.5,13,8,4,-109.311,1,-133.239,0,0,20,0,-999,-999,0
12.5,13,8,4,-109.311,7,-136.796,2,2,10,1,-999,-999,0
