Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
4.5,tn-uav,0,5,-89.3716,HEALTHY,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
4.5,tn-uav,1,6,-71.5805,HEALTHY,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
4.5,tn-uav,2,7,-74.3318,HEALTHY,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav,0,5,-94.1671,HEALTHY,2,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav,1,6,-72.7505,HEALTHY,2,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav,2,7,-71.4778,HEALTHY,2,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav,0,5,-91.5491,HEALTHY,4,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav,1,6,-66.4927,HEALTHY,4,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav,2,7,-67.5347,HEALTHY,4,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav,2,7,-69.0115,HEALTHY,6,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav,1,6,-76.3359,HEALTHY,6,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav,0,5,-99.8539,HEALTHY,6,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav,0,5,-98.915,HEALTHY,8,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav,1,6,-67.3462,HEALTHY,8,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav,2,7,-60.1467,HEALTHY,8,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav,0,5,-91.7761,HEALTHY,10,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav,1,6,-74.8553,HEALTHY,10,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav,2,7,-59.2706,HEALTHY,10,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav,0,5,-97.1382,HEALTHY,12,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav,1,6,-75.2263,HEALTHY,12,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav,2,7,-58.571,HEALTHY,12,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
18.5,tn-uav,2,7,-48.9074,HEALTHY,14,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
18.5,tn-uav,0,5,-95.2283,HEALTHY,14,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
18.5,tn-uav,1,6,-74.4825,HEALTHY,14,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
20.5,tn-uav,0,5,-98.9121,HEALTHY,16,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
20.5,tn-uav,1,6,-77.7688,HEALTHY,16,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
20.5,tn-uav,2,7,-48.223,HEALTHY,16,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
22.5,tn-uav,0,5,-101.495,UNREACHABLE,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
22.5,tn-uav,1,6,-77.3403,HEALTHY,18,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
22.5,tn-uav,2,7,-48.2405,HEALTHY,18,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
24.5,tn-uav,2,7,-51.7016,HEALTHY,20,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
24.5,tn-uav,1,6,-76.2888,HEALTHY,20,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
24.5,tn-uav,0,5,-109.451,UNREACHABLE,2,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
26.5,tn-uav,0,5,-99.7074,HEALTHY,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
26.5,tn-uav,1,6,-78.1972,HEALTHY,22,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
26.5,tn-uav,2,7,-60.3933,HEALTHY,22,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
28.5,tn-uav,0,5,-99.6511,HEALTHY,2,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
28.5,tn-uav,1,6,-74.6216,HEALTHY,24,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
28.5,tn-uav,2,7,-61.5227,HEALTHY,24,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
30.5,tn-uav,1,6,-60.4852,HEALTHY,26,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
30.5,tn-uav,2,7,-62.7617,HEALTHY,26,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
30.5,tn-uav,0,5,-103.834,UNREACHABLE,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
32.5,tn-uav,2,7,-67.0905,HEALTHY,28,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
32.5,tn-uav,0,5,-103.463,UNREACHABLE,2,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
32.5,tn-uav,1,6,-63.1566,HEALTHY,28,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
34.5,tn-uav,0,5,-102.104,UNREACHABLE,4,HEALTHY,0,-999,-999,0,TN_DIRECT,NO_BACKHAUL_AVAILABLE,False,1
34.5,tn-uav,1,6,-57.1616,HEALTHY,30,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
34.5,tn-uav,2,7,-69.234,HEALTHY,30,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
36.5,tn-uav,0,5,-110.02,UNREACHABLE,6,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
36.5,tn-uav,1,6,-54.4314,HEALTHY,32,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
36.5,tn-uav,2,7,-75.4776,HEALTHY,32,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
38.5,tn-uav,1,6,-45.6062,HEALTHY,34,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
38.5,tn-uav,2,7,-80.439,HEALTHY,34,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
38.5,tn-uav,0,5,-100.755,UNREACHABLE,8,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
40.5,tn-uav,0,5,-107.608,UNREACHABLE,10,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
40.5,tn-uav,1,6,-40.723,HEALTHY,36,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
40.5,tn-uav,2,7,-77.3436,HEALTHY,36,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
42.5,tn-uav,0,5,-109.52,UNREACHABLE,12,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
42.5,tn-uav,1,6,-42.9057,HEALTHY,38,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
42.5,tn-uav,2,7,-80.9312,HEALTHY,38,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
44.5,tn-uav,0,5,-105.723,UNREACHABLE,14,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
44.5,tn-uav,1,6,-48.1151,HEALTHY,40,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
44.5,tn-uav,2,7,-85.2331,HEALTHY,40,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
46.5,tn-uav,2,7,-84.2646,HEALTHY,42,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
46.5,tn-uav,1,6,-57.4611,HEALTHY,42,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
46.5,tn-uav,0,5,-109.405,UNREACHABLE,16,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
48.5,tn-uav,0,5,-108.164,UNREACHABLE,18,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
48.5,tn-uav,1,6,-56.9414,HEALTHY,44,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
48.5,tn-uav,2,7,-83.7803,HEALTHY,44,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
50.5,tn-uav,0,5,-111.998,UNREACHABLE,20,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
50.5,tn-uav,1,6,-62.8761,HEALTHY,46,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
50.5,tn-uav,2,7,-86.767,HEALTHY,46,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
52.5,tn-uav,1,6,-67.8842,HEALTHY,48,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
52.5,tn-uav,0,5,-108.876,UNREACHABLE,22,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
52.5,tn-uav,2,7,-90.5483,HEALTHY,48,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
54.5,tn-uav,0,5,-117.423,UNREACHABLE,24,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
54.5,tn-uav,1,6,-70.0841,HEALTHY,50,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
54.5,tn-uav,2,7,-88.9053,HEALTHY,50,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
56.5,tn-uav,1,6,-73.8974,HEALTHY,52,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
56.5,tn-uav,2,7,-90.8046,HEALTHY,52,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
56.5,tn-uav,0,5,-113.547,UNREACHABLE,26,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
58.5,tn-uav,1,6,-76.3403,HEALTHY,54,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
58.5,tn-uav,2,7,-96.2943,HEALTHY,54,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
58.5,tn-uav,0,5,-114.567,UNREACHABLE,28,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
60.5,tn-uav,1,6,-81.2385,HEALTHY,56,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
