time,underserved_count,heatmap_sum
2.0,175,91.0
5.0,142,58.0
7.0,129,77.0
10.0,122,49.0
12.0,129,74.0
15.0,113,46.0
17.0,123,70.0
20.0,105,42.0
22.0,119,68.0
25.0,100,41.0
27.0,116,64.0
30.0,98,40.0
32.0,111,64.0
35.0,91,37.0
37.0,103,59.0
40.0,75,30.0
42.0,100,61.0
45.0,71,28.0
47.0,102,58.0
50.0,65,24.0
52.0,94,56.0
55.0,62,23.0
57.0,96,54.0
60.0,55,20.0
62.0,90,50.0
65.0,53,20.0
67.0,92,51.0
70.0,50,19.0
72.0,92,50.0
75.0,46,19.0
77.0,90,49.0
80.0,42,17.0
82.0,88,45.0
85.0,41,17.0
87.0,84,44.0
90.0,39,16.0
92.0,80,40.0
95.0,35,15.0
97.0,71,40.0
100.0,34,14.0
102.0,68,35.0
105.0,33,14.0
107.0,78,37.0
110.0,29,12.0
112.0,69,34.0
115.0,28,11.0
117.0,74,43.0
120.0,24,9.0
