time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
12.5,16,56,12,-115.02,3,-97.4138,7,7,20,0,-999,-999,0
12.5,16,56,12,-115.02,4,-101.592,2,2,20,0,-999,-999,0
12.5,16,56,12,-115.02,5,-104.823,7,7,20,0,-999,-999,0
12.5,16,56,12,-115.02,7,-107.964,10,10,20,0,-999,-999,0
12.5,16,56,12,-115.02,9,-124.17,10,10,10,1,12.0281,7.50747,0
12.5,16,56,12,-115.02,6,-126.865,5,5,20,0,-999,-999,0
12.5,16,56,12,-115.02,14,-127.46,10,10,10,1,14.5923,10.0717,0
12.5,16,56,12,-115.02,13,-128.524,10,10,10,1,10.4192,5.89861,0
12.5,16,56,12,-115.02,2,-129.229,6,6,20,0,-999,-999,0
12.5,16,56,12,-115.02,11,-131.701,10,10,10,1,11.688,7.16739,0
12.5,16,56,12,-115.02,1,-132.103,11,11,20,0,-999,-999,0
12.5,16,56,12,-115.02,10,-136.904,10,10,10,1,14.3179,9.79728,0
12.5,16,56,12,-115.02,8,-151.91,9,9,20,0,-999,-999,0
12.5,18,86,1,-111.265,13,-92.7975,10,10,10,1,10.4192,5.89861,0
12.5,18,86,1,-111.265,3,-110.407,7,7,20,0,-999,-999,0
12.5,18,86,1,-111.265,6,-116.828,5,5,20,0,-999,-999,0
12.5,18,86,1,-111.265,12,-117.02,10,10,10,1,13.4566,8.93599,0
12.5,18,86,1,-111.265,7,-118.385,10,10,20,0,-999,-999,0
12.5,18,86,1,-111.265,2,-119.738,6,6,20,0,-999,-999,0
12.5,18,86,1,-111.265,10,-121.209,10,10,10,1,14.3179,9.79728,0
12.5,18,86,1,-111.265,9,-129.103,10,10,10,1,12.0281,7.50747,0
12.5,18,86,1,-111.265,8,-130.348,9,9,20,0,-999,-999,0
12.5,18,86,1,-111.265,14,-134.331,10,10,10,1,14.5923,10.0717,0
12.5,18,86,1,-111.265,5,-136.042,7,7,20,0,-999,-999,0
12.5,18,86,1,-111.265,4,-139.441,2,2,20,0,-999,-999,0
12.5,18,86,1,-111.265,11,-142.032,10,10,10,1,11.688,7.16739,0
12.5,19,63,11,-122.417,5,-81.157,7,7,20,0,-999,-999,0
12.5,19,63,11,-122.417,6,-105.832,5,5,20,0,-999,-999,0
12.5,19,63,11,-122.417,2,-106.335,6,6,20,0,-999,-999,0
12.5,19,63,11,-122.417,1,-108.325,11,11,20,0,-999,-999,0
12.5,19,63,11,-122.417,10,-109.929,10,10,10,1,14.3179,9.79728,0
12.5,19,63,11,-122.417,4,-120.379,2,2,20,0,-999,-999,0
12.5,19,63,11,-122.417,8,-123.047,9,9,20,0,-999,-999,0
12.5,19,63,11,-122.417,3,-126.663,7,7,20,0,-999,-999,0
12.5,19,63,11,-122.417,14,-126.682,10,10,10,1,14.5923,10.0717,0
12.5,19,63,11,-122.417,13,-126.741,10,10,10,1,10.4192,5.89861,0
12.5,19,63,11,-122.417,12,-132.239,10,10,10,1,13.4566,8.93599,0
12.5,19,63,11,-122.417,9,-132.59,10,10,10,1,12.0281,7.50747,0
12.5,19,63,11,-122.417,7,-141.66,10,10,20,0,-999,-999,0
12.5,23,35,8,-123.72,9,-99.1513,10,10,10,1,12.0281,7.50747,0
12.5,23,35,8,-123.72,1,-105.606,11,11,20,0,-999,-999,0
12.5,23,35,8,-123.72,12,-108.435,10,10,10,1,13.4566,8.93599,0
12.5,23,35,8,-123.72,4,-121.685,2,2,20,0,-999,-999,0
12.5,23,35,8,-123.72,14,-123.835,10,10,10,1,14.5923,10.0717,0
12.5,23,35,8,-123.72,7,-125.707,10,10,20,0,-999,-999,0
12.5,23,35,8,-123.72,10,-128.333,10,10,10,1,14.3179,9.79728,0
12.5,23,35,8,-123.72,13,-129.9,10,10,10,1,10.4192,5.89861,0
12.5,23,35,8,-123.72,5,-132.409,7,7,20,0,-999,-999,0
12.5,23,35,8,-123.72,2,-132.664,6,6,20,0,-999,-999,0
12.5,23,35,8,-123.72,3,-133.723,7,7,20,0,-999,-999,0
12.5,23,35,8,-123.72,6,-134.615,5,5,20,0,-999,-999,0
12.5,23,35,8,-123.72,11,-149.706,10,10,10,1,11.688,7.16739,0
12.5,26,72,9,-80.6169,2,-78.4097,6,6,20,0,-999,-999,0
12.5,26,72,9,-80.6169,8,-90.6738,9,9,20,0,-999,-999,0
12.5,26,72,9,-80.6169,12,-101.979,10,10,10,1,13.4566,8.93599,0
12.5,26,72,9,-80.6169,11,-102.204,10,10,10,1,11.688,7.16739,0
12.5,26,72,9,-80.6169,1,-113.147,11,11,20,0,-999,-999,0
12.5,26,72,9,-80.6169,6,-116.977,5,5,20,0,-999,-999,0
12.5,26,72,9,-80.6169,4,-117.982,2,2,20,0,-999,-999,0
12.5,26,72,9,-80.6169,13,-120.547,10,10,10,1,10.4192,5.89861,0
12.5,26,72,9,-80.6169,3,-120.696,7,7,20,0,-999,-999,0
12.5,26,72,9,-80.6169,7,-129.023,10,10,20,0,-999,-999,0
12.5,26,72,9,-80.6169,10,-130.413,10,10,10,1,14.3179,9.79728,0
12.5,26,72,9,-80.6169,14,-139.416,10,10,10,1,14.5923,10.0717,0
12.5,26,72,9,-80.6169,5,-140.383,7,7,20,0,-999,-999,0
12.5,29,48,5,-84.4804,4,-90.1058,2,2,20,0,-999,-999,0
12.5,29,48,5,-84.4804,2,-99.284,6,6,20,0,-999,-999,0
12.5,29,48,5,-84.4804,10,-110.525,10,10,10,1,14.3179,9.79728,0
12.5,29,48,5,-84.4804,13,-120.105,10,10,10,1,10.4192,5.89861,0
12.5,29,48,5,-84.4804,8,-121.482,9,9,20,0,-999,-999,0
