Time,UE,Dir,Delay,Jitter,Throughput,PDR
4,0,DL,0,0,0,0
4,0,UL,0,0,0,0
4,1,DL,0,0,0,0
4,1,UL,0,0,0,0
4,2,DL,0,0,0,0
4,2,UL,0,0,0,0
4,3,DL,0.870695,0.0201944,0.996914,20.8333
4,3,UL,0.00620557,0.000184712,0.121582,99.6
4,4,DL,0,0,0,0
4,4,UL,0,0,0,0
4,5,DL,0,0,0,0
4,5,UL,0,0,0,0
4,6,DL,0,0,0,0
4,6,UL,0,0,0,0
4,7,DL,0,0,0,0
4,7,UL,0,0,0,0
4,8,DL,0.520732,0.0085626,0.0796051,1.65289
4,8,UL,0.00620571,0.000184712,0.121582,99.6
4,9,DL,0,0,0,0
4,9,UL,0,0,0,0
4,10,DL,0,0,0,0
4,10,UL,0,0,0,0
4,11,DL,0,0,0,0
4,11,UL,0,0,0,0
4,12,DL,0,0,0,0
4,12,UL,0,0,0,0
4,13,DL,0.594669,0.0216092,2.03174,42.5
4,13,UL,0.00620669,0.00018472,0.121582,99.6
4,14,DL,0,0,0,0
4,14,UL,0,0,0,0
4,15,DL,0,0,0,0
4,15,UL,0,0,0,0
4,16,DL,0,0,0,0
4,16,UL,0,0,0,0
4,17,DL,0,0,0,0
4,17,UL,0,0,0,0
4,18,DL,0,0,0,0
4,18,UL,0,0,0,0
4,19,DL,0.246559,0.00568448,1.23491,25.8333
4,19,UL,0.00620584,0.000184712,0.121582,99.6
4,20,DL,0,0,0,0
4,20,UL,0,0,0,0
4,21,DL,0,0,0,0
4,21,UL,0,0,0,0
4,22,DL,0,0,0,0
4,22,UL,0,0,0,0
4,23,DL,0,0,0,0
4,23,UL,0,0,0,0
4,24,DL,0,0,0,0
4,24,UL,0,0,0,0
4,25,DL,0,0,0,0
4,25,UL,0,0,0,0
4,26,DL,0,0,0,0
4,26,UL,0,0,0,0
4,27,DL,1.03358,0.0185071,0.437599,9.09091
4,27,UL,0,0,0,0
4,28,DL,0,0,0,0
4,28,UL,0.00620712,0.000184725,0.121582,99.6
4,29,DL,0,0,0,0
4,29,UL,0,0,0,0
4,30,DL,0,0,0,0
4,30,UL,0,0,0,0
4,31,DL,0,0,0,0
4,31,UL,0,0,0,0
4,32,DL,0,0,0,0
4,32,UL,0,0,0,0
4,33,DL,0,0,0,0
4,33,UL,0,0,0,0
4,34,DL,0,0,0,0
4,34,UL,0,0,0,0
4,35,DL,0,0,0,0
4,35,UL,0,0,0,0
4,36,DL,0,0,0,0
4,36,UL,0,0,0,0
4,37,DL,0,0,0,0
4,37,UL,0,0,0,0
4,38,DL,0,0,0,0
4,38,UL,0,0,0,0
4,39,DL,0,0,0,0
4,39,UL,0,0,0,0
4,40,DL,0,0,0,0
4,40,UL,0,0,0,0
4,41,DL,0,0,0,0
4,41,UL,0,0,0,0
4,42,DL,0.431808,0.0118331,2.78936,57.8512
4,42,UL,0.00620598,0.000184712,0.121582,99.6
4,43,DL,0,0,0,0
4,43,UL,0,0,0,0
4,44,DL,0,0,0,0
4,44,UL,0.00620611,0.000184712,0.121582,99.6
4,45,DL,0,0,0,0
4,45,UL,0,0,0,0
4,46,DL,0,0,0,0
4,46,UL,0,0,0,0
4,47,DL,0,0,0,0
4,47,UL,0,0,0,0
4,48,DL,0,0,0,0
4,48,UL,0,0,0,0
4,49,DL,0,0,0,0
4,49,UL,0.00803086,0.0020907,0.0107422,8.8
4,50,DL,0,0,0,0
4,50,UL,0,0,0,0
4,51,DL,0.890472,0.0219171,0.956928,20
4,51,UL,0.00620625,0.000184712,0.121582,99.6
4,52,DL,0,0,0,0
4,52,UL,0,0,0,0
4,53,DL,0,0,0,0
4,53,UL,0,0,0,0
4,54,DL,0,0,0,0
4,54,UL,0,0,0,0
4,55,DL,0,0,0,0
4,55,UL,0,0,0,0
4,56,DL,0,0,0,0
4,56,UL,0,0,0,0
4,57,DL,0,0,0,0
4,57,UL,0,0,0,0
4,58,DL,0,0,0,0
4,58,UL,0,0,0,0
4,59,DL,0,0,0,0
4,59,UL,0,0,0,0
4,60,DL,0,0,0,0
4,60,UL,0,0,0,0
4,61,DL,0,0,0,0
4,61,UL,0,0,0,0
4,62,DL,0,0,0,0
4,62,UL,0,0,0,0
4,63,DL,0.139373,0.00229801,4.14196,86.6667
4,63,UL,0,0,0,0
4,64,DL,0,0,0,0
4,64,UL,0,0,0,0
4,65,DL,0.266411,0.00657145,0.955795,19.8347
4,65,UL,0,0,0,0
4,66,DL,0.274023,0.00681569,0.875736,18.1818
4,66,UL,0,0,0,0
4,67,DL,0,0,0,0
4,67,UL,0,0,0,0
4,68,DL,1.03579,0.0186404,0.477947,10
4,68,UL,0,0,0,0
4,69,DL,0,0,0,0
4,69,UL,0,0,0,0
4,70,DL,0,0,0,0
4,70,UL,0,0,0,0
4,71,DL,0,0,0,0
4,71,UL,0,0,0,0
4,72,DL,0,0,0,0
4,72,UL,0,0,0,0
4,73,DL,0,0,0,0
4,73,UL,0,0,0,0
4,74,DL,0,0,0,0
4,74,UL,0,0,0,0
4,75,DL,0,0,0,0
4,75,UL,0,0,0,0
4,76,DL,1.01671,0.017495,0.438751,9.2437
4,76,UL,0.0120303,0.00199939,0.000976562,0.8
4,77,DL,0.276374,0.0200164,1.07569,22.314
4,77,UL,0.00620639,0.000184711,0.121582,99.6
4,78,DL,0,0,0,0
4,78,UL,0,0,0,0
4,79,DL,0,0,0,0
4,79,UL,0,0,0,0
4,80,DL,0,0,0,0
4,80,UL,0,0,0,0
4,81,DL,0,0,0,0
4,81,UL,0,0,0,0
4,82,DL,0,0,0,0
4,82,UL,0,0,0,0
4,83,DL,0,0,0,0
4,83,UL,0,0,0,0
4,84,DL,0,0,0,0
4,84,UL,0,0,0,0
4,85,DL,0,0,0,0
4,85,UL,0,0,0,0
4,86,DL,0,0,0,0
4,86,UL,0,0,0,0
4,87,DL,0,0,0,0
4,87,UL,0,0,0,0
4,88,DL,0,0,0,0
4,88,UL,0,0,0,0
4,89,DL,0,0,0,0
4,89,UL,0,0,0,0
4,90,DL,0,0,0,0
4,90,UL,0,0,0,0
4,91,DL,0.42676,0.0118688,2.78876,57.377
4,91,UL,0.00620682,0.00018472,0.121582,99.6
4,92,DL,0,0,0,0
4,92,UL,0,0,0,0
4,93,DL,0,0,0,0
4,93,UL,0.00803128,0.00209075,0.0107422,8.8
4,94,DL,0,0,0,0
4,94,UL,0,0,0,0
4,95,DL,0,0,0,0
4,95,UL,0,0,0,0
4,96,DL,0.259339,0.0205035,0.957481,19.8347
4,96,UL,0,0,0,0
4,97,DL,0,0,0,0
4,97,UL,0,0,0,0
4,98,DL,0,0,0,0
4,98,UL,0,0,0,0
4,99,DL,0,0,0,0
4,99,UL,0,0,0,0
4,100,DL,0,0,0,0
4,100,UL,0,0,0,0
4,101,DL,0.556633,0.0213825,2.07413,42.9752
4,101,UL,0.00620652,0.000184711,0.121582,99.6
4,102,DL,0,0,0,0
4,102,UL,0,0,0,0
4,103,DL,0,0,0,0
4,103,UL,0,0,0,0
4,104,DL,0,0,0,0
4,104,UL,0,0,0,0
4,105,DL,0,0,0,0
4,105,UL,0,0,0,0
4,106,DL,0,0,0,0
4,106,UL,0,0,0,0
4,107,DL,1.0328,0.0183018,0.477398,9.91736
4,107,UL,0.00620696,0.00018472,0.121582,99.6
4,108,DL,0,0,0,0
4,108,UL,0,0,0,0
4,109,DL,0,0,0,0
4,109,UL,0,0,0,0
4,110,DL,0.265988,0.00682252,0.956131,19.8347
4,110,UL,0,0,0,0
4,111,DL,0,0,0,0
4,111,UL,0,0,0,0
4,112,DL,0,0,0,0
4,112,UL,0,0,0,0
4,113,DL,0.24998,0.0200962,0.95628,19.8347
4,113,UL,0,0,0,0
4,114,DL,1.00527,0.0183918,0.477882,10
4,114,UL,0,0,0,0
6,0,DL,0,0,0,0
6,0,UL,0,0,0,0
6,1,DL,0,0,0,0
6,1,UL,0,0,0,0
6,2,DL,0,0,0,0
