Time,UE,Dir,Delay,Jitter,Throughput,PDR
4,0,DL,0.139514,0.0180173,1.2734,26.8908
4,0,UL,0.169029,0.00742845,0.00341797,2.8
4,1,DL,0.103782,0.0316129,0.558514,11.6667
4,1,UL,0,0,0,0
4,2,DL,0,0,0,0
4,2,UL,0,0,0,0
4,3,DL,0.498374,0.03509,1.91152,39.6694
4,3,UL,0.344032,0,0.000488281,0.4
4,4,DL,0.360932,0.0211018,1.95168,40.4959
4,4,UL,0,0,0,0
4,5,DL,0,0,0,0
4,5,UL,0,0,0,0
4,6,DL,0,0,0,0
4,6,UL,0,0,0,0
4,7,DL,0,0,0,0
4,7,UL,0,0,0,0
4,8,DL,0,0,0,0
4,8,UL,0.194029,0,0.000488281,0.4
4,9,DL,0,0,0,0
4,9,UL,0,0,0,0
4,10,DL,0,0,0,0
4,10,UL,0,0,0,0
4,11,DL,0,0,0,0
4,11,UL,0,0,0,0
4,12,DL,0,0,0,0
4,12,UL,0,0,0,0
4,13,DL,0.817685,0.0331772,2.66883,55.8333
4,13,UL,0.313699,0.0313329,0.00146484,1.2
4,14,DL,0,0,0,0
4,14,UL,0,0,0,0
4,15,DL,0,0,0,0
4,15,UL,0,0,0,0
4,16,DL,0.00605765,0.00173801,0.158787,3.30579
4,16,UL,0,0,0,0
4,17,DL,0,0,0,0
4,17,UL,0,0,0,0
4,18,DL,0,0,0,0
4,18,UL,0,0,0,0
4,19,DL,0.141169,0.0124199,0.198875,4.16667
4,19,UL,0.0210189,0.0158469,0.00341797,2.8
4,20,DL,0,0,0,0
4,20,UL,0,0,0,0
4,21,DL,0,0,0,0
4,21,UL,0,0,0,0
4,22,DL,0,0,0,0
4,22,UL,0,0,0,0
4,23,DL,0,0,0,0
4,23,UL,0,0,0,0
4,24,DL,0,0,0,0
4,24,UL,0,0,0,0
4,25,DL,0,0,0,0
4,25,UL,0,0,0,0
4,26,DL,0,0,0,0
4,26,UL,0,0,0,0
4,27,DL,0,0,0,0
4,27,UL,0,0,0,0
4,28,DL,0,0,0,0
4,28,UL,0,0,0,0
4,29,DL,0,0,0,0
4,29,UL,0,0,0,0
4,30,DL,0,0,0,0
4,30,UL,0,0,0,0
4,31,DL,0,0,0,0
4,31,UL,0,0,0,0
4,32,DL,0.0130699,0,0.0395088,0.826446
4,32,UL,0.0990291,0.00266658,0.00146484,1.2
4,33,DL,0,0,0,0
4,33,UL,0,0,0,0
4,34,DL,0,0,0,0
4,34,UL,0,0,0,0
4,35,DL,0,0,0,0
4,35,UL,0,0,0,0
4,36,DL,0.587528,0.0209601,0.917706,19.0083
4,36,UL,0.344032,0,0.000488281,0.4
4,37,DL,0.0843705,0.0191694,1.39496,28.9256
4,37,UL,0.14753,0.0107498,0.0078125,6.4
4,38,DL,0,0,0,0
4,38,UL,0,0,0,0
4,39,DL,0,0,0,0
4,39,UL,0,0,0,0
4,40,DL,0,0,0,0
4,40,UL,0,0,0,0
4,41,DL,0,0,0,0
4,41,UL,0,0,0,0
4,42,DL,0.256744,0.00680647,4.02208,83.4711
4,42,UL,0.325123,0.0114146,0.0117188,9.6
4,43,DL,0,0,0,0
4,43,UL,0,0,0,0
4,44,DL,0,0,0,0
4,44,UL,0.430961,0.00666576,0.00146484,1.2
4,45,DL,0.283681,0.006581,0.0796318,1.65289
4,45,UL,0,0,0,0
4,46,DL,0.179807,0.0285659,2.03324,42.1488
4,46,UL,0.160362,0.0306666,0.00146484,1.2
4,47,DL,0,0,0,0
4,47,UL,0,0,0,0
4,48,DL,0,0,0,0
4,48,UL,0,0,0,0
4,49,DL,0,0,0,0
4,49,UL,0,0,0,0
4,50,DL,0,0,0,0
