time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,12,31,6,-91.0068,2,-116.164,1,1,10,0,-999,-999,0
6.5,12,31,6,-91.0068,1,-123.156,0,0,10,0,-999,-999,0
6.5,12,31,6,-91.0068,4,-127.646,2,2,10,0,-999,-999,0
6.5,12,31,6,-91.0068,5,-130.435,1,1,10,0,-999,-999,0
6.5,12,31,6,-91.0068,9,-131.758,1,1,8,1,16.0626,11.542,0
6.5,12,31,6,-91.0068,7,-134.855,1,1,8,1,14.174,9.65341,0
6.5,12,31,6,-91.0068,3,-142.996,0,0,10,0,-999,-999,0
6.5,12,31,6,-91.0068,8,-153.1,1,1,8,1,11.0903,6.56968,0
6.5,13,8,9,-102.405,3,-107.453,0,0,10,0,-999,-999,0
6.5,13,8,9,-102.405,7,-113.927,1,1,8,1,14.174,9.65341,0
6.5,13,8,9,-102.405,5,-114.333,1,1,10,0,-999,-999,0
6.5,13,8,9,-102.405,8,-126.524,1,1,8,1,11.0903,6.56968,0
6.5,13,8,9,-102.405,4,-128.532,2,2,10,0,-999,-999,0
6.5,13,8,9,-102.405,6,-134.998,4,4,8,1,14.1404,9.61977,0
6.5,13,8,9,-102.405,2,-142.967,1,1,10,0,-999,-999,0
6.5,13,8,9,-102.405,1,-148.833,0,0,10,0,-999,-999,0
6.5,15,15,6,-88.9796,1,-121.497,0,0,10,0,-999,-999,0
6.5,15,15,6,-88.9796,9,-126.327,1,1,8,1,16.0626,11.542,0
6.5,15,15,6,-88.9796,4,-132.836,2,2,10,0,-999,-999,0
6.5,15,15,6,-88.9796,7,-134.965,1,1,8,1,14.174,9.65341,0
6.5,15,15,6,-88.9796,5,-136.639,1,1,10,0,-999,-999,0
6.5,15,15,6,-88.9796,2,-137.16,1,1,10,0,-999,-999,0
6.5,15,15,6,-88.9796,3,-139.209,0,0,10,0,-999,-999,0
6.5,15,15,6,-88.9796,8,-153.71,1,1,8,1,11.0903,6.56968,0
6.5,16,8,7,-72.8122,1,-130.497,0,0,10,0,-999,-999,0
6.5,16,8,7,-72.8122,2,-135.068,1,1,10,0,-999,-999,0
6.5,16,8,7,-72.8122,4,-139.356,2,2,10,0,-999,-999,0
6.5,16,8,7,-72.8122,6,-141.9,4,4,8,1,14.1404,9.61977,0
6.5,16,8,7,-72.8122,3,-147.861,0,0,10,0,-999,-999,0
6.5,16,8,7,-72.8122,9,-153.552,1,1,8,1,16.0626,11.542,0
6.5,16,8,7,-72.8122,5,-155.342,1,1,10,0,-999,-999,0
6.5,16,8,7,-72.8122,8,-160.36,1,1,8,1,11.0903,6.56968,0
6.5,17,32,6,-91.0363,2,-111.482,1,1,10,0,-999,-999,0
6.5,17,32,6,-91.0363,7,-115.681,1,1,8,1,14.174,9.65341,0
6.5,17,32,6,-91.0363,5,-120.712,1,1,10,0,-999,-999,0
6.5,17,32,6,-91.0363,1,-125.444,0,0,10,0,-999,-999,0
6.5,17,32,6,-91.0363,4,-126.128,2,2,10,0,-999,-999,0
6.5,17,32,6,-91.0363,3,-138.433,0,0,10,0,-999,-999,0
6.5,17,32,6,-91.0363,9,-148.89,1,1,8,1,16.0626,11.542,0
6.5,17,32,6,-91.0363,8,-154.256,1,1,8,1,11.0903,6.56968,0
6.5,22,8,2,-114.604,9,-108.986,1,1,8,1,16.0626,11.542,0
6.5,22,8,2,-114.604,1,-115.855,0,0,10,0,-999,-999,0
6.5,22,8,2,-114.604,7,-118.438,1,1,8,1,14.174,9.65341,0
6.5,22,8,2,-114.604,6,-121.195,4,4,8,1,14.1404,9.61977,0
6.5,22,8,2,-114.604,4,-122.6,2,2,10,0,-999,-999,0
6.5,22,8,2,-114.604,3,-138.25,0,0,10,0,-999,-999,0
6.5,22,8,2,-114.604,5,-145.036,1,1,10,0,-999,-999,0
6.5,22,8,2,-114.604,8,-153.473,1,1,8,1,11.0903,6.56968,0
6.5,25,16,6,-77.2126,4,-130.962,2,2,10,0,-999,-999,0
6.5,25,16,6,-77.2126,2,-134.228,1,1,10,0,-999,-999,0
6.5,25,16,6,-77.2126,1,-135.511,0,0,10,0,-999,-999,0
6.5,25,16,6,-77.2126,5,-137.655,1,1,10,0,-999,-999,0
6.5,25,16,6,-77.2126,9,-140.598,1,1,8,1,16.0626,11.542,0
6.5,25,16,6,-77.2126,3,-140.628,0,0,10,0,-999,-999,0
6.5,25,16,6,-77.2126,7,-141.498,1,1,8,1,14.174,9.65341,0
