Time,Role,LocalUE,IMSI,IP,ServingCell,ServingType,Dir,Delay,Jitter,Throughput,PDR,TxPackets,RxPackets,RxBytes
4,UES1,0,9,7.0.0.2,0,NONE,DL,nan,nan,0,nan,0,0,0
4,UES1,0,9,7.0.0.2,0,NONE,UL,nan,nan,0,nan,0,0,0
4,UES1,1,10,7.0.0.3,0,NONE,DL,nan,nan,0,nan,0,0,0
4,UES1,1,10,7.0.0.3,0,NONE,UL,nan,nan,0,nan,0,0,0
4,UES1,2,11,7.0.0.4,6,NTN,DL,nan,nan,0,nan,0,0,0
4,UES1,2,11,7.0.0.4,6,NTN,UL,nan,nan,0,nan,0,0,0
4,UES1,3,12,7.0.0.5,9,NTN,DL,nan,nan,0,nan,0,0,0
4,UES1,3,12,7.0.0.5,9,NTN,UL,nan,nan,0,nan,0,0,0
4,UES1,4,13,7.0.0.6,0,NONE,DL,nan,nan,0,nan,0,0,0
4,UES1,4,13,7.0.0.6,0,NONE,UL,nan,nan,0,nan,0,0,0
4,UES1,5,14,7.0.0.7,6,NTN,DL,nan,nan,0,nan,0,0,0
4,UES1,5,14,7.0.0.7,6,NTN,UL,nan,nan,0,nan,0,0,0
4,UES1,6,15,7.0.0.8,7,NTN,DL,nan,nan,0,nan,0,0,0
4,UES1,6,15,7.0.0.8,7,NTN,UL,nan,nan,0,nan,0,0,0
4,UES1,7,16,7.0.0.9,6,NTN,DL,nan,nan,0,nan,0,0,0
4,UES1,7,16,7.0.0.9,6,NTN,UL,nan,nan,0,nan,0,0,0
4,UES1,8,17,7.0.0.10,0,NONE,DL,nan,nan,0,nan,0,0,0
4,UES1,8,17,7.0.0.10,0,NONE,UL,nan,nan,0,nan,0,0,0
4,UES1,9,18,7.0.0.11,0,NONE,DL,nan,nan,0,nan,0,0,0
4,UES1,9,18,7.0.0.11,0,NONE,UL,nan,nan,0,nan,0,0,0
4,UES1,10,19,7.0.0.12,0,NONE,DL,nan,nan,0,nan,0,0,0
4,UES1,10,19,7.0.0.12,0,NONE,UL,nan,nan,0,nan,0,0,0
4,UES1,11,20,7.0.0.13,0,NONE,DL,nan,nan,0,nan,0,0,0
4,UES1,11,20,7.0.0.13,0,NONE,UL,nan,nan,0,nan,0,0,0
4,UES1,12,21,7.0.0.14,2,TN,DL,nan,nan,0,nan,0,0,0
