Time,CellId,ServiceDlSnrDb,ServiceUlSnrDb,FeederDlSnrDb,FeederUlSnrDb,BackhaulDlSnrDb,BackhaulUlSnrDb,BackhaulHealthy
0.100000,6,11.225563,6.704963,17.043667,25.523068,11.225563,6.704963,1
0.100000,7,14.211684,9.691084,17.043667,25.523068,14.211684,9.691084,1
0.100000,8,12.799476,8.278876,17.043667,25.523068,12.799476,8.278876,1
0.100000,9,9.124872,4.604272,17.043667,25.523068,9.124872,4.604272,1
0.600000,6,14.092882,9.572283,17.440850,25.920250,14.092882,9.572283,1
0.600000,7,9.750279,5.229679,17.440850,25.920250,9.750279,5.229679,1
0.600000,8,9.414882,4.894282,17.440850,25.920250,9.414882,4.894282,1
0.600000,9,12.825653,8.305053,17.440850,25.920250,12.825653,8.305053,1
1.100000,6,13.827380,9.306780,18.395820,26.875221,13.827380,9.306780,1
1.100000,7,10.599710,6.079110,18.395820,26.875221,10.599710,6.079110,1
1.100000,8,12.770904,8.250304,18.395820,26.875221,12.770904,8.250304,1
1.100000,9,13.835715,9.315115,18.395820,26.875221,13.835715,9.315115,1
1.600000,6,9.041940,4.521340,16.589721,25.069121,9.041940,4.521340,1
1.600000,7,12.332564,7.811965,16.589721,25.069121,12.332564,7.811965,1
1.600000,8,13.174616,8.654016,16.589721,25.069121,13.174616,8.654016,1
1.600000,9,15.902442,11.381842,16.589721,25.069121,15.902442,11.381842,1
2.100000,6,14.263390,9.742791,17.252219,25.731619,14.263390,9.742791,1
2.100000,7,10.376873,5.856273,17.252219,25.731619,10.376873,5.856273,1
2.100000,8,11.868948,7.348348,17.252219,25.731619,11.868948,7.348348,1
2.100000,9,11.533111,7.012511,17.252219,25.731619,11.533111,7.012511,1
2.600000,6,12.710305,8.189705,19.692319,28.171719,12.710305,8.189705,1
2.600000,7,12.549020,8.028420,19.692319,28.171719,12.549020,8.028420,1
2.600000,8,12.028239,7.507639,19.692319,28.171719,12.028239,7.507639,1
2.600000,9,10.340213,5.819613,19.692319,28.171719,10.340213,5.819613,1
3.100000,6,10.944107,6.423507,19.137657,27.617057,10.944107,6.423507,1
3.100000,7,13.912596,9.391996,19.137657,27.617057,13.912596,9.391996,1
3.100000,8,13.363979,8.843379,19.137657,27.617057,13.363979,8.843379,1
3.100000,9,11.058870,6.538270,19.137657,27.617057,11.058870,6.538270,1
3.600000,6,12.288803,7.768203,19.343328,27.822728,12.288803,7.768203,1
3.600000,7,10.656992,6.136392,19.343328,27.822728,10.656992,6.136392,1
3.600000,8,10.415663,5.895063,19.343328,27.822728,10.415663,5.895063,1
3.600000,9,15.711330,11.190730,19.343328,27.822728,15.711330,11.190730,1
4.100000,6,12.973489,8.452889,17.433290,25.912690,12.973489,8.452889,1
4.100000,7,12.431815,7.911216,17.433290,25.912690,12.431815,7.911216,1
4.100000,8,11.808786,7.288186,17.433290,25.912690,11.808786,7.288186,1
4.100000,9,12.934526,8.413926,17.433290,25.912690,12.934526,8.413926,1
4.600000,6,13.851051,9.330452,16.817186,25.296586,13.851051,9.330452,1
4.600000,7,10.283206,5.762606,16.817186,25.296586,10.283206,5.762606,1
4.600000,8,12.826744,8.306144,16.817186,25.296586,12.826744,8.306144,1
4.600000,9,11.294133,6.773533,16.817186,25.296586,11.294133,6.773533,1
5.100000,6,12.462762,7.942162,21.339156,29.818556,12.462762,7.942162,1
5.100000,7,11.677625,7.157025,21.339156,29.818556,11.677625,7.157025,1
5.100000,8,12.042211,7.521611,21.339156,29.818556,12.042211,7.521611,1
5.100000,9,13.604403,9.083803,21.339156,29.818556,13.604403,9.083803,1
5.600000,6,7.989354,3.468754,17.688431,26.167831,7.989354,3.468754,1
5.600000,7,12.167040,7.646440,17.688431,26.167831,12.167040,7.646440,1
5.600000,8,10.572705,6.052106,17.688431,26.167831,10.572705,6.052106,1
5.600000,9,10.040967,5.520367,17.688431,26.167831,10.040967,5.520367,1
6.100000,6,14.140371,9.619771,19.529393,28.008793,14.140371,9.619771,1
6.100000,7,14.174009,9.653409,19.529393,28.008793,14.174009,9.653409,1
6.100000,8,11.090276,6.569676,19.529393,28.008793,11.090276,6.569676,1
6.100000,9,16.062638,11.542038,19.529393,28.008793,16.062638,11.542038,1
6.600000,6,15.639903,11.119304,19.910483,28.389883,15.639903,11.119304,1
6.600000,7,11.438615,6.918015,19.910483,28.389883,11.438615,6.918015,1
6.600000,8,10.539560,6.018960,19.910483,28.389883,10.539560,6.018960,1
6.600000,9,17.119866,12.599266,19.910483,28.389883,17.119866,12.599266,1
7.100000,6,12.592599,8.071999,19.876261,28.355661,12.592599,8.071999,1
7.100000,7,10.044775,5.524175,19.876261,28.355661,10.044775,5.524175,1
7.100000,8,14.009087,9.488487,19.876261,28.355661,14.009087,9.488487,1
7.100000,9,12.491900,7.971300,19.876261,28.355661,12.491900,7.971300,1
7.600000,6,11.384343,6.863744,18.427584,26.906984,11.384343,6.863744,1
7.600000,7,13.186287,8.665687,18.427584,26.906984,13.186287,8.665687,1
7.600000,8,11.998112,7.477512,18.427584,26.906984,11.998112,7.477512,1
7.600000,9,14.590663,10.070063,18.427584,26.906984,14.590663,10.070063,1
8.100000,6,12.783373,8.262773,16.556986,25.036386,12.783373,8.262773,1
8.100000,7,12.648624,8.128024,16.556986,25.036386,12.648624,8.128024,1
8.100000,8,11.186025,6.665425,16.556986,25.036386,11.186025,6.665425,1
8.100000,9,10.852286,6.331686,16.556986,25.036386,10.852286,6.331686,1
8.600000,6,13.578835,9.058235,18.794697,27.274097,13.578835,9.058235,1
8.600000,7,10.275984,5.755384,18.794697,27.274097,10.275984,5.755384,1
8.600000,8,13.121087,8.600487,18.794697,27.274097,13.121087,8.600487,1
8.600000,9,8.423351,3.902751,18.794697,27.274097,8.423351,3.902751,1
9.100000,6,12.335457,7.814857,19.402884,27.882284,12.335457,7.814857,1
9.100000,7,13.271854,8.751254,19.402884,27.882284,13.271854,8.751254,1
9.100000,8,12.810979,8.290379,19.402884,27.882284,12.810979,8.290379,1
9.100000,9,13.686089,9.165489,19.402884,27.882284,13.686089,9.165489,1
9.600000,6,12.198049,7.677450,17.653539,26.132939,12.198049,7.677450,1
9.600000,7,12.845322,8.324722,17.653539,26.132939,12.845322,8.324722,1
9.600000,8,11.881155,7.360555,17.653539,26.132939,11.881155,7.360555,1
9.600000,9,11.673951,7.153351,17.653539,26.132939,11.673951,7.153351,1
10.100000,6,11.922081,7.401481,18.238503,26.717903,11.922081,7.401481,1
10.100000,7,8.275636,3.755037,18.238503,26.717903,8.275636,3.755037,1
10.100000,8,13.787086,9.266486,18.238503,26.717903,13.787086,9.266486,1
10.100000,9,14.925085,10.404485,18.238503,26.717903,14.925085,10.404485,1
10.600000,6,14.136142,9.615542,13.689915,22.169315,13.689915,9.615542,1
10.600000,7,12.546869,8.026270,13.689915,22.169315,12.546869,8.026270,1
10.600000,8,12.198433,7.677833,13.689915,22.169315,12.198433,7.677833,1
10.600000,9,14.056482,9.535883,13.689915,22.169315,13.689915,9.535883,1
11.100000,6,12.641532,8.120932,19.501052,27.980452,12.641532,8.120932,1
11.100000,7,10.405376,5.884776,19.501052,27.980452,10.405376,5.884776,1
11.100000,8,12.436288,7.915688,19.501052,27.980452,12.436288,7.915688,1
11.100000,9,13.273459,8.752859,19.501052,27.980452,13.273459,8.752859,1
11.600000,6,11.731422,7.210822,15.956643,24.436043,11.731422,7.210822,1
11.600000,7,12.783704,8.263104,15.956643,24.436043,12.783704,8.263104,1
11.600000,8,9.997617,5.477017,15.956643,24.436043,9.997617,5.477017,1
11.600000,9,15.797064,11.276464,15.956643,24.436043,15.797064,11.276464,1
12.100000,6,14.685186,10.164586,18.425619,26.905019,14.685186,10.164586,1
12.100000,7,12.448945,7.928345,18.425619,26.905019,12.448945,7.928345,1
12.100000,8,12.149817,7.629217,18.425619,26.905019,12.149817,7.629217,1
12.100000,9,12.113970,7.593370,18.425619,26.905019,12.113970,7.593370,1
12.600000,6,12.259529,7.738929,12.493688,20.973088,12.259529,7.738929,1
12.600000,7,13.259549,8.738949,12.493688,20.973088,12.493688,8.738949,1
12.600000,8,13.106597,8.585997,12.493688,20.973088,12.493688,8.585997,1
12.600000,9,13.917726,9.397127,12.493688,20.973088,12.493688,9.397127,1
13.100000,6,11.898631,7.378031,15.887006,24.366406,11.898631,7.378031,1
13.100000,7,13.481210,8.960610,15.887006,24.366406,13.481210,8.960610,1
13.100000,8,15.575140,11.054541,15.887006,24.366406,15.575140,11.054541,1
13.100000,9,15.052711,10.532111,15.887006,24.366406,15.052711,10.532111,1
13.600000,6,12.735452,8.214852,16.604050,25.083450,12.735452,8.214852,1
13.600000,7,11.138744,6.618144,16.604050,25.083450,11.138744,6.618144,1
13.600000,8,13.028040,8.507440,16.604050,25.083450,13.028040,8.507440,1
13.600000,9,13.621077,9.100477,16.604050,25.083450,13.621077,9.100477,1
14.100000,6,11.836560,7.315960,18.320896,26.800296,11.836560,7.315960,1
14.100000,7,13.203663,8.683063,18.320896,26.800296,13.203663,8.683063,1
14.100000,8,12.409339,7.888739,18.320896,26.800296,12.409339,7.888739,1
14.100000,9,9.494070,4.973470,18.320896,26.800296,9.494070,4.973470,1
14.600000,6,10.842887,6.322287,18.957920,27.437320,10.842887,6.322287,1
14.600000,7,12.278010,7.757410,18.957920,27.437320,12.278010,7.757410,1
14.600000,8,12.087728,7.567128,18.957920,27.437320,12.087728,7.567128,1
14.600000,9,14.198911,9.678311,18.957920,27.437320,14.198911,9.678311,1
15.100000,6,12.885457,8.364857,15.738824,24.218224,12.885457,8.364857,1
15.100000,7,14.194805,9.674205,15.738824,24.218224,14.194805,9.674205,1
15.100000,8,11.123043,6.602443,15.738824,24.218224,11.123043,6.602443,1
15.100000,9,11.226712,6.706112,15.738824,24.218224,11.226712,6.706112,1
15.600000,6,15.285793,10.765193,15.256160,23.735560,15.256160,10.765193,1
15.600000,7,10.404164,5.883564,15.256160,23.735560,10.404164,5.883564,1
15.600000,8,10.213666,5.693066,15.256160,23.735560,10.213666,5.693066,1
15.600000,9,12.951808,8.431208,15.256160,23.735560,12.951808,8.431208,1
16.100000,6,10.754153,6.233553,15.803967,24.283368,10.754153,6.233553,1
16.100000,7,10.611102,6.090502,15.803967,24.283368,10.611102,6.090502,1
16.100000,8,13.115881,8.595282,15.803967,24.283368,13.115881,8.595282,1
