time,underserved_count,heatmap_sum
2.0,175,91.0
5.0,142,58.0
7.0,129,77.0
10.0,121,49.0
12.0,130,74.0
15.0,112,45.0
17.0,126,72.0
20.0,105,41.0
22.0,114,69.0
25.0,97,41.0
27.0,114,68.0
30.0,93,38.0
32.0,110,62.0
35.0,87,38.0
37.0,102,52.0
40.0,79,37.0
42.0,98,52.0
45.0,75,34.0
47.0,100,49.0
50.0,67,32.0
52.0,96,46.0
55.0,65,30.0
57.0,94,46.0
60.0,59,26.0
62.0,95,49.0
65.0,59,26.0
67.0,84,41.0
70.0,54,25.0
72.0,84,38.0
75.0,49,23.0
77.0,89,42.0
80.0,42,19.0
82.0,77,36.0
85.0,39,19.0
87.0,79,36.0
90.0,37,18.0
92.0,79,38.0
95.0,34,17.0
97.0,78,37.0
100.0,31,15.0
102.0,79,35.0
105.0,31,15.0
107.0,85,40.0
110.0,30,14.0
112.0,77,38.0
115.0,29,14.0
117.0,75,32.0
120.0,26,14.0
