Time,RecordType,UavIndex,UavCellId,CentroidIndex,CurrentEastM,CurrentNorthM,TargetEastM,TargetNorthM,DistanceToTargetM,ReachThresholdM,HasMovementAssignment,Arrived,NumMovementUes,NumCentroids
12,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
12,TRACK,1,6,-1,12.9208,29.9315,12.9206,29.9315,0.000201567,1,0,0,0,0
12,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
13,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
13,TRACK,1,6,-1,12.9208,29.9315,12.9206,29.9315,0.000201567,1,0,0,0,0
13,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
14,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
14,TRACK,1,6,-1,12.9208,29.9315,12.9206,29.9315,0.000201567,1,0,0,0,0
14,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
15,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
15,TRACK,1,6,-1,12.9208,29.9315,12.9206,29.9315,0.000201567,1,0,0,0,0
15,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
16,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
16,TRACK,1,6,-1,12.9208,29.9315,12.9206,29.9315,0.000201567,1,0,0,0,0
16,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
17,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
17,TRACK,1,6,-1,12.9208,29.9315,12.9206,29.9315,0.000201567,1,0,0,0,0
17,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
18,ASSIGN,0,5,0,13.8832,-85.7669,355.171,-340.638,425.954,1,1,0,3,3
18,ASSIGN,1,6,1,12.9208,29.9315,365.381,340.354,469.67,1,1,0,3,3
18,ASSIGN,2,7,2,24.4462,-62.1946,377.214,-344.227,451.649,1,1,0,3,3
19,ASSIGN,0,5,2,25.9028,-94.7422,367.732,342.743,555.194,1,1,0,3,3
19,ASSIGN,1,6,0,24.1785,39.8456,365.243,352.44,462.644,1,1,0,3,3
19,ASSIGN,2,7,1,36.1632,-71.5614,-319.706,358.236,558.004,1,1,0,3,3
20,ASSIGN,0,5,0,35.1391,-82.9224,365.76,349.213,544.106,1,1,0,2,2
20,ASSIGN,1,6,1,35.2377,49.9806,370.063,346.843,447.477,1,1,0,2,2
21,ASSIGN,0,5,0,44.2546,-71.0093,373.117,349.365,533.727,1,1,0,1,1
22,ASSIGN,0,5,0,53.498,-59.195,375.703,351.375,521.904,1,1,0,1,1
23,ASSIGN,0,5,0,62.7594,-47.3948,378.782,355.149,511.773,1,1,0,1,1
24,ASSIGN,0,5,2,72.0221,-35.5963,318.32,329.517,440.421,1,1,0,4,3
24,ASSIGN,1,6,1,46.4619,59.9318,392.658,313.432,429.085,1,1,0,4,3
24,ASSIGN,2,7,0,26.598,-60.0078,393.72,354.65,553.823,1,1,0,4,3
25,ASSIGN,0,5,2,80.4115,-23.1611,373.445,338.143,465.198,1,1,0,6,3
25,ASSIGN,1,6,1,58.5652,68.7937,-280.089,383.161,462.075,1,1,0,6,3
25,ASSIGN,2,7,0,36.5424,-48.777,-412.356,319.241,580.472,1,1,0,6,3
26,ASSIGN,0,5,1,89.8607,-11.5111,371.959,337.949,449.112,1,1,0,6,3
26,ASSIGN,1,6,0,47.5718,78.9988,-415.971,318.267,521.652,1,1,0,6,3
