Time,UeGroup,UeIndex,UeNodeId,Imsi,ServingCell,ServingRsrpDbm,BestFeasibleTnRsrpDbm,BestFeasibleUavRsrpDbm,ServiceState,StateAgeSec,SensedOrOraclePositionAvailable,ControllerEastM,ControllerNorthM,IncludedInMovementTarget
12,UES1,0,7,7,4,-86.7802,-65.8887,-87.847,SERVED,0,1,-60.088210,-81.964992,0
12,UES1,1,8,8,1,-53.6633,-89.6103,-89.7529,SERVED,0,1,68.084727,-28.611410,0
12,UES1,2,9,9,3,-80.0643,-70.2269,-80.3322,SERVED,0,1,-112.178149,95.169257,0
12,UES1,3,10,10,4,-74.8188,-85.7802,-89.9851,SERVED,0,1,29.949693,-76.410379,0
12,UES1,4,11,11,1,-83.7033,-95.0926,-98.9182,SERVED,0,1,-5.868973,87.664901,0
12,UES1,5,12,12,4,-70.4645,-74.6686,-102.757,SERVED,0,1,-70.209852,-11.962754,0
12,UES1,6,13,13,1,-63.6103,-62.3581,-88.4719,SERVED,0,1,89.279389,-19.209694,0
12,UES1,7,14,14,2,-82.3165,-71.5578,-87.5882,SERVED,0,1,39.404628,8.857038,0
12,UES1,8,15,15,1,-85.7778,-66.1977,-90.2177,SERVED,0,1,4.048375,-79.109927,0
12,UES1,9,16,16,3,-67.8043,-76.3076,-100.532,SERVED,0,1,-37.334789,59.310653,0
12,UES1,10,17,17,4,-88.0165,-74.3353,-89.8234,SERVED,0,1,-42.332815,-34.992034,0
12,UES1,11,18,18,1,-73.9972,-77.4994,-71.5024,SERVED,0,1,25.911897,31.860737,0
12,UES1,12,19,19,7,-92.1555,-87.3062,-95.0778,SERVED,0,1,118.989808,-79.454615,0
12,UES1,13,20,20,5,-88.7515,-80.8054,-66.4722,SERVED,0,1,19.853169,20.412765,0
12,UES1,14,21,21,1,-79.5768,-88.4893,-96.3644,SERVED,0,1,13.802814,-23.137893,0
12,UES1,15,22,22,1,-58.526,-67.1361,-97.1813,SERVED,0,1,94.761117,36.335087,0
12,UES1,16,23,23,6,-96.9208,-89.1733,-87.6433,SERVED,0,1,-109.912495,-50.473105,0
12,UES1,17,24,24,1,-65.0899,-88.6774,-85.5241,SERVED,0,1,8.019429,-6.530305,0
12,UES1,18,25,25,1,-81.5098,-74.9218,-76.9629,SERVED,0,1,18.468802,42.553124,0
12,UES1,19,26,26,6,-66.6487,-81.0688,-85.1564,SERVED,0,1,-33.150351,-12.521987,0
12,UES1,20,27,27,6,-92.3906,-71.5779,-98.2819,SERVED,0,1,-58.260329,71.875003,0
12,UES1,21,28,28,3,-68.9458,-90.0954,-101.626,SERVED,0,1,-94.721779,111.971869,0
12,UES1,22,29,29,2,-58.2864,-76.4108,-80.0808,SERVED,0,1,120.572967,14.804225,0
12,UES1,23,30,30,6,-74.327,-81.0549,-81.5174,SERVED,0,1,23.197944,-34.578162,0
12,UES1,24,31,31,2,-61.9404,-87.3499,-100.907,SERVED,0,1,38.598456,102.256555,0
12,UES1,25,32,32,1,-63.1597,-80.0496,-91.8232,SERVED,0,1,-28.057355,89.639347,0
12,UES1,26,33,33,5,-101.554,-83.8354,-90.533,ALTERNATIVE_AVAILABLE,0,1,139.746219,-30.958121,0
12,UES1,27,34,34,5,-91.6959,-61.5713,-71.3144,SERVED,0,1,52.127789,-0.692983,0
12,UES1,28,35,35,4,-48.6787,-67.2158,-91.815,SERVED,0,1,-105.864412,33.345839,0
12,UES1,29,36,36,6,-66.8933,-84.9944,-78.9052,SERVED,0,1,25.221268,32.914426,0
12,UES1,30,37,37,7,-87.7311,-85.6256,-65.6777,SERVED,0,1,27.434054,-112.048382,0
12,UES1,31,38,38,4,-78.4191,-77.3256,-76.6179,SERVED,0,1,77.870982,3.158688,0
12,UES1,32,39,39,6,-64.8218,-51.354,-80.0292,SERVED,0,1,41.369582,3.517376,0
12,UES1,33,40,40,7,-81.3867,-82.8209,-86.5688,SERVED,0,1,-53.148435,-16.233862,0
12,UES1,34,41,41,4,-88.7685,-85.2477,-88.5492,SERVED,0,1,-48.414508,-86.180110,0
12,UES1,35,42,42,6,-66.5282,-72.7173,-82.6574,SERVED,0,1,30.928821,-14.280393,0
12,UES1,36,43,43,1,-83.6424,-62.1867,-78.5706,SERVED,0,1,107.796221,77.270144,0
12,UES1,37,44,44,6,-74.1589,-76.8397,-80.7859,SERVED,0,1,5.423173,-36.720306,0
12,UES1,38,45,45,1,-73.8811,-74.6862,-93.3524,SERVED,0,1,19.486445,-17.043779,0
12,UES1,39,46,46,1,-83.6746,-98.4592,-71.582,SERVED,0,1,23.271385,-22.276462,0
