Time,RecordType,UavIndex,UavCellId,CentroidIndex,CurrentEastM,CurrentNorthM,TargetEastM,TargetNorthM,DistanceToTargetM,ReachThresholdM,HasMovementAssignment,Arrived,NumMovementUes,NumCentroids
12,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
12,TRACK,1,6,-1,12.9208,29.9315,12.9206,29.9315,0.000201567,1,0,0,0,0
12,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
13,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
13,TRACK,1,6,-1,12.9208,29.9315,12.9206,29.9315,0.000201567,1,0,0,0,0
13,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
14,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
14,TRACK,1,6,-1,12.9208,29.9315,12.9206,29.9315,0.000201567,1,0,0,0,0
14,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
15,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
15,TRACK,1,6,-1,12.9208,29.9315,12.9206,29.9315,0.000201567,1,0,0,0,0
15,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
16,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
16,TRACK,1,6,-1,12.9208,29.9315,12.9206,29.9315,0.000201567,1,0,0,0,0
16,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
17,TRACK,0,5,-1,13.8832,-85.7669,13.8832,-85.7669,7.50155e-06,1,0,0,0,0
17,TRACK,1,6,-1,12.9208,29.9315,12.9206,29.9315,0.000201567,1,0,0,0,0
17,TRACK,2,7,-1,24.4462,-62.1946,24.446,-62.1946,0.000173865,1,0,0,0,0
18,ASSIGN,0,5,0,13.8832,-85.7669,356.071,-340.855,426.805,1,1,0,3,3
18,ASSIGN,1,6,1,12.9208,29.9315,365.148,340.409,469.532,1,1,0,3,3
18,ASSIGN,2,7,2,24.4462,-62.1946,376.182,-345.055,451.363,1,1,0,3,3
19,ASSIGN,0,5,2,25.91,-94.732,367.941,343.273,555.728,1,1,0,3,3
19,ASSIGN,1,6,0,24.1737,39.8502,365.694,353.306,463.563,1,1,0,3,3
19,ASSIGN,2,7,1,36.1357,-71.5949,-318.626,357.811,556.997,1,1,0,3,3
20,ASSIGN,0,5,0,35.1427,-82.9095,366.246,349.344,544.493,1,1,0,2,2
20,ASSIGN,1,6,1,35.2257,49.9931,370.734,346.137,447.512,1,1,0,2,2
21,ASSIGN,0,5,0,44.2641,-71.0015,373.527,349.001,533.682,1,1,0,1,1
22,ASSIGN,0,5,0,53.5196,-59.1966,376.32,351.865,522.658,1,1,0,1,1
23,ASSIGN,0,5,1,62.7846,-47.3994,379.113,354.729,511.635,1,1,0,3,2
23,ASSIGN,2,7,0,26.5824,-60.0309,-353.615,324.412,540.691,1,1,0,3,2
24,ASSIGN,0,5,1,72.0591,-35.6099,375.033,331.295,475.828,1,1,0,7,2
24,ASSIGN,2,7,0,16.0352,-49.3656,-340.523,332.197,522.23,1,1,0,7,2
25,ASSIGN,0,5,1,81.6112,-24.0436,-299.999,359.734,541.213,1,1,0,2,2
25,ASSIGN,1,6,0,46.4726,59.9194,-402.172,304.236,510.855,1,1,0,2,2
26,ASSIGN,0,5,2,71.0353,-13.407,369.028,-384.225,475.716,1,1,0,3,3
26,ASSIGN,1,6,1,33.3,67.0932,-298.498,363.441,444.873,1,1,0,3,3
26,ASSIGN,2,7,0,5.7942,-38.406,-401.143,308.102,534.477,1,1,0,3,3
