Time,RecordType,UeGroup,UeIndex,UeNodeId,SensorIndex,SensorCellId,PreClassificationUnderserved,Detected,TrueEastM,TrueNorthM,EstimatedEastM,EstimatedNorthM,RangeM,SensingSnrDb,DetectionProbability,PositionSigmaM,NumFusedObservations
12,OBSERVATION,UES1,0,7,0,5,-1,1,-60.0882,-81.965,-58.4254,-82.7748,139.744,42.6953,1,1,0
12,OBSERVATION,UES1,0,7,1,6,-1,1,-60.0882,-81.965,-61.7478,-83.1579,181.943,38.1112,1,1,0
12,OBSERVATION,UES1,0,7,2,7,-1,1,-60.0882,-81.965,-59.9935,-80.8933,155.078,40.8866,1,1,0
12,FUSED,UES1,0,7,-1,0,-1,1,-60.0882,-81.965,-60.0555,-82.2753,nan,42.6953,nan,0.57735,3
12,OBSERVATION,UES1,1,8,0,5,-1,1,68.0847,-28.6114,68.0941,-29.2989,142.291,42.3815,1,1,0
12,OBSERVATION,UES1,1,8,1,6,-1,1,68.0847,-28.6114,68.7896,-28.3356,147.386,41.7704,1,1,0
12,OBSERVATION,UES1,1,8,2,7,-1,1,68.0847,-28.6114,68.7749,-27.5825,139.801,42.6882,1,1,0
12,FUSED,UES1,1,8,-1,0,-1,1,68.0847,-28.6114,68.5529,-28.4056,nan,42.6882,nan,0.57735,3
12,OBSERVATION,UES1,2,9,0,5,-1,1,-112.178,95.1693,-112.384,95.703,250.343,32.5672,1,1,0
12,OBSERVATION,UES1,2,9,1,6,-1,1,-112.178,95.1693,-112.022,95.8705,187.505,37.5881,1,1,0
12,OBSERVATION,UES1,2,9,2,7,-1,1,-112.178,95.1693,-112.279,95.9071,244.83,32.954,1,1,0
12,FUSED,UES1,2,9,-1,0,-1,1,-112.178,95.1693,-112.228,95.8269,nan,37.5881,nan,0.57735,3
12,OBSERVATION,UES1,3,10,0,5,-1,1,29.9497,-76.4104,31.1953,-77.4383,119.95,45.3487,1,1,0
12,OBSERVATION,UES1,3,10,1,6,-1,1,29.9497,-76.4104,30.3821,-76.7454,163.862,39.9295,1,1,0
12,OBSERVATION,UES1,3,10,2,7,-1,1,29.9497,-76.4104,31.0635,-76.5703,129.401,44.0311,1,1,0
12,FUSED,UES1,3,10,-1,0,-1,1,29.9497,-76.4104,30.8803,-76.918,nan,45.3487,nan,0.57735,3
12,OBSERVATION,UES1,4,11,0,5,-1,1,-5.86897,87.6649,-5.32706,88.4482,210.976,35.5393,1,1,0
12,OBSERVATION,UES1,4,11,1,6,-1,1,-5.86897,87.6649,-6.96656,87.5356,137.617,42.9617,1,1,0
12,OBSERVATION,UES1,4,11,2,7,-1,1,-5.86897,87.6649,-6.78041,88.4703,199.723,36.4915,1,1,0
12,FUSED,UES1,4,11,-1,0,-1,1,-5.86897,87.6649,-6.35801,88.1514,nan,42.9617,nan,0.57735,3
12,OBSERVATION,UES1,5,12,0,5,-1,1,-70.2099,-11.9628,-69.7027,-12.6526,162.975,40.0237,1,1,0
12,OBSERVATION,UES1,5,12,1,6,-1,1,-70.2099,-11.9628,-71.4682,-11.3471,154.655,40.9341,1,1,0
12,OBSERVATION,UES1,5,12,2,7,-1,1,-70.2099,-11.9628,-70.3005,-12.895,167.318,39.5669,1,1,0
12,FUSED,UES1,5,12,-1,0,-1,1,-70.2099,-11.9628,-70.4905,-12.2982,nan,40.9341,nan,0.57735,3
12,OBSERVATION,UES1,6,13,0,5,-1,1,89.2794,-19.2097,90.0192,-18.0265,155.424,40.8479,1,1,0
12,OBSERVATION,UES1,6,13,1,6,-1,1,89.2794,-19.2097,89.2634,-18.8914,153.29,41.0881,1,1,0
12,OBSERVATION,UES1,6,13,2,7,-1,1,89.2794,-19.2097,88.2079,-19.3304,150.211,41.4406,1,1,0
12,FUSED,UES1,6,13,-1,0,-1,1,89.2794,-19.2097,89.1635,-18.7495,nan,41.4406,nan,0.57735,3
12,OBSERVATION,UES1,7,14,0,5,-1,1,39.4046,8.85704,40.609,9.78713,153.777,41.033,1,1,0
12,OBSERVATION,UES1,7,14,1,6,-1,1,39.4046,8.85704,40.1137,8.12225,128.054,44.2129,1,1,0
12,OBSERVATION,UES1,7,14,2,7,-1,1,39.4046,8.85704,38.5982,7.26015,147.595,41.7457,1,1,0
12,FUSED,UES1,7,14,-1,0,-1,1,39.4046,8.85704,39.7736,8.38984,nan,44.2129,nan,0.57735,3
12,OBSERVATION,UES1,8,15,0,5,-1,1,4.04838,-79.1099,3.74996,-80.008,119.094,45.4731,1,1,0
12,OBSERVATION,UES1,8,15,1,6,-1,1,4.04838,-79.1099,3.20255,-79.8265,164.988,39.8105,1,1,0
12,OBSERVATION,UES1,8,15,2,7,-1,1,4.04838,-79.1099,4.59505,-80.1546,131.204,43.7908,1,1,0
12,FUSED,UES1,8,15,-1,0,-1,1,4.04838,-79.1099,3.84919,-79.9964,nan,45.4731,nan,0.57735,3
12,OBSERVATION,UES1,9,16,0,5,-1,1,-37.3348,59.3107,-38.6629,59.6279,194.198,36.9788,1,1,0
12,OBSERVATION,UES1,9,16,1,6,-1,1,-37.3348,59.3107,-37.5107,58.1485,136.532,43.0992,1,1,0
12,OBSERVATION,UES1,9,16,2,7,-1,1,-37.3348,59.3107,-37.1951,58.5101,187.33,37.6043,1,1,0
12,FUSED,UES1,9,16,-1,0,-1,1,-37.3348,59.3107,-37.7896,58.7622,nan,43.0992,nan,0.57735,3
12,OBSERVATION,UES1,10,17,0,5,-1,1,-42.3328,-34.992,-41.3533,-34.699,140.643,42.5838,1,1,0
12,OBSERVATION,UES1,10,17,1,6,-1,1,-42.3328,-34.992,-41.7388,-33.6052,150.068,41.4571,1,1,0
12,OBSERVATION,UES1,10,17,2,7,-1,1,-42.3328,-34.992,-41.5319,-33.2457,147.349,41.7748,1,1,0
12,FUSED,UES1,10,17,-1,0,-1,1,-42.3328,-34.992,-41.5413,-33.85,nan,42.5838,nan,0.57735,3
12,OBSERVATION,UES1,11,18,0,5,-1,1,25.9119,31.8607,24.3319,33.7173,167.401,39.5583,1,1,0
12,OBSERVATION,UES1,11,18,1,6,-1,1,25.9119,31.8607,25.038,31.8281,124.196,44.7443,1,1,0
12,OBSERVATION,UES1,11,18,2,7,-1,1,25.9119,31.8607,24.7427,32.5787,159.251,40.4254,1,1,0
12,FUSED,UES1,11,18,-1,0,-1,1,25.9119,31.8607,24.7042,32.7081,nan,44.7443,nan,0.57735,3
12,OBSERVATION,UES1,12,19,0,5,-1,1,118.99,-79.4546,119.906,-77.4134,158.523,40.5049,1,1,0
12,OBSERVATION,UES1,12,19,1,6,-1,1,118.99,-79.4546,119.732,-79.2153,196.133,36.8066,1,1,0
12,OBSERVATION,UES1,12,19,2,7,-1,1,118.99,-79.4546,121.394,-77.5729,160.464,40.2935,1,1,0
12,FUSED,UES1,12,19,-1,0,-1,1,118.99,-79.4546,120.344,-78.0672,nan,40.5049,nan,0.57735,3
12,OBSERVATION,UES1,13,20,0,5,-1,1,19.8532,20.4128,19.0449,20.7493,159.223,40.4284,1,1,0
12,OBSERVATION,UES1,13,20,1,6,-1,1,19.8532,20.4128,19.1525,19.0134,124.06,44.7633,1,1,0
12,OBSERVATION,UES1,13,20,2,7,-1,1,19.8532,20.4128,20.0741,20.7197,152.831,41.1402,1,1,0
