Time,UeGroup,UeIndex,UeNodeId,Imsi,ServingCell,ServingRsrpDbm,BestFeasibleTnRsrpDbm,BestFeasibleUavRsrpDbm,ServiceState,StateAgeSec,SensedOrOraclePositionAvailable,ControllerEastM,ControllerNorthM,IncludedInMovementTarget
12,UES1,0,7,7,4,-85.9186,-75.0502,-99.7419,SERVED,0,1,-60.055548,-82.275334,0
12,UES1,1,8,8,1,-62.5901,-89.6896,-93.971,SERVED,0,1,68.552866,-28.405646,0
12,UES1,2,9,9,3,-67.1585,-82.4951,-103.596,SERVED,0,1,-112.228478,95.826889,0
12,UES1,3,10,10,1,-75.3231,-86.0623,-90.3482,SERVED,0,1,30.880268,-76.918032,0
12,UES1,4,11,11,4,-69.5765,-81.2312,-93.5823,SERVED,0,1,-6.358009,88.151369,0
12,UES1,5,12,12,3,-60.2171,-62.8089,-88.633,SERVED,0,1,-70.490473,-12.298211,0
12,UES1,6,13,13,1,-64.2672,-62.5784,-95.4101,SERVED,0,1,89.163519,-18.749458,0
12,UES1,7,14,14,2,-84.4795,-77.0673,-90.0016,SERVED,0,1,39.773630,8.389844,0
12,UES1,8,15,15,1,-89.5907,-91.7059,-88.963,SERVED,0,1,3.849189,-79.996391,0
12,UES1,9,16,16,3,-78.5506,-72.1961,-87.0985,SERVED,0,1,-37.789555,58.762157,0
12,UES1,10,17,17,4,-81.0533,-89.2002,-101.251,SERVED,0,1,-41.541305,-33.849984,0
12,UES1,11,18,18,1,-68.7335,-90.7329,-69.2043,SERVED,0,1,24.704200,32.708058,0
12,UES1,12,19,19,5,-67.3874,-89.9826,-94.7498,SERVED,0,1,120.343658,-78.067190,0
12,UES1,13,20,20,5,-65.1731,-79.7559,-65.925,SERVED,0,1,19.423844,20.160802,0
12,UES1,14,21,21,3,-81.337,-71.3466,-79.8964,SERVED,0,1,13.632371,-21.853392,0
12,UES1,15,22,22,1,-68.5058,-63.756,-92.2546,SERVED,0,1,95.123703,36.252821,0
12,UES1,16,23,23,6,-98.0671,-90.1549,-87.188,SERVED,0,1,-110.093406,-49.661790,0
12,UES1,17,24,24,1,-60.2208,-84.1485,-80.7431,SERVED,0,1,7.558850,-6.897914,0
12,UES1,18,25,25,1,-69.8849,-76.1397,-74.738,SERVED,0,1,18.831429,42.163317,0
12,UES1,19,26,26,6,-88.3888,-79.0778,-76.9323,SERVED,0,1,-32.523896,-12.832037,0
12,UES1,20,27,27,3,-68.3426,-92.6117,-91.5476,SERVED,0,1,-58.418335,72.432651,0
12,UES1,21,28,28,3,-69.339,-85.3462,-83.2416,SERVED,0,1,-93.707835,111.896125,0
12,UES1,22,29,29,2,-78.9572,-77.381,-104.235,SERVED,0,1,120.120836,14.624713,0
