time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,5,36,1,-65.836,3,-52.2412,7,7,20,0,-999,-999,0
6.5,5,36,1,-65.836,2,-71.2143,2,2,20,0,-999,-999,0
6.5,5,36,1,-65.836,4,-109.538,6,6,20,0,-999,-999,0
6.5,6,43,4,-51.3836,2,-88.4265,2,2,20,0,-999,-999,0
6.5,6,43,4,-51.3836,3,-98.1684,7,7,20,0,-999,-999,0
6.5,6,43,4,-51.3836,1,-109.281,5,5,20,0,-999,-999,0
6.5,7,37,1,-40.9374,4,-54.3242,6,6,20,0,-999,-999,0
6.5,7,37,1,-40.9374,2,-55.788,2,2,20,0,-999,-999,0
6.5,7,37,1,-40.9374,3,-88.9579,7,7,20,0,-999,-999,0
6.5,8,15,2,-42.431,3,-53.6206,7,7,20,0,-999,-999,0
6.5,8,15,2,-42.431,1,-80.5677,5,5,20,0,-999,-999,0
6.5,8,15,2,-42.431,4,-93.2905,6,6,20,0,-999,-999,0
6.5,9,16,2,-61.5206,1,-86.1165,5,5,20,0,-999,-999,0
6.5,9,16,2,-61.5206,3,-86.1194,7,7,20,0,-999,-999,0
6.5,9,16,2,-61.5206,4,-89.2199,6,6,20,0,-999,-999,0
6.5,10,50,3,-62.1092,1,-73.8807,5,5,20,0,-999,-999,0
6.5,10,50,3,-62.1092,2,-74.6625,2,2,20,0,-999,-999,0
6.5,10,50,3,-62.1092,4,-92.0402,6,6,20,0,-999,-999,0
6.5,11,44,4,-83.7576,2,-64.067,2,2,20,0,-999,-999,0
6.5,11,44,4,-83.7576,1,-86.6311,5,5,20,0,-999,-999,0
6.5,11,44,4,-83.7576,3,-87.7328,7,7,20,0,-999,-999,0
6.5,12,51,3,-48.3212,1,-56.518,5,5,20,0,-999,-999,0
6.5,12,51,3,-48.3212,2,-90.8444,2,2,20,0,-999,-999,0
6.5,12,51,3,-48.3212,4,-111.372,6,6,20,0,-999,-999,0
6.5,13,38,1,-62.8951,3,-44.6247,7,7,20,0,-999,-999,0
6.5,13,38,1,-62.8951,4,-73.8827,6,6,20,0,-999,-999,0
