Time,UE,Dir,Delay,Jitter,Throughput,PDR
4,0,DL,0,0,0,0
4,0,UL,0,0,0,0
4,1,DL,0,0,0,0
4,1,UL,0,0,0,0
4,2,DL,0,0,0,0
4,2,UL,0,0,0,0
4,3,DL,0,0,0,0
4,3,UL,0,0,0,0
4,4,DL,0,0,0,0
4,4,UL,0,0,0,0
4,5,DL,0,0,0,0
4,5,UL,0,0,0,0
4,6,DL,0,0,0,0
4,6,UL,0,0,0,0
4,7,DL,0,0,0,0
4,7,UL,0,0,0,0
4,8,DL,0,0,0,0
4,8,UL,0,0,0,0
4,9,DL,0,0,0,0
4,9,UL,0,0,0,0
4,10,DL,0,0,0,0
4,10,UL,0,0,0,0
4,11,DL,0,0,0,0
4,11,UL,0,0,0,0
4,12,DL,0,0,0,0
4,12,UL,0,0,0,0
4,13,DL,0,0,0,0
4,13,UL,0,0,0,0
4,14,DL,0,0,0,0
4,14,UL,0,0,0,0
4,15,DL,0,0,0,0
4,15,UL,0,0,0,0
4,16,DL,0,0,0,0
4,16,UL,0,0,0,0
4,17,DL,0,0,0,0
4,17,UL,0,0,0,0
4,18,DL,0,0,0,0
4,18,UL,0,0,0,0
4,19,DL,0,0,0,0
4,19,UL,0,0,0,0
6,0,DL,0,0,0,0
6,0,UL,0,0,0,0
6,1,DL,0.0951,0.03,0.015686,8
6,1,UL,0,0,0,0
6,2,DL,0,0,0,0
6,2,UL,0,0,0,0
6,3,DL,0,0,0,0
6,3,UL,0,0,0,0
6,4,DL,0,0,0,0
6,4,UL,0,0,0,0
6,5,DL,0.01935,0.01975,0.015686,8
6,5,UL,0,0,0,0
6,6,DL,0,0,0,0
6,6,UL,0,0,0,0
6,7,DL,0,0,0,0
6,7,UL,0,0,0,0
6,8,DL,0.0407,0.0282,0.0196075,10
6,8,UL,0,0,0,0
6,9,DL,0,0,0,0
6,9,UL,0,0,0,0
6,10,DL,0.0912111,0.0532222,0.105881,54
6,10,UL,0,0,0,0
6,11,DL,0,0,0,0
6,11,UL,0,0,0,0
6,12,DL,0,0,0,0
6,12,UL,0,0,0,0
6,13,DL,0.1151,0.02,0.00784302,4
6,13,UL,0,0,0,0
6,14,DL,0,0,0,0
6,14,UL,0,0,0,0
6,15,DL,0,0,0,0
6,15,UL,0,0,0,0
6,16,DL,0,0,0,0
6,16,UL,0,0,0,0
6,17,DL,0,0,0,0
6,17,UL,0,0,0,0
6,18,DL,0.026073,0.0292973,0.145096,74
6,18,UL,0,0,0,0
6,19,DL,0,0,0,0
6,19,UL,0,0,0,0
8,0,DL,0,0,0,0
8,0,UL,0,0,0,0
8,1,DL,0,0,0,0
8,1,UL,0,0,0,0
8,2,DL,0,0,0,0
8,2,UL,0,0,0,0
8,3,DL,0,0,0,0
8,3,UL,0,0,0,0
8,4,DL,0,0,0,0
8,4,UL,0,0,0,0
8,5,DL,0,0,0,0
8,5,UL,0,0,0,0
8,6,DL,0,0,0,0
8,6,UL,0,0,0,0
8,7,DL,0,0,0,0
8,7,UL,0,0,0,0
8,8,DL,0,0,0,0
8,8,UL,0,0,0,0
8,9,DL,0,0,0,0
8,9,UL,0,0,0,0
8,10,DL,0,0,0,0
8,10,UL,0,0,0,0
8,11,DL,0,0,0,0
8,11,UL,0,0,0,0
8,12,DL,0,0,0,0
8,12,UL,0,0,0,0
8,13,DL,0,0,0,0
8,13,UL,0,0,0,0
8,14,DL,0,0,0,0
8,14,UL,0,0,0,0
8,15,DL,0,0,0,0
8,15,UL,0,0,0,0
8,16,DL,0,0,0,0
8,16,UL,0,0,0,0
8,17,DL,0,0,0,0
8,17,UL,0,0,0,0
8,18,DL,0,0,0,0
8,18,UL,0,0,0,0
8,19,DL,0,0,0,0
8,19,UL,0,0,0,0
10,0,DL,0,0,0,0
10,0,UL,0,0,0,0
10,1,DL,0,0,0,0
10,1,UL,0,0,0,0
10,2,DL,0,0,0,0
10,2,UL,0,0,0,0
10,3,DL,0,0,0,0
10,3,UL,0,0,0,0
10,4,DL,0,0,0,0
10,4,UL,0,0,0,0
10,5,DL,0,0,0,0
10,5,UL,0,0,0,0
10,6,DL,0,0,0,0
10,6,UL,0,0,0,0
10,7,DL,0,0,0,0
10,7,UL,0,0,0,0
10,8,DL,0,0,0,0
10,8,UL,0,0,0,0
10,9,DL,0,0,0,0
10,9,UL,0,0,0,0
10,10,DL,0,0,0,0
10,10,UL,0,0,0,0
10,11,DL,0,0,0,0
10,11,UL,0,0,0,0
10,12,DL,0,0,0,0
10,12,UL,0,0,0,0
10,13,DL,0,0,0,0
10,13,UL,0,0,0,0
10,14,DL,0,0,0,0
10,14,UL,0,0,0,0
10,15,DL,0,0,0,0
10,15,UL,0,0,0,0
10,16,DL,0,0,0,0
10,16,UL,0,0,0,0
10,17,DL,0,0,0,0
10,17,UL,0,0,0,0
10,18,DL,0,0,0,0
10,18,UL,0,0,0,0
10,19,DL,0,0,0,0
10,19,UL,0,0,0,0
12,0,DL,0,0,0,0
12,0,UL,0,0,0,0
12,1,DL,0,0,0,0
12,1,UL,0,0,0,0
12,2,DL,0,0,0,0
12,2,UL,0,0,0,0
12,3,DL,0,0,0,0
12,3,UL,0,0,0,0
12,4,DL,0,0,0,0
12,4,UL,0,0,0,0
12,5,DL,0,0,0,0
12,5,UL,0,0,0,0
12,6,DL,0,0,0,0
12,6,UL,0,0,0,0
12,7,DL,0,0,0,0
12,7,UL,0,0,0,0
12,8,DL,0,0,0,0
12,8,UL,0,0,0,0
12,9,DL,0,0,0,0
12,9,UL,0,0,0,0
12,10,DL,0,0,0,0
12,10,UL,0,0,0,0
12,11,DL,0,0,0,0
12,11,UL,0,0,0,0
12,12,DL,0,0,0,0
12,12,UL,0,0,0,0
12,13,DL,0,0,0,0
12,13,UL,0,0,0,0
12,14,DL,0,0,0,0
12,14,UL,0,0,0,0
12,15,DL,0,0,0,0
12,15,UL,0,0,0,0
12,16,DL,0,0,0,0
12,16,UL,0,0,0,0
12,17,DL,0,0,0,0
12,17,UL,0,0,0,0
12,18,DL,0,0,0,0
12,18,UL,0,0,0,0
12,19,DL,0,0,0,0
12,19,UL,0,0,0,0
14,0,DL,0,0,0,0
14,0,UL,0,0,0,0
14,1,DL,0,0,0,0
14,1,UL,0,0,0,0
14,2,DL,0,0,0,0
14,2,UL,0,0,0,0
14,3,DL,0,0,0,0
14,3,UL,0,0,0,0
14,4,DL,0,0,0,0
14,4,UL,0,0,0,0
14,5,DL,0,0,0,0
14,5,UL,0,0,0,0
14,6,DL,0,0,0,0
14,6,UL,0,0,0,0
14,7,DL,0,0,0,0
14,7,UL,0,0,0,0
14,8,DL,0,0,0,0
14,8,UL,0,0,0,0
14,9,DL,0,0,0,0
14,9,UL,0,0,0,0
14,10,DL,0,0,0,0
14,10,UL,0,0,0,0
14,11,DL,0,0,0,0
14,11,UL,0,0,0,0
14,12,DL,0,0,0,0
14,12,UL,0,0,0,0
14,13,DL,0,0,0,0
14,13,UL,0,0,0,0
14,14,DL,0,0,0,0
14,14,UL,0,0,0,0
14,15,DL,0,0,0,0
14,15,UL,0,0,0,0
14,16,DL,0,0,0,0
14,16,UL,0,0,0,0
14,17,DL,0,0,0,0
14,17,UL,0,0,0,0
14,18,DL,0,0,0,0
14,18,UL,0,0,0,0
14,19,DL,0,0,0,0
14,19,UL,0,0,0,0
16,0,DL,0,0,0,0
16,0,UL,0,0,0,0
16,1,DL,0,0,0,0
16,1,UL,0,0,0,0
16,2,DL,0,0,0,0
16,2,UL,0,0,0,0
16,3,DL,0,0,0,0
16,3,UL,0,0,0,0
16,4,DL,0,0,0,0
16,4,UL,0,0,0,0
16,5,DL,0,0,0,0
16,5,UL,0,0,0,0
16,6,DL,0,0,0,0
16,6,UL,0,0,0,0
16,7,DL,0,0,0,0
16,7,UL,0,0,0,0
16,8,DL,0,0,0,0
16,8,UL,0,0,0,0
16,9,DL,0,0,0,0
16,9,UL,0,0,0,0
16,10,DL,0,0,0,0
