time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,5,50,1,-108.42,2,-117.68,2,2,20,0,-999,-999,0
6.5,5,50,1,-108.42,4,-123.146,6,6,20,0,-999,-999,0
6.5,5,50,1,-108.42,3,-132.276,5,5,20,0,-999,-999,0
6.5,6,36,3,-119.807,2,-95.213,2,2,20,0,-999,-999,0
6.5,6,36,3,-119.807,1,-129.63,7,7,20,0,-999,-999,0
6.5,6,36,3,-119.807,4,-139.28,6,6,20,0,-999,-999,0
6.5,7,43,4,-77.5998,1,-126.192,7,7,20,0,-999,-999,0
6.5,7,43,4,-77.5998,2,-130.319,2,2,20,0,-999,-999,0
6.5,7,43,4,-77.5998,3,-144.681,5,5,20,0,-999,-999,0
6.5,8,15,2,-107.603,4,-118.306,6,6,20,0,-999,-999,0
6.5,8,15,2,-107.603,3,-123.835,5,5,20,0,-999,-999,0
6.5,8,15,2,-107.603,1,-132.159,7,7,20,0,-999,-999,0
6.5,9,44,4,-73.2497,2,-120.713,2,2,20,0,-999,-999,0
6.5,9,44,4,-73.2497,1,-139.341,7,7,20,0,-999,-999,0
6.5,9,44,4,-73.2497,3,-142.55,5,5,20,0,-999,-999,0
6.5,10,37,3,-123.845,2,-128.868,2,2,20,0,-999,-999,0
6.5,10,37,3,-123.845,1,-136.348,7,7,20,0,-999,-999,0
6.5,10,37,3,-123.845,4,-137.267,6,6,20,0,-999,-999,0
6.5,11,16,2,-77.2516,1,-108.645,7,7,20,0,-999,-999,0
6.5,11,16,2,-77.2516,4,-128.127,6,6,20,0,-999,-999,0
6.5,11,16,2,-77.2516,3,-129.888,5,5,20,0,-999,-999,0
6.5,12,38,3,-104.188,2,-97.9465,2,2,20,0,-999,-999,0
6.5,12,38,3,-104.188,4,-100.546,6,6,20,0,-999,-999,0
6.5,12,38,3,-104.188,1,-140.987,7,7,20,0,-999,-999,0
6.5,13,51,1,-117.492,2,-111.513,2,2,20,0,-999,-999,0
6.5,13,51,1,-117.492,4,-114.978,6,6,20,0,-999,-999,0
6.5,13,51,1,-117.492,3,-132.189,5,5,20,0,-999,-999,0
6.5,14,39,3,-91.1406,2,-91.7793,2,2,20,0,-999,-999,0
6.5,14,39,3,-91.1406,1,-137.142,7,7,20,0,-999,-999,0
6.5,14,39,3,-91.1406,4,-142.623,6,6,20,0,-999,-999,0
6.5,15,52,1,-101.814,2,-121.247,2,2,20,0,-999,-999,0
6.5,15,52,1,-101.814,3,-127.157,5,5,20,0,-999,-999,0
6.5,15,52,1,-101.814,4,-131.138,6,6,20,0,-999,-999,0
6.5,16,53,1,-114.244,3,-120.587,5,5,20,0,-999,-999,0
6.5,16,53,1,-114.244,2,-127.101,2,2,20,0,-999,-999,0
6.5,16,53,1,-114.244,4,-138.455,6,6,20,0,-999,-999,0
6.5,17,45,4,-124.583,1,-129.684,7,7,20,0,-999,-999,0
6.5,17,45,4,-124.583,2,-130.271,2,2,20,0,-999,-999,0
6.5,17,45,4,-124.583,3,-144.27,5,5,20,0,-999,-999,0
6.5,18,54,1,-115.432,2,-131.647,2,2,20,0,-999,-999,0
6.5,18,54,1,-115.432,4,-137.313,6,6,20,0,-999,-999,0
6.5,18,54,1,-115.432,3,-139.865,5,5,20,0,-999,-999,0
6.5,19,46,4,-113.894,1,-124.093,7,7,20,0,-999,-999,0
6.5,19,46,4,-113.894,2,-133.133,2,2,20,0,-999,-999,0
6.5,19,46,4,-113.894,3,-146.383,5,5,20,0,-999,-999,0
6.5,20,47,4,-68.2579,2,-115.691,2,2,20,0,-999,-999,0
6.5,20,47,4,-68.2579,1,-130.32,7,7,20,0,-999,-999,0
6.5,20,47,4,-68.2579,3,-138.829,5,5,20,0,-999,-999,0
6.5,21,55,1,-107.364,4,-120.56,6,6,20,0,-999,-999,0
6.5,21,55,1,-107.364,3,-122.155,5,5,20,0,-999,-999,0
6.5,21,55,1,-107.364,2,-127.932,2,2,20,0,-999,-999,0
6.5,22,57,1,-105.675,2,-111.763,2,2,20,0,-999,-999,0
6.5,22,57,1,-105.675,4,-121.052,6,6,20,0,-999,-999,0
6.5,22,57,1,-105.675,3,-136.987,5,5,20,0,-999,-999,0
6.5,23,48,4,-114.818,2,-119.56,2,2,20,0,-999,-999,0
6.5,23,48,4,-114.818,1,-124.102,7,7,20,0,-999,-999,0
6.5,23,48,4,-114.818,3,-147.092,5,5,20,0,-999,-999,0
6.5,24,40,3,-84.9015,4,-117.161,6,6,20,0,-999,-999,0
6.5,24,40,3,-84.9015,2,-125.318,2,2,20,0,-999,-999,0
6.5,24,40,3,-84.9015,1,-140.563,7,7,20,0,-999,-999,0
8.5,5,50,1,-74.0796,3,-100.423,16,16,20,0,-999,-999,0
8.5,5,50,1,-74.0796,2,-100.431,14,14,20,0,-999,-999,0
8.5,5,50,1,-74.0796,4,-118.585,20,20,20,0,-999,-999,0
8.5,6,36,3,-123.068,2,-126.37,14,14,20,0,-999,-999,0
8.5,6,36,3,-123.068,4,-136.347,20,20,20,0,-999,-999,0
8.5,6,36,3,-123.068,1,-137.256,20,20,20,0,-999,-999,0
8.5,7,43,4,-109.045,3,-107.698,16,16,20,0,-999,-999,0
8.5,7,43,4,-109.045,2,-125.584,14,14,20,0,-999,-999,0
8.5,7,43,4,-109.045,1,-137.449,20,20,20,0,-999,-999,0
8.5,8,15,2,-68.373,4,-84.9718,20,20,20,0,-999,-999,0
8.5,8,15,2,-68.373,1,-141.662,20,20,20,0,-999,-999,0
8.5,8,15,2,-68.373,3,-143.17,16,16,20,0,-999,-999,0
8.5,9,44,4,-115.392,1,-99.2983,20,20,20,0,-999,-999,0
8.5,9,44,4,-115.392,2,-127.212,14,14,20,0,-999,-999,0
8.5,9,44,4,-115.392,3,-144.593,16,16,20,0,-999,-999,0
8.5,10,37,3,-121.772,1,-93.8253,20,20,20,0,-999,-999,0
8.5,10,37,3,-121.772,4,-115.445,20,20,20,0,-999,-999,0
8.5,10,37,3,-121.772,2,-135.057,14,14,20,0,-999,-999,0
8.5,11,16,2,-78.0158,3,-95.7147,16,16,20,0,-999,-999,0
8.5,11,16,2,-78.0158,4,-113.197,20,20,20,0,-999,-999,0
8.5,11,16,2,-78.0158,1,-133.662,20,20,20,0,-999,-999,0
8.5,12,38,3,-109.783,2,-123.16,14,14,20,0,-999,-999,0
