time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,5,36,1,-82.3653,3,-52.3091,7,7,20,0,-999,-999,0
6.5,5,36,1,-82.3653,2,-90.6301,2,2,20,0,-999,-999,0
6.5,5,36,1,-82.3653,4,-109.659,6,6,20,0,-999,-999,0
6.5,6,43,4,-72.5088,2,-93.3876,2,2,20,0,-999,-999,0
6.5,6,43,4,-72.5088,3,-97.6643,7,7,20,0,-999,-999,0
6.5,6,43,4,-72.5088,1,-106.031,5,5,20,0,-999,-999,0
6.5,7,37,1,-41.3361,2,-48.691,2,2,20,0,-999,-999,0
6.5,7,37,1,-41.3361,4,-53.9951,6,6,20,0,-999,-999,0
6.5,7,37,1,-41.3361,3,-84.0021,7,7,20,0,-999,-999,0
6.5,8,15,2,-42.2088,3,-53.2898,7,7,20,0,-999,-999,0
6.5,8,15,2,-42.2088,1,-77.9585,5,5,20,0,-999,-999,0
6.5,8,15,2,-42.2088,4,-90.808,6,6,20,0,-999,-999,0
6.5,9,16,2,-66.2023,3,-83.7287,7,7,20,0,-999,-999,0
6.5,9,16,2,-66.2023,1,-88.2269,5,5,20,0,-999,-999,0
6.5,9,16,2,-66.2023,4,-90.7383,6,6,20,0,-999,-999,0
6.5,10,50,3,-62.4184,1,-57.6895,5,5,20,0,-999,-999,0
6.5,10,50,3,-62.4184,2,-73.761,2,2,20,0,-999,-999,0
6.5,10,50,3,-62.4184,4,-95.6186,6,6,20,0,-999,-999,0
6.5,11,44,4,-82.6418,2,-65.2047,2,2,20,0,-999,-999,0
6.5,11,44,4,-82.6418,1,-87.7314,5,5,20,0,-999,-999,0
6.5,11,44,4,-82.6418,3,-88.7079,7,7,20,0,-999,-999,0
6.5,12,51,3,-48.3881,1,-56.3899,5,5,20,0,-999,-999,0
6.5,12,51,3,-48.3881,2,-91.1816,2,2,20,0,-999,-999,0
6.5,12,51,3,-48.3881,4,-113.01,6,6,20,0,-999,-999,0
6.5,13,38,1,-62.0989,3,-44.5657,7,7,20,0,-999,-999,0
6.5,13,38,1,-62.0989,2,-71.8569,2,2,20,0,-999,-999,0
6.5,13,38,1,-62.0989,4,-78.1312,6,6,20,0,-999,-999,0
6.5,14,52,3,-82.7102,1,-79.6808,5,5,20,0,-999,-999,0
6.5,14,52,3,-82.7102,2,-83.9193,2,2,20,0,-999,-999,0
6.5,14,52,3,-82.7102,4,-111.814,6,6,20,0,-999,-999,0
6.5,15,53,3,-34.0538,1,-52.3082,5,5,20,0,-999,-999,0
6.5,15,53,3,-34.0538,4,-53.3886,6,6,20,0,-999,-999,0
6.5,15,53,3,-34.0538,2,-80.9124,2,2,20,0,-999,-999,0
