Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,XhaulRsrpDbm,XhaulState,XhaulDegradationActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
0.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,10.8822,6.36156,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
0.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,9.52854,5.00794,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
1.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,13.163,8.64241,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
1.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,12.8304,8.30983,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
2.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,10.0306,5.51005,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
2.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,13.2986,8.77802,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
3.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,13.5803,9.05975,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
3.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,10.9575,6.43695,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
4.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,12.6639,8.1433,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
4.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,12.0397,7.51908,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
5.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,8.88424,4.36364,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
5.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,10.7279,6.20725,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
6.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,11.9433,7.42274,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
6.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,11.0282,6.50756,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
7.5,tn-uav-satellite,0,5,4,-60.8493,HEALTHY,0,11.4952,6.97462,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
7.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,12.6641,8.14349,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
8.5,tn-uav-satellite,0,5,4,-60.8023,HEALTHY,0,13.1355,8.61485,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
8.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,12.5381,8.01749,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
9.5,tn-uav-satellite,0,5,4,-60.7558,HEALTHY,0,10.3696,5.849,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
9.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,12.8302,8.30963,1,TN_DIRECT,0.1,2,2,COVERAGE_EXTENSION
