Time,CellId,ServiceDlSnrDb,ServiceUlSnrDb,FeederDlSnrDb,FeederUlSnrDb,BackhaulDlSnrDb,BackhaulUlSnrDb,BackhaulHealthy
0.100000,2,10.236510,5.715911,16.411615,24.891015,10.236510,5.715911,1
0.600000,2,12.704085,8.183485,14.545113,23.024514,12.704085,8.183485,1
1.100000,2,9.314091,4.793491,15.010714,23.490114,9.314091,4.793491,1
1.600000,2,10.423899,5.903300,17.044991,25.524391,10.423899,5.903300,1
2.100000,2,15.923114,11.402514,16.215291,24.694691,15.923114,11.402514,1
2.600000,2,14.151314,9.630715,18.030366,26.509766,14.151314,9.630715,1
3.100000,2,11.694101,7.173501,16.862877,25.342277,11.694101,7.173501,1
3.600000,2,10.440647,5.920047,15.521132,24.000532,10.440647,5.920047,1
4.100000,2,11.922507,7.401907,17.956116,26.435516,11.922507,7.401907,1
4.600000,2,15.522459,11.001859,16.753054,25.232454,15.522459,11.001859,1
5.100000,2,13.954687,9.434087,19.392706,27.872106,13.954687,9.434087,1
5.600000,2,11.332523,6.811923,16.891518,25.370918,11.332523,6.811923,1
6.100000,2,12.772894,8.252294,17.375318,25.854718,12.772894,8.252294,1
6.600000,2,12.174654,7.654054,16.547667,25.027067,12.174654,7.654054,1
7.100000,2,11.266186,6.745587,18.480278,26.959678,11.266186,6.745587,1
7.600000,2,13.817132,9.296532,19.241438,27.720838,13.817132,9.296532,1
