Time,CellId,ServiceDlSnrDb,ServiceUlSnrDb,FeederDlSnrDb,FeederUlSnrDb,BackhaulDlSnrDb,BackhaulUlSnrDb,BackhaulHealthy
0.100000,3,11.004882,6.484282,13.634948,22.114348,11.004882,6.484282,1
0.600000,3,9.079317,4.558717,13.794943,22.274343,9.079317,4.558717,1
1.100000,3,10.255546,5.734946,18.704742,27.184142,10.255546,5.734946,1
1.600000,3,12.957504,8.436904,16.706439,25.185839,12.957504,8.436904,1
2.100000,3,15.346886,10.826286,16.744413,25.223813,15.346886,10.826286,1
2.600000,3,11.145305,6.624705,15.639715,24.119115,11.145305,6.624705,1
3.100000,3,9.894972,5.374372,19.244395,27.723796,9.894972,5.374372,1
3.600000,3,13.171098,8.650498,15.405107,23.884507,13.171098,8.650498,1
4.100000,3,13.392327,8.871727,17.484073,25.963474,13.392327,8.871727,1
4.600000,3,12.016732,7.496132,20.104893,28.584293,12.016732,7.496132,1
5.100000,3,12.391496,7.870896,17.129901,25.609301,12.391496,7.870896,1
5.600000,3,13.087727,8.567127,16.884525,25.363925,13.087727,8.567127,1
6.100000,3,10.513366,5.992766,15.774067,24.253467,10.513366,5.992766,1
6.600000,3,15.776716,11.256116,14.199571,22.678971,14.199571,11.256116,1
7.100000,3,11.504776,6.984176,17.492666,25.972066,11.504776,6.984176,1
7.600000,3,15.038719,10.518120,17.259192,25.738592,15.038719,10.518120,1
8.100000,3,14.130480,9.609880,16.910374,25.389774,14.130480,9.609880,1
8.600000,3,11.633628,7.113028,15.933835,24.413236,11.633628,7.113028,1
