time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,7,161,3,-59.4414,6,-82.4527,8,8,10,1,14.7238,10.2032,0
6.5,7,161,3,-59.4414,4,-85.4711,8,8,20,0,-999,-999,0
6.5,7,161,3,-59.4414,1,-100.891,1,1,20,0,-999,-999,0
6.5,7,161,3,-59.4414,2,-101.422,6,6,20,0,-999,-999,0
6.5,7,161,3,-59.4414,5,-103.385,7,7,10,1,10.8474,6.32682,0
6.5,8,50,5,-46.3454,4,-52.1331,8,8,20,0,-999,-999,0
6.5,8,50,5,-46.3454,3,-84.5487,20,20,20,0,-999,-999,0
6.5,8,50,5,-46.3454,1,-85.6151,1,1,20,0,-999,-999,0
6.5,8,50,5,-46.3454,6,-86.3891,8,8,10,1,14.7238,10.2032,0
6.5,8,50,5,-46.3454,2,-88.0887,6,6,20,0,-999,-999,0
6.5,9,162,3,-64.9452,4,-48.5978,8,8,20,0,-999,-999,0
6.5,9,162,3,-64.9452,5,-50.823,7,7,10,1,10.8474,6.32682,0
6.5,9,162,3,-64.9452,2,-60.862,6,6,20,0,-999,-999,0
6.5,9,162,3,-64.9452,1,-65.6007,1,1,20,0,-999,-999,0
6.5,9,162,3,-64.9452,6,-93.4763,8,8,10,1,14.7238,10.2032,0
6.5,10,163,3,-78.0656,2,-59.7474,6,6,20,0,-999,-999,0
6.5,10,163,3,-78.0656,4,-81.1628,8,8,20,0,-999,-999,0
6.5,10,163,3,-78.0656,1,-84.6097,1,1,20,0,-999,-999,0
6.5,10,163,3,-78.0656,5,-86.7713,7,7,10,1,10.8474,6.32682,0
6.5,10,163,3,-78.0656,6,-105.344,8,8,10,1,14.7238,10.2032,0
6.5,11,51,5,-77.2794,1,-44.02,1,1,20,0,-999,-999,0
6.5,11,51,5,-77.2794,2,-50.0653,6,6,20,0,-999,-999,0
6.5,11,51,5,-77.2794,3,-69.4833,20,20,20,0,-999,-999,0
6.5,11,51,5,-77.2794,4,-85.6484,8,8,20,0,-999,-999,0
