time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,8,22,2,-114.31,5,-110.071,10,10,10,1,15.5366,11.016,0
6.5,8,22,2,-114.31,1,-117.771,7,7,20,0,-999,-999,0
6.5,8,22,2,-114.31,3,-124.853,11,11,20,0,-999,-999,0
6.5,8,22,2,-114.31,7,-132.92,3,3,10,1,13.7714,9.2508,0
6.5,8,22,2,-114.31,4,-133.54,7,7,20,0,-999,-999,0
6.5,8,22,2,-114.31,6,-135.288,9,9,10,1,11.1817,6.66114,0
6.5,9,23,2,-114.282,6,-94.2409,9,9,10,1,11.1817,6.66114,0
6.5,9,23,2,-114.282,1,-102.088,7,7,20,0,-999,-999,0
6.5,9,23,2,-114.282,7,-113.293,3,3,10,1,13.7714,9.2508,0
6.5,9,23,2,-114.282,3,-122.368,11,11,20,0,-999,-999,0
6.5,9,23,2,-114.282,4,-125.176,7,7,20,0,-999,-999,0
6.5,9,23,2,-114.282,5,-134.737,10,10,10,1,15.5366,11.016,0
6.5,10,78,3,-74.9129,5,-92.158,10,10,10,1,15.5366,11.016,0
6.5,10,78,3,-74.9129,1,-104.877,7,7,20,0,-999,-999,0
6.5,10,78,3,-74.9129,7,-120.526,3,3,10,1,13.7714,9.2508,0
6.5,10,78,3,-74.9129,2,-122.856,3,3,20,0,-999,-999,0
6.5,10,78,3,-74.9129,4,-123.953,7,7,20,0,-999,-999,0
6.5,10,78,3,-74.9129,6,-140.074,9,9,10,1,11.1817,6.66114,0
6.5,11,64,6,-117.701,2,-92.2464,3,3,20,0,-999,-999,0
6.5,11,64,6,-117.701,5,-100.813,10,10,10,1,15.5366,11.016,0
6.5,11,64,6,-117.701,4,-124.004,7,7,20,0,-999,-999,0
6.5,11,64,6,-117.701,1,-124.418,7,7,20,0,-999,-999,0
6.5,11,64,6,-117.701,7,-126.51,3,3,10,1,13.7714,9.2508,0
6.5,11,64,6,-117.701,3,-128.125,11,11,20,0,-999,-999,0
6.5,12,71,5,-122.049,1,-128.909,7,7,20,0,-999,-999,0
6.5,12,71,5,-122.049,2,-133.605,3,3,20,0,-999,-999,0
6.5,12,71,5,-122.049,3,-134.702,11,11,20,0,-999,-999,0
6.5,12,71,5,-122.049,7,-142.071,3,3,10,1,13.7714,9.2508,0
6.5,12,71,5,-122.049,6,-146.126,9,9,10,1,11.1817,6.66114,0
6.5,12,71,5,-122.049,4,-159.432,7,7,20,0,-999,-999,0
6.5,13,50,1,-87.8062,3,-82.254,11,11,20,0,-999,-999,0
6.5,13,50,1,-87.8062,2,-108.991,3,3,20,0,-999,-999,0
6.5,13,50,1,-87.8062,5,-120.702,10,10,10,1,15.5366,11.016,0
6.5,13,50,1,-87.8062,7,-127.783,3,3,10,1,13.7714,9.2508,0
6.5,13,50,1,-87.8062,4,-134.063,7,7,20,0,-999,-999,0
6.5,13,50,1,-87.8062,6,-134.141,9,9,10,1,11.1817,6.66114,0
6.5,14,72,5,-73.4483,7,-134.645,3,3,10,1,13.7714,9.2508,0
6.5,14,72,5,-73.4483,3,-137.542,11,11,20,0,-999,-999,0
6.5,14,72,5,-73.4483,1,-139.532,7,7,20,0,-999,-999,0
6.5,14,72,5,-73.4483,2,-143.722,3,3,20,0,-999,-999,0
6.5,14,72,5,-73.4483,6,-152.387,9,9,10,1,11.1817,6.66114,0
6.5,14,72,5,-73.4483,4,-160.218,7,7,20,0,-999,-999,0
6.5,15,89,3,-91.9539,2,-89.1681,3,3,20,0,-999,-999,0
6.5,15,89,3,-91.9539,1,-95.4259,7,7,20,0,-999,-999,0
6.5,15,89,3,-91.9539,5,-106.55,10,10,10,1,15.5366,11.016,0
6.5,15,89,3,-91.9539,4,-128.22,7,7,20,0,-999,-999,0
6.5,15,89,3,-91.9539,6,-131.566,9,9,10,1,11.1817,6.66114,0
6.5,15,89,3,-91.9539,7,-133.738,3,3,10,1,13.7714,9.2508,0
6.5,16,50,4,-80.8086,6,-89.5439,9,9,10,1,11.1817,6.66114,0
6.5,16,50,4,-80.8086,7,-131.344,3,3,10,1,13.7714,9.2508,0
6.5,16,50,4,-80.8086,1,-132.594,7,7,20,0,-999,-999,0
6.5,16,50,4,-80.8086,2,-138.128,3,3,20,0,-999,-999,0
6.5,16,50,4,-80.8086,5,-138.261,10,10,10,1,15.5366,11.016,0
6.5,16,50,4,-80.8086,3,-140.628,11,11,20,0,-999,-999,0
6.5,17,65,6,-117.045,2,-101.045,3,3,20,0,-999,-999,0
6.5,17,65,6,-117.045,5,-116.603,10,10,10,1,15.5366,11.016,0
6.5,17,65,6,-117.045,4,-118.322,7,7,20,0,-999,-999,0
6.5,17,65,6,-117.045,3,-126.361,11,11,20,0,-999,-999,0
6.5,17,65,6,-117.045,1,-127.456,7,7,20,0,-999,-999,0
6.5,17,65,6,-117.045,7,-134.242,3,3,10,1,13.7714,9.2508,0
6.5,18,90,3,-107.69,1,-92.9004,7,7,20,0,-999,-999,0
6.5,18,90,3,-107.69,5,-115.589,10,10,10,1,15.5366,11.016,0
6.5,18,90,3,-107.69,2,-119.726,3,3,20,0,-999,-999,0
6.5,18,90,3,-107.69,4,-131.073,7,7,20,0,-999,-999,0
6.5,18,90,3,-107.69,7,-131.699,3,3,10,1,13.7714,9.2508,0
6.5,18,90,3,-107.69,6,-141.427,9,9,10,1,11.1817,6.66114,0
6.5,19,73,5,-96.8667,3,-105.196,11,11,20,0,-999,-999,0
6.5,19,73,5,-96.8667,7,-120.641,3,3,10,1,13.7714,9.2508,0
6.5,19,73,5,-96.8667,1,-126.039,7,7,20,0,-999,-999,0
6.5,19,73,5,-96.8667,2,-131.982,3,3,20,0,-999,-999,0
6.5,19,73,5,-96.8667,4,-143.838,7,7,20,0,-999,-999,0
6.5,19,73,5,-96.8667,6,-153.074,9,9,10,1,11.1817,6.66114,0
