time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,9,8,2,-111.168,1,-79.8886,0,0,20,0,-999,-999,0
6.5,9,8,2,-111.168,7,-106.687,2,2,10,1,13.7714,9.2508,0
6.5,9,8,2,-111.168,3,-124.081,4,4,20,0,-999,-999,0
6.5,9,8,2,-111.168,6,-128.155,1,1,10,1,11.1817,6.66114,0
6.5,9,8,2,-111.168,5,-128.401,4,4,10,1,15.5366,11.016,0
6.5,9,8,2,-111.168,4,-136.919,0,0,20,0,-999,-999,0
6.5,10,32,3,-101.867,1,-95.6114,0,0,20,0,-999,-999,0
6.5,10,32,3,-101.867,2,-110.358,1,1,20,0,-999,-999,0
6.5,10,32,3,-101.867,5,-121.792,4,4,10,1,15.5366,11.016,0
6.5,10,32,3,-101.867,7,-128.618,2,2,10,1,13.7714,9.2508,0
6.5,10,32,3,-101.867,4,-145.698,0,0,20,0,-999,-999,0
6.5,10,32,3,-101.867,6,-146.292,1,1,10,1,11.1817,6.66114,0
6.5,15,24,3,-68.8635,1,-95.9211,0,0,20,0,-999,-999,0
6.5,15,24,3,-68.8635,6,-97.4088,1,1,10,1,11.1817,6.66114,0
6.5,15,24,3,-68.8635,2,-115.711,1,1,20,0,-999,-999,0
6.5,15,24,3,-68.8635,5,-132.932,4,4,10,1,15.5366,11.016,0
6.5,15,24,3,-68.8635,4,-143.657,0,0,20,0,-999,-999,0
6.5,15,24,3,-68.8635,7,-144.131,2,2,10,1,13.7714,9.2508,0
6.5,23,15,7,-125.922,3,-80.6516,4,4,20,0,-999,-999,0
6.5,23,15,7,-125.922,1,-96.2709,0,0,20,0,-999,-999,0
6.5,23,15,7,-125.922,2,-103.272,1,1,20,0,-999,-999,0
6.5,23,15,7,-125.922,5,-132.675,4,4,10,1,15.5366,11.016,0
6.5,23,15,7,-125.922,6,-141.238,1,1,10,1,11.1817,6.66114,0
6.5,23,15,7,-125.922,4,-145.797,0,0,20,0,-999,-999,0
6.5,26,15,3,-112.989,1,-104.816,0,0,20,0,-999,-999,0
6.5,26,15,3,-112.989,2,-105.742,1,1,20,0,-999,-999,0
