time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,8,22,2,-81.7453,1,-59.6773,7,7,20,0,-999,-999,0
6.5,8,22,2,-81.7453,5,-67.2207,10,10,10,1,15.5366,11.016,0
6.5,8,22,2,-81.7453,3,-85.5575,11,11,20,0,-999,-999,0
6.5,8,22,2,-81.7453,7,-85.7226,3,3,10,1,13.7714,9.2508,0
6.5,8,22,2,-81.7453,6,-94.7449,9,9,10,1,11.1817,6.66114,0
6.5,8,22,2,-81.7453,4,-98.7613,7,7,20,0,-999,-999,0
6.5,9,23,2,-71.4985,6,-53.3425,9,9,10,1,11.1817,6.66114,0
6.5,9,23,2,-71.4985,1,-69.5095,7,7,20,0,-999,-999,0
6.5,9,23,2,-71.4985,7,-74.1104,3,3,10,1,13.7714,9.2508,0
6.5,9,23,2,-71.4985,3,-80.3749,11,11,20,0,-999,-999,0
6.5,9,23,2,-71.4985,4,-90.0025,7,7,20,0,-999,-999,0
6.5,9,23,2,-71.4985,5,-91.7281,10,10,10,1,15.5366,11.016,0
6.5,10,78,3,-30.0772,5,-44.7907,10,10,10,1,15.5366,11.016,0
6.5,10,78,3,-30.0772,1,-69.1633,7,7,20,0,-999,-999,0
6.5,10,78,3,-30.0772,4,-74.9727,7,7,20,0,-999,-999,0
6.5,10,78,3,-30.0772,7,-79.1273,3,3,10,1,13.7714,9.2508,0
6.5,10,78,3,-30.0772,2,-83.3263,3,3,20,0,-999,-999,0
6.5,10,78,3,-30.0772,6,-108.055,9,9,10,1,11.1817,6.66114,0
6.5,11,64,6,-82.5015,2,-54.6439,3,3,20,0,-999,-999,0
6.5,11,64,6,-82.5015,5,-59.4555,10,10,10,1,15.5366,11.016,0
6.5,11,64,6,-82.5015,7,-81.234,3,3,10,1,13.7714,9.2508,0
6.5,11,64,6,-82.5015,1,-88.2128,7,7,20,0,-999,-999,0
6.5,11,64,6,-82.5015,3,-92.3314,11,11,20,0,-999,-999,0
6.5,11,64,6,-82.5015,4,-93.5054,7,7,20,0,-999,-999,0
6.5,12,71,5,-74.8091,2,-89.322,3,3,20,0,-999,-999,0
6.5,12,71,5,-74.8091,1,-93.4348,7,7,20,0,-999,-999,0
6.5,12,71,5,-74.8091,3,-96.7426,11,11,20,0,-999,-999,0
6.5,12,71,5,-74.8091,7,-103.052,3,3,10,1,13.7714,9.2508,0
6.5,12,71,5,-74.8091,6,-104.008,9,9,10,1,11.1817,6.66114,0
6.5,12,71,5,-74.8091,4,-118.459,7,7,20,0,-999,-999,0
6.5,13,50,1,-49.9506,3,-44.6462,11,11,20,0,-999,-999,0
6.5,13,50,1,-49.9506,2,-71.3528,3,3,20,0,-999,-999,0
6.5,13,50,1,-49.9506,5,-83.6359,10,10,10,1,15.5366,11.016,0
6.5,13,50,1,-49.9506,7,-90.1699,3,3,10,1,13.7714,9.2508,0
6.5,13,50,1,-49.9506,4,-93.9143,7,7,20,0,-999,-999,0
6.5,13,50,1,-49.9506,6,-97.5685,9,9,10,1,11.1817,6.66114,0
6.5,14,72,5,-29.991,7,-98.1402,3,3,10,1,13.7714,9.2508,0
6.5,14,72,5,-29.991,1,-101.187,7,7,20,0,-999,-999,0
6.5,14,72,5,-29.991,3,-106.764,11,11,20,0,-999,-999,0
6.5,14,72,5,-29.991,6,-111.624,9,9,10,1,11.1817,6.66114,0
6.5,14,72,5,-29.991,2,-112.592,3,3,20,0,-999,-999,0
6.5,14,72,5,-29.991,4,-114.798,7,7,20,0,-999,-999,0
6.5,15,89,3,-55.705,2,-50.136,3,3,20,0,-999,-999,0
6.5,15,89,3,-55.705,1,-58.6668,7,7,20,0,-999,-999,0
6.5,15,89,3,-55.705,5,-59.4828,10,10,10,1,15.5366,11.016,0
6.5,15,89,3,-55.705,4,-88.611,7,7,20,0,-999,-999,0
6.5,15,89,3,-55.705,6,-94.9274,9,9,10,1,11.1817,6.66114,0
6.5,15,89,3,-55.705,7,-96.132,3,3,10,1,13.7714,9.2508,0
6.5,16,50,4,-42.7384,6,-47.2143,9,9,10,1,11.1817,6.66114,0
6.5,16,50,4,-42.7384,3,-96.6762,11,11,20,0,-999,-999,0
6.5,16,50,4,-42.7384,1,-96.9666,7,7,20,0,-999,-999,0
6.5,16,50,4,-42.7384,2,-97.8337,3,3,20,0,-999,-999,0
6.5,16,50,4,-42.7384,7,-100.411,3,3,10,1,13.7714,9.2508,0
6.5,16,50,4,-42.7384,5,-103.112,10,10,10,1,15.5366,11.016,0
6.5,17,65,6,-78.2124,2,-65.1777,3,3,20,0,-999,-999,0
6.5,17,65,6,-78.2124,5,-75.457,10,10,10,1,15.5366,11.016,0
6.5,17,65,6,-78.2124,4,-84.5496,7,7,20,0,-999,-999,0
6.5,17,65,6,-78.2124,7,-88.1132,3,3,10,1,13.7714,9.2508,0
6.5,17,65,6,-78.2124,3,-89.3438,11,11,20,0,-999,-999,0
6.5,17,65,6,-78.2124,1,-91.5768,7,7,20,0,-999,-999,0
6.5,18,90,3,-61.6678,1,-57.3124,7,7,20,0,-999,-999,0
6.5,18,90,3,-61.6678,5,-85.978,10,10,10,1,15.5366,11.016,0
6.5,18,90,3,-61.6678,2,-88.336,3,3,20,0,-999,-999,0
6.5,18,90,3,-61.6678,7,-89.0495,3,3,10,1,13.7714,9.2508,0
6.5,18,90,3,-61.6678,6,-102.162,9,9,10,1,11.1817,6.66114,0
6.5,18,90,3,-61.6678,4,-106.244,7,7,20,0,-999,-999,0
6.5,19,73,5,-61.1965,3,-68.3606,11,11,20,0,-999,-999,0
6.5,19,73,5,-61.1965,7,-83.6284,3,3,10,1,13.7714,9.2508,0
6.5,19,73,5,-61.1965,1,-90.8283,7,7,20,0,-999,-999,0
6.5,19,73,5,-61.1965,2,-100.425,3,3,20,0,-999,-999,0
6.5,19,73,5,-61.1965,4,-107.482,7,7,20,0,-999,-999,0
6.5,19,73,5,-61.1965,6,-110,9,9,10,1,11.1817,6.66114,0
6.5,20,81,5,-40.8682,3,-52.1572,11,11,20,0,-999,-999,0
6.5,20,81,5,-40.8682,2,-65.7419,3,3,20,0,-999,-999,0
6.5,20,81,5,-40.8682,4,-86.8137,7,7,20,0,-999,-999,0
6.5,20,81,5,-40.8682,7,-87.416,3,3,10,1,13.7714,9.2508,0
6.5,20,81,5,-40.8682,1,-90.4616,7,7,20,0,-999,-999,0
6.5,20,81,5,-40.8682,6,-102.344,9,9,10,1,11.1817,6.66114,0
6.5,21,51,4,-62.5184,6,-85.4731,9,9,10,1,11.1817,6.66114,0
6.5,21,51,4,-62.5184,2,-87.5572,3,3,20,0,-999,-999,0
6.5,21,51,4,-62.5184,7,-90.3693,3,3,10,1,13.7714,9.2508,0
6.5,21,51,4,-62.5184,5,-101.45,10,10,10,1,15.5366,11.016,0
6.5,21,51,4,-62.5184,1,-105.464,7,7,20,0,-999,-999,0
6.5,21,51,4,-62.5184,3,-111.048,11,11,20,0,-999,-999,0
6.5,22,52,4,-45.9559,3,-63.1772,11,11,20,0,-999,-999,0
6.5,22,52,4,-45.9559,2,-85.8868,3,3,20,0,-999,-999,0
6.5,22,52,4,-45.9559,6,-86.2916,9,9,10,1,11.1817,6.66114,0
6.5,22,52,4,-45.9559,7,-91.8496,3,3,10,1,13.7714,9.2508,0
6.5,22,52,4,-45.9559,1,-95.3055,7,7,20,0,-999,-999,0
6.5,22,52,4,-45.9559,5,-99.2076,10,10,10,1,15.5366,11.016,0
6.5,23,22,7,-83.8408,1,-36.4131,7,7,20,0,-999,-999,0
6.5,23,22,7,-83.8408,2,-62.7639,3,3,20,0,-999,-999,0
6.5,23,22,7,-83.8408,4,-69.8722,7,7,20,0,-999,-999,0
6.5,23,22,7,-83.8408,3,-72.1098,11,11,20,0,-999,-999,0
6.5,23,22,7,-83.8408,5,-91.2516,10,10,10,1,15.5366,11.016,0
6.5,23,22,7,-83.8408,6,-101.577,9,9,10,1,11.1817,6.66114,0
6.5,24,82,5,-36.2615,1,-68.2168,7,7,20,0,-999,-999,0
6.5,24,82,5,-36.2615,3,-81.455,11,11,20,0,-999,-999,0
6.5,24,82,5,-36.2615,4,-82.7328,7,7,20,0,-999,-999,0
6.5,24,82,5,-36.2615,6,-91.415,9,9,10,1,11.1817,6.66114,0
6.5,24,82,5,-36.2615,2,-93.2923,3,3,20,0,-999,-999,0
6.5,24,82,5,-36.2615,7,-105.444,3,3,10,1,13.7714,9.2508,0
6.5,25,66,6,-81.4231,4,-78.9675,7,7,20,0,-999,-999,0
6.5,25,66,6,-81.4231,2,-92.3009,3,3,20,0,-999,-999,0
6.5,25,66,6,-81.4231,7,-94.4893,3,3,10,1,13.7714,9.2508,0
6.5,25,66,6,-81.4231,1,-95.4194,7,7,20,0,-999,-999,0
6.5,25,66,6,-81.4231,3,-96.4617,11,11,20,0,-999,-999,0
6.5,25,66,6,-81.4231,5,-109.879,10,10,10,1,15.5366,11.016,0
6.5,26,91,3,-75.216,2,-58.6888,3,3,20,0,-999,-999,0
6.5,26,91,3,-75.216,6,-62.3734,9,9,10,1,11.1817,6.66114,0
6.5,26,91,3,-75.216,1,-62.7857,7,7,20,0,-999,-999,0
6.5,26,91,3,-75.216,4,-90.9078,7,7,20,0,-999,-999,0
6.5,26,91,3,-75.216,5,-96.4023,10,10,10,1,15.5366,11.016,0
6.5,26,91,3,-75.216,7,-113.592,3,3,10,1,13.7714,9.2508,0
