Time,CellId,ServiceDlSnrDb,ServiceUlSnrDb,FeederDlSnrDb,FeederUlSnrDb,BackhaulDlSnrDb,BackhaulUlSnrDb,BackhaulHealthy
0.100000,5,10.852754,6.332154,18.267232,26.746632,10.852754,6.332154,1
0.100000,6,10.988754,6.468154,18.267232,26.746632,10.988754,6.468154,1
0.100000,7,11.725085,7.204485,18.267232,26.746632,11.725085,7.204485,1
0.600000,5,13.239665,8.719065,20.005874,28.485274,13.239665,8.719065,1
0.600000,6,12.695593,8.174993,20.005874,28.485274,12.695593,8.174993,1
0.600000,7,11.750661,7.230061,20.005874,28.485274,11.750661,7.230061,1
1.100000,5,12.817325,8.296725,20.342531,28.821931,12.817325,8.296725,1
1.100000,6,13.157064,8.636464,20.342531,28.821931,13.157064,8.636464,1
1.100000,7,13.466134,8.945535,20.342531,28.821931,13.466134,8.945535,1
1.600000,5,14.244427,9.723827,17.369550,25.848950,14.244427,9.723827,1
1.600000,6,11.647649,7.127049,17.369550,25.848950,11.647649,7.127049,1
1.600000,7,9.513805,4.993205,17.369550,25.848950,9.513805,4.993205,1
2.100000,5,13.432931,8.912331,20.555794,29.035194,13.432931,8.912331,1
2.100000,6,10.246087,5.725487,20.555794,29.035194,10.246087,5.725487,1
2.100000,7,13.439405,8.918805,20.555794,29.035194,13.439405,8.918805,1
2.600000,5,12.974413,8.453813,20.749866,29.229266,12.974413,8.453813,1
2.600000,6,14.126693,9.606093,20.749866,29.229266,14.126693,9.606093,1
2.600000,7,11.347934,6.827334,20.749866,29.229266,11.347934,6.827334,1
3.100000,5,14.541341,10.020741,20.546697,29.026097,14.541341,10.020741,1
3.100000,6,16.386337,11.865737,20.546697,29.026097,16.386337,11.865737,1
3.100000,7,13.233026,8.712426,20.546697,29.026097,13.233026,8.712426,1
3.600000,5,12.859547,8.338947,20.000686,28.480086,12.859547,8.338947,1
3.600000,6,10.672489,6.151890,20.000686,28.480086,10.672489,6.151890,1
3.600000,7,7.967820,3.447220,20.000686,28.480086,7.967820,3.447220,1
4.100000,5,12.313430,7.792830,19.950103,28.429503,12.313430,7.792830,1
4.100000,6,12.268074,7.747474,19.950103,28.429503,12.268074,7.747474,1
4.100000,7,10.069121,5.548521,19.950103,28.429503,10.069121,5.548521,1
4.600000,5,13.665228,9.144628,13.847362,22.326762,13.665228,9.144628,1
4.600000,6,12.923697,8.403097,13.847362,22.326762,12.923697,8.403097,1
4.600000,7,10.976469,6.455869,13.847362,22.326762,10.976469,6.455869,1
5.100000,5,10.471662,5.951062,18.351662,26.831063,10.471662,5.951062,1
5.100000,6,12.023887,7.503287,18.351662,26.831063,12.023887,7.503287,1
5.100000,7,12.100988,7.580388,18.351662,26.831063,12.100988,7.580388,1
5.600000,5,11.924963,7.404363,18.513986,26.993386,11.924963,7.404363,1
5.600000,6,11.911936,7.391336,18.513986,26.993386,11.911936,7.391336,1
5.600000,7,14.111066,9.590466,18.513986,26.993386,14.111066,9.590466,1
6.100000,5,15.536636,11.016036,17.054143,25.533543,15.536636,11.016036,1
6.100000,6,11.181741,6.661142,17.054143,25.533543,11.181741,6.661142,1
6.100000,7,13.771404,9.250804,17.054143,25.533543,13.771404,9.250804,1
6.600000,5,9.371515,4.850916,18.611234,27.090634,9.371515,4.850916,1
6.600000,6,11.639450,7.118850,18.611234,27.090634,11.639450,7.118850,1
6.600000,7,6.649650,2.129050,18.611234,27.090634,6.649650,2.129050,1
7.100000,5,8.391107,3.870507,19.243930,27.723330,8.391107,3.870507,1
7.100000,6,10.409145,5.888546,19.243930,27.723330,10.409145,5.888546,1
7.100000,7,11.537973,7.017373,19.243930,27.723330,11.537973,7.017373,1
7.600000,5,12.892751,8.372151,14.797199,23.276599,12.892751,8.372151,1
7.600000,6,10.042498,5.521898,14.797199,23.276599,10.042498,5.521898,1
7.600000,7,14.079430,9.558830,14.797199,23.276599,14.079430,9.558830,1
8.100000,5,14.978761,10.458161,19.657373,28.136773,14.978761,10.458161,1
8.100000,6,15.618827,11.098227,19.657373,28.136773,15.618827,11.098227,1
8.100000,7,11.810294,7.289694,19.657373,28.136773,11.810294,7.289694,1
8.600000,5,14.281472,9.760872,19.786227,28.265627,14.281472,9.760872,1
8.600000,6,12.518321,7.997721,19.786227,28.265627,12.518321,7.997721,1
8.600000,7,11.091945,6.571345,19.786227,28.265627,11.091945,6.571345,1
9.100000,5,11.854416,7.333816,17.884083,26.363483,11.854416,7.333816,1
9.100000,6,15.165218,10.644618,17.884083,26.363483,15.165218,10.644618,1
9.100000,7,13.167475,8.646875,17.884083,26.363483,13.167475,8.646875,1
9.600000,5,9.965287,5.444687,19.395594,27.874994,9.965287,5.444687,1
9.600000,6,12.650800,8.130200,19.395594,27.874994,12.650800,8.130200,1
9.600000,7,14.597551,10.076951,19.395594,27.874994,14.597551,10.076951,1
10.100000,5,12.539403,8.018803,19.782965,28.262366,12.539403,8.018803,1
10.100000,6,14.361387,9.840787,19.782965,28.262366,14.361387,9.840787,1
10.100000,7,15.778174,11.257574,19.782965,28.262366,15.778174,11.257574,1
10.600000,5,13.798366,9.277766,20.310565,28.789965,13.798366,9.277766,1
10.600000,6,14.082539,9.561939,20.310565,28.789965,14.082539,9.561939,1
10.600000,7,9.165322,4.644722,20.310565,28.789965,9.165322,4.644722,1
11.100000,5,11.445335,6.924735,19.472392,27.951792,11.445335,6.924735,1
11.100000,6,10.831234,6.310634,19.472392,27.951792,10.831234,6.310634,1
11.100000,7,13.686536,9.165936,19.472392,27.951792,13.686536,9.165936,1
11.600000,5,11.362188,6.841588,17.435688,25.915088,11.362188,6.841588,1
11.600000,6,13.285963,8.765363,17.435688,25.915088,13.285963,8.765363,1
11.600000,7,10.888340,6.367740,17.435688,25.915088,10.888340,6.367740,1
12.100000,5,14.369073,9.848473,19.780524,28.259924,14.369073,9.848473,1
12.100000,6,14.159544,9.638944,19.780524,28.259924,14.159544,9.638944,1
12.100000,7,12.518905,7.998305,19.780524,28.259924,12.518905,7.998305,1
12.600000,5,13.942446,9.421847,19.001855,27.481255,13.942446,9.421847,1
12.600000,6,15.792995,11.272395,19.001855,27.481255,15.792995,11.272395,1
12.600000,7,9.736575,5.215975,19.001855,27.481255,9.736575,5.215975,1
13.100000,5,11.985459,7.464859,17.059021,25.538421,11.985459,7.464859,1
13.100000,6,9.899724,5.379124,17.059021,25.538421,9.899724,5.379124,1
13.100000,7,10.320145,5.799545,17.059021,25.538421,10.320145,5.799545,1
13.600000,5,11.416705,6.896105,18.834006,27.313407,11.416705,6.896105,1
13.600000,6,10.849805,6.329205,18.834006,27.313407,10.849805,6.329205,1
13.600000,7,11.201529,6.680929,18.834006,27.313407,11.201529,6.680929,1
14.100000,5,11.945099,7.424499,16.797809,25.277210,11.945099,7.424499,1
14.100000,6,12.686098,8.165498,16.797809,25.277210,12.686098,8.165498,1
14.100000,7,14.047740,9.527140,16.797809,25.277210,14.047740,9.527140,1
14.600000,5,13.706028,9.185428,19.925966,28.405366,13.706028,9.185428,1
14.600000,6,14.989848,10.469248,19.925966,28.405366,14.989848,10.469248,1
14.600000,7,9.948277,5.427677,19.925966,28.405366,9.948277,5.427677,1
15.100000,5,10.219445,5.698846,20.669822,29.149222,10.219445,5.698846,1
15.100000,6,12.037114,7.516514,20.669822,29.149222,12.037114,7.516514,1
15.100000,7,9.789566,5.268966,20.669822,29.149222,9.789566,5.268966,1
15.600000,5,14.433055,9.912455,20.973816,29.453216,14.433055,9.912455,1
15.600000,6,15.061620,10.541020,20.973816,29.453216,15.061620,10.541020,1
15.600000,7,12.563194,8.042594,20.973816,29.453216,12.563194,8.042594,1
16.100000,5,10.719993,6.199394,17.107967,25.587368,10.719993,6.199394,1
16.100000,6,11.481111,6.960511,17.107967,25.587368,11.481111,6.960511,1
16.100000,7,10.000586,5.479986,17.107967,25.587368,10.000586,5.479986,1
16.600000,5,11.318076,6.797476,17.450899,25.930299,11.318076,6.797476,1
16.600000,6,10.049025,5.528425,17.450899,25.930299,10.049025,5.528425,1
16.600000,7,12.064433,7.543833,17.450899,25.930299,12.064433,7.543833,1
17.100000,5,13.330579,8.809979,18.363401,26.842801,13.330579,8.809979,1
17.100000,6,15.306887,10.786287,18.363401,26.842801,15.306887,10.786287,1
17.100000,7,11.912114,7.391514,18.363401,26.842801,11.912114,7.391514,1
17.600000,5,14.501498,9.980898,15.783009,24.262409,14.501498,9.980898,1
17.600000,6,12.657209,8.136609,15.783009,24.262409,12.657209,8.136609,1
17.600000,7,10.775824,6.255224,15.783009,24.262409,10.775824,6.255224,1
18.100000,5,11.295194,6.774594,17.556405,26.035805,11.295194,6.774594,1
18.100000,6,11.332712,6.812112,17.556405,26.035805,11.332712,6.812112,1
18.100000,7,12.549581,8.028981,17.556405,26.035805,12.549581,8.028981,1
18.600000,5,13.180372,8.659772,13.142537,21.621937,13.142537,8.659772,1
18.600000,6,13.312218,8.791618,13.142537,21.621937,13.142537,8.791618,1
18.600000,7,13.690665,9.170065,13.142537,21.621937,13.142537,9.170065,1
19.100000,5,12.966960,8.446360,21.056584,29.535985,12.966960,8.446360,1
19.100000,6,13.225450,8.704850,21.056584,29.535985,13.225450,8.704850,1
19.100000,7,8.651307,4.130707,21.056584,29.535985,8.651307,4.130707,1
19.600000,5,13.832010,9.311410,20.937829,29.417229,13.832010,9.311410,1
19.600000,6,11.419030,6.898430,20.937829,29.417229,11.419030,6.898430,1
19.600000,7,10.767285,6.246685,20.937829,29.417229,10.767285,6.246685,1
20.100000,5,10.260399,5.739799,18.544308,27.023709,10.260399,5.739799,1
20.100000,6,13.011326,8.490726,18.544308,27.023709,13.011326,8.490726,1
20.100000,7,14.235134,9.714534,18.544308,27.023709,14.235134,9.714534,1
20.600000,5,12.747383,8.226783,20.057350,28.536750,12.747383,8.226783,1
20.600000,6,12.414119,7.893519,20.057350,28.536750,12.414119,7.893519,1
20.600000,7,11.477158,6.956558,20.057350,28.536750,11.477158,6.956558,1
21.100000,5,11.939263,7.418663,16.327115,24.806515,11.939263,7.418663,1
21.100000,6,14.466474,9.945874,16.327115,24.806515,14.466474,9.945874,1
21.100000,7,15.090922,10.570322,16.327115,24.806515,15.090922,10.570322,1
21.600000,5,10.263100,5.742500,17.875168,26.354568,10.263100,5.742500,1
21.600000,6,15.164184,10.643584,17.875168,26.354568,15.164184,10.643584,1
21.600000,7,11.474538,6.953938,17.875168,26.354568,11.474538,6.953938,1
22.100000,5,12.017775,7.497175,18.773938,27.253338,12.017775,7.497175,1
22.100000,6,10.915798,6.395198,18.773938,27.253338,10.915798,6.395198,1
22.100000,7,12.609255,8.088655,18.773938,27.253338,12.609255,8.088655,1
22.600000,5,11.545384,7.024784,17.773166,26.252566,11.545384,7.024784,1
22.600000,6,11.882321,7.361721,17.773166,26.252566,11.882321,7.361721,1
22.600000,7,14.942294,10.421694,17.773166,26.252566,14.942294,10.421694,1
23.100000,5,11.195325,6.674725,16.511053,24.990453,11.195325,6.674725,1
23.100000,6,12.960988,8.440388,16.511053,24.990453,12.960988,8.440388,1
23.100000,7,13.273899,8.753299,16.511053,24.990453,13.273899,8.753299,1
23.600000,5,13.020307,8.499707,13.116152,21.595552,13.020307,8.499707,1
23.600000,6,13.008601,8.488001,13.116152,21.595552,13.008601,8.488001,1
23.600000,7,10.614899,6.094299,13.116152,21.595552,10.614899,6.094299,1
24.100000,5,12.971738,8.451138,20.302057,28.781457,12.971738,8.451138,1
24.100000,6,9.187367,4.666767,20.302057,28.781457,9.187367,4.666767,1
24.100000,7,15.419786,10.899186,20.302057,28.781457,15.419786,10.899186,1
24.600000,5,13.659779,9.139179,19.512522,27.991922,13.659779,9.139179,1
24.600000,6,14.929107,10.408507,19.512522,27.991922,14.929107,10.408507,1
24.600000,7,9.940281,5.419681,19.512522,27.991922,9.940281,5.419681,1
25.100000,5,10.003272,5.482672,17.258395,25.737795,10.003272,5.482672,1
25.100000,6,11.444408,6.923808,17.258395,25.737795,11.444408,6.923808,1
25.100000,7,13.898727,9.378127,17.258395,25.737795,13.898727,9.378127,1
25.600000,5,12.519501,7.998901,17.609928,26.089328,12.519501,7.998901,1
25.600000,6,11.892761,7.372162,17.609928,26.089328,11.892761,7.372162,1
25.600000,7,12.572482,8.051883,17.609928,26.089328,12.572482,8.051883,1
26.100000,5,10.689733,6.169133,17.713960,26.193360,10.689733,6.169133,1
26.100000,6,11.530819,7.010219,17.713960,26.193360,11.530819,7.010219,1
26.100000,7,10.993469,6.472869,17.713960,26.193360,10.993469,6.472869,1
26.600000,5,13.825392,9.304792,15.070013,23.549413,13.825392,9.304792,1
26.600000,6,13.245462,8.724862,15.070013,23.549413,13.245462,8.724862,1
26.600000,7,12.006615,7.486015,15.070013,23.549413,12.006615,7.486015,1
27.100000,5,8.898861,4.378261,17.531526,26.010926,8.898861,4.378261,1
27.100000,6,12.363585,7.842985,17.531526,26.010926,12.363585,7.842985,1
27.100000,7,15.061160,10.540560,17.531526,26.010926,15.061160,10.540560,1
27.600000,5,11.377731,6.857131,18.654287,27.133687,11.377731,6.857131,1
