Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,XhaulRsrpDbm,XhaulState,XhaulDegradationActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
0.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,8.54762,4.02702,1,0.1,2,2,COVERAGE_EXTENSION
0.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,11.9057,7.38511,1,0.1,2,2,COVERAGE_EXTENSION
1.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,13.1062,8.58563,1,0.1,2,2,COVERAGE_EXTENSION
1.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,13.4416,8.92097,1,0.1,2,2,COVERAGE_EXTENSION
2.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,11.1335,6.61287,1,0.1,2,2,COVERAGE_EXTENSION
2.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,11.4946,6.97396,1,0.1,2,2,COVERAGE_EXTENSION
3.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,12.4276,7.90704,1,0.1,2,2,COVERAGE_EXTENSION
3.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,13.3322,8.81161,1,0.1,2,2,COVERAGE_EXTENSION
4.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,14.1361,9.61545,1,0.1,2,2,COVERAGE_EXTENSION
4.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,11.7195,7.19894,1,0.1,2,2,COVERAGE_EXTENSION
5.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,12.7935,8.27289,1,0.1,2,2,COVERAGE_EXTENSION
5.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,10.2113,5.69067,1,0.1,2,2,COVERAGE_EXTENSION
6.5,tn-uav-satellite,0,5,4,-60.8777,HEALTHY,0,11.8077,7.28712,1,0.1,2,2,COVERAGE_EXTENSION
6.5,tn-uav-satellite,1,6,1,-60.4147,HEALTHY,0,13.1145,8.59392,1,0.1,2,2,COVERAGE_EXTENSION
