time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,10,8,3,-83.2628,5,-110.033,5,5,10,1,11.3618,6.84116,0
6.5,10,8,3,-83.2628,7,-112.032,4,4,10,1,13.6171,9.09646,0
6.5,10,8,3,-83.2628,6,-113.298,1,1,10,1,10.9823,6.46167,0
6.5,10,8,3,-83.2628,1,-132.948,3,3,20,0,-999,-999,0
6.5,10,8,3,-83.2628,2,-139.136,0,0,20,0,-999,-999,0
6.5,10,8,3,-83.2628,4,-149.178,4,4,20,0,-999,-999,0
6.5,15,8,1,-66.93,5,-84.9253,5,5,10,1,11.3618,6.84116,0
6.5,15,8,1,-66.93,3,-107.18,2,2,20,0,-999,-999,0
6.5,15,8,1,-66.93,4,-125.337,4,4,20,0,-999,-999,0
6.5,15,8,1,-66.93,7,-128.321,4,4,10,1,13.6171,9.09646,0
6.5,15,8,1,-66.93,2,-136.172,0,0,20,0,-999,-999,0
6.5,15,8,1,-66.93,6,-141.919,1,1,10,1,10.9823,6.46167,0
6.5,18,31,7,-115.279,4,-123.11,4,4,20,0,-999,-999,0
6.5,18,31,7,-115.279,1,-125.391,3,3,20,0,-999,-999,0
6.5,18,31,7,-115.279,5,-135.559,5,5,10,1,11.3618,6.84116,0
6.5,18,31,7,-115.279,3,-138.613,2,2,20,0,-999,-999,0
6.5,18,31,7,-115.279,2,-143.59,0,0,20,0,-999,-999,0
6.5,18,31,7,-115.279,6,-148.608,1,1,10,1,10.9823,6.46167,0
6.5,22,15,7,-87.1538,4,-111.309,4,4,20,0,-999,-999,0
6.5,22,15,7,-87.1538,5,-117.168,5,5,10,1,11.3618,6.84116,0
6.5,22,15,7,-87.1538,1,-121.988,3,3,20,0,-999,-999,0
6.5,22,15,7,-87.1538,6,-133.232,1,1,10,1,10.9823,6.46167,0
6.5,22,15,7,-87.1538,2,-133.335,0,0,20,0,-999,-999,0
6.5,22,15,7,-87.1538,3,-133.605,2,2,20,0,-999,-999,0
6.5,23,16,7,-81.3744,3,-111.026,2,2,20,0,-999,-999,0
6.5,23,16,7,-81.3744,5,-117.017,5,5,10,1,11.3618,6.84116,0
6.5,23,16,7,-81.3744,4,-119.446,4,4,20,0,-999,-999,0
6.5,23,16,7,-81.3744,1,-134.399,3,3,20,0,-999,-999,0
