Time,CellId,ServiceDlSnrDb,ServiceUlSnrDb,FeederDlSnrDb,FeederUlSnrDb,BackhaulDlSnrDb,BackhaulUlSnrDb,BackhaulHealthy
0.100000,5,12.371143,7.850543,18.282140,26.761540,12.371143,7.850543,1
0.100000,6,8.142618,3.622018,18.282140,26.761540,8.142618,3.622018,1
0.100000,7,13.718315,9.197715,18.282140,26.761540,13.718315,9.197715,1
0.600000,5,11.309577,6.788977,14.909229,23.388629,11.309577,6.788977,1
0.600000,6,15.636888,11.116288,14.909229,23.388629,14.909229,11.116288,1
0.600000,7,15.179243,10.658643,14.909229,23.388629,14.909229,10.658643,1
1.100000,5,11.848715,7.328115,18.034020,26.513421,11.848715,7.328115,1
1.100000,6,13.247079,8.726479,18.034020,26.513421,13.247079,8.726479,1
1.100000,7,14.172364,9.651764,18.034020,26.513421,14.172364,9.651764,1
1.600000,5,11.640262,7.119662,19.496461,27.975861,11.640262,7.119662,1
1.600000,6,13.367214,8.846614,19.496461,27.975861,13.367214,8.846614,1
1.600000,7,10.596821,6.076221,19.496461,27.975861,10.596821,6.076221,1
2.100000,5,13.811333,9.290734,17.910498,26.389898,13.811333,9.290734,1
2.100000,6,14.373578,9.852979,17.910498,26.389898,14.373578,9.852979,1
2.100000,7,13.957306,9.436706,17.910498,26.389898,13.957306,9.436706,1
2.600000,5,12.832184,8.311584,17.295653,25.775054,12.832184,8.311584,1
2.600000,6,16.027423,11.506823,17.295653,25.775054,16.027423,11.506823,1
2.600000,7,13.125074,8.604474,17.295653,25.775054,13.125074,8.604474,1
3.100000,5,13.131555,8.610955,16.448477,24.927877,13.131555,8.610955,1
3.100000,6,14.369576,9.848976,16.448477,24.927877,14.369576,9.848976,1
3.100000,7,10.232858,5.712258,16.448477,24.927877,10.232858,5.712258,1
3.600000,5,11.486883,6.966283,15.046108,23.525508,11.486883,6.966283,1
3.600000,6,11.994125,7.473525,15.046108,23.525508,11.994125,7.473525,1
3.600000,7,13.265768,8.745168,15.046108,23.525508,13.265768,8.745168,1
4.100000,5,11.723831,7.203231,15.563479,24.042879,11.723831,7.203231,1
4.100000,6,11.172696,6.652096,15.563479,24.042879,11.172696,6.652096,1
