Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,BestDonorDistanceM,XhaulConnected,XhaulChannelVariationDb,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,XhaulDegradationActive,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,UavSwitchingXappAvailable,UavSwitchingXappState,BackhaulMode,RicControlState,ActiveUavRic,NormalUeHandoverAllowed,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
4.5,tn-uav-satellite,0,5,1,758.585,1,0.434841,-87.2866,HEALTHY,0,HEALTHY,0,0,11.7238,7.20323,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
4.5,tn-uav-satellite,1,6,3,1836.25,1,-5.12292,-114.344,UNREACHABLE,0,UNREACHABLE,0,0,11.1727,6.6521,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
4.5,tn-uav-satellite,2,7,4,1236.37,1,-0.330307,-99.9319,HEALTHY,0,HEALTHY,0,0,12.2275,7.70692,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav-satellite,0,5,1,768.279,1,-3.5052,-91.5355,HEALTHY,2,HEALTHY,0,0,11.3618,6.84116,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav-satellite,1,6,3,1786.19,1,-4.40322,-112.952,UNREACHABLE,2,UNREACHABLE,0,0,10.9823,6.46167,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
6.5,tn-uav-satellite,2,7,4,1266.11,1,-3.47386,-103.654,UNREACHABLE,0,HEALTHY,0,0,13.6171,9.09646,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav-satellite,0,5,1,786.449,1,0.172433,-88.4263,HEALTHY,4,HEALTHY,0,0,10.92,6.3994,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav-satellite,1,6,3,1724.13,1,0.972407,-106.717,UNREACHABLE,4,UNREACHABLE,0,0,11.5083,6.98767,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
8.5,tn-uav-satellite,2,7,4,1306.64,1,-2.33739,-103.283,UNREACHABLE,2,HEALTHY,0,0,11.9875,7.46689,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav-satellite,0,5,1,810.191,1,-7.08775,-96.4098,HEALTHY,6,HEALTHY,0,0,12.4873,7.96667,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav-satellite,1,6,3,1662.68,1,0.855327,-105.951,UNREACHABLE,6,UNREACHABLE,0,0,9.38254,4.86194,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
10.5,tn-uav-satellite,2,7,4,1349.65,1,1.08008,-100.654,UNREACHABLE,4,HEALTHY,0,0,14.5851,10.0645,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav-satellite,0,5,2,1078.29,1,2.9061,-93.3682,HEALTHY,8,HEALTHY,0,0,12.034,7.51345,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav-satellite,1,6,3,1601.92,1,0.664021,-105.237,UNREACHABLE,8,UNREACHABLE,0,0,12.0666,7.54604,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
