time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,10,8,3,-59.2486,5,-107.151,8,8,10,1,13.0131,8.4925,0
6.5,10,8,3,-59.2486,7,-115.138,6,6,10,1,16.2538,11.7332,0
6.5,10,8,3,-59.2486,6,-123.752,1,1,10,1,12.8368,8.31617,0
6.5,10,8,3,-59.2486,1,-130.796,1,1,20,0,-999,-999,0
6.5,10,8,3,-59.2486,4,-138.123,1,1,20,0,-999,-999,0
6.5,10,8,3,-59.2486,2,-145.064,0,0,20,0,-999,-999,0
6.5,13,55,5,-76.7603,7,-128.198,6,6,10,1,16.2538,11.7332,0
6.5,13,55,5,-76.7603,1,-128.368,1,1,20,0,-999,-999,0
6.5,13,55,5,-76.7603,3,-133.582,2,2,20,0,-999,-999,0
6.5,13,55,5,-76.7603,4,-134.859,1,1,20,0,-999,-999,0
6.5,13,55,5,-76.7603,2,-138.358,0,0,20,0,-999,-999,0
6.5,13,55,5,-76.7603,6,-142.511,1,1,10,1,12.8368,8.31617,0
6.5,15,8,1,-68.0571,5,-120.367,8,8,10,1,13.0131,8.4925,0
6.5,15,8,1,-68.0571,7,-123.296,6,6,10,1,16.2538,11.7332,0
6.5,15,8,1,-68.0571,4,-125.397,1,1,20,0,-999,-999,0
6.5,15,8,1,-68.0571,3,-130.25,2,2,20,0,-999,-999,0
6.5,15,8,1,-68.0571,2,-134.83,0,0,20,0,-999,-999,0
6.5,15,8,1,-68.0571,6,-137.051,1,1,10,1,12.8368,8.31617,0
6.5,18,31,7,-126.76,1,-122.508,1,1,20,0,-999,-999,0
6.5,18,31,7,-126.76,4,-127.125,1,1,20,0,-999,-999,0
6.5,18,31,7,-126.76,5,-133.969,8,8,10,1,13.0131,8.4925,0
6.5,18,31,7,-126.76,2,-137.979,0,0,20,0,-999,-999,0
6.5,18,31,7,-126.76,3,-147.65,2,2,20,0,-999,-999,0
6.5,18,31,7,-126.76,6,-149.384,1,1,10,1,12.8368,8.31617,0
6.5,22,15,7,-87.8011,4,-108.971,1,1,20,0,-999,-999,0
6.5,22,15,7,-87.8011,5,-116.682,8,8,10,1,13.0131,8.4925,0
6.5,22,15,7,-87.8011,1,-119.22,1,1,20,0,-999,-999,0
