Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,BestDonorDistanceM,XhaulConnected,XhaulChannelVariationDb,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,XhaulDegradationActive,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,UavSwitchingXappAvailable,UavSwitchingXappState,BackhaulMode,RicControlState,ActiveUavRic,NormalUeHandoverAllowed,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
4.5,tn-uav-satellite,0,5,1,758.585,1,0.434841,-87.2866,HEALTHY,0,HEALTHY,0,0,11.7238,7.20323,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
4.5,tn-uav-satellite,1,6,3,1836.25,1,-5.12292,-114.344,UNREACHABLE,0,UNREACHABLE,0,0,11.1727,6.6521,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
4.5,tn-uav-satellite,2,7,4,1236.37,1,-0.330307,-99.9319,HEALTHY,0,HEALTHY,0,0,12.2275,7.70692,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav-satellite,0,5,1,780.825,1,-3.5052,-91.9294,HEALTHY,2,HEALTHY,0,0,13.0131,8.4925,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav-satellite,1,6,3,1800.87,1,-4.40322,-113.151,UNREACHABLE,2,UNREACHABLE,0,0,12.8368,8.31617,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
6.5,tn-uav-satellite,2,7,4,1275.72,1,-3.47386,-103.837,UNREACHABLE,0,HEALTHY,0,0,16.2538,11.7332,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav-satellite,0,5,1,810.499,1,0.172433,-89.1589,HEALTHY,4,HEALTHY,0,0,11.3446,6.82397,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav-satellite,1,6,3,1756.05,1,0.972407,-107.163,UNREACHABLE,4,UNREACHABLE,0,0,12.402,7.88143,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
8.5,tn-uav-satellite,2,7,1,1749.19,1,5.7703,-102.27,UNREACHABLE,2,HEALTHY,0,0,12.4172,7.8966,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav-satellite,0,5,1,845.135,1,-7.08775,-97.4368,HEALTHY,6,HEALTHY,0,0,9.91213,5.39153,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav-satellite,1,6,3,1711.48,1,0.855327,-106.655,UNREACHABLE,6,UNREACHABLE,0,0,12.639,8.11844,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
10.5,tn-uav-satellite,2,7,4,1373.57,1,1.08008,-101.081,UNREACHABLE,4,HEALTHY,0,0,11.0215,6.50093,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav-satellite,0,5,2,1125.55,1,2.9061,-94.4116,HEALTHY,8,HEALTHY,0,0,12.2996,7.77904,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav-satellite,1,6,3,1689.14,1,0.664021,-106.526,UNREACHABLE,8,UNREACHABLE,0,0,7.93312,3.41252,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
