Time,CellId,ServiceDlSnrDb,ServiceUlSnrDb,FeederDlSnrDb,FeederUlSnrDb,BackhaulDlSnrDb,BackhaulUlSnrDb,BackhaulHealthy
0.100000,5,11.652189,7.131589,16.709358,25.188758,11.652189,7.131589,1
0.100000,6,11.275330,6.754730,16.709358,25.188758,11.275330,6.754730,1
0.100000,7,10.286575,5.765975,16.709358,25.188758,10.286575,5.765975,1
0.600000,5,12.784829,8.264229,17.696351,26.175751,12.784829,8.264229,1
0.600000,6,11.565178,7.044578,17.696351,26.175751,11.565178,7.044578,1
0.600000,7,10.843071,6.322471,17.696351,26.175751,10.843071,6.322471,1
1.100000,5,10.508467,5.987867,16.468172,24.947572,10.508467,5.987867,1
1.100000,6,10.468202,5.947602,16.468172,24.947572,10.468202,5.947602,1
1.100000,7,15.208766,10.688166,16.468172,24.947572,15.208766,10.688166,1
1.600000,5,12.281027,7.760427,18.163908,26.643308,12.281027,7.760427,1
1.600000,6,12.246440,7.725840,18.163908,26.643308,12.246440,7.725840,1
1.600000,7,7.607606,3.087006,18.163908,26.643308,7.607606,3.087006,1
2.100000,5,12.645254,8.124654,17.295131,25.774531,12.645254,8.124654,1
2.100000,6,13.156396,8.635796,17.295131,25.774531,13.156396,8.635796,1
2.100000,7,11.962336,7.441736,17.295131,25.774531,11.962336,7.441736,1
2.600000,5,14.270252,9.749652,17.592275,26.071675,14.270252,9.749652,1
2.600000,6,3.792165,-0.728435,17.592275,26.071675,3.792165,-0.728435,0
2.600000,7,13.882468,9.361868,17.592275,26.071675,13.882468,9.361868,1
3.100000,5,13.088987,8.568387,16.800537,25.279938,13.088987,8.568387,1
3.100000,6,12.808845,8.288246,16.800537,25.279938,12.808845,8.288246,1
3.100000,7,12.893586,8.372986,16.800537,25.279938,12.893586,8.372986,1
3.600000,5,12.852025,8.331425,17.576079,26.055479,12.852025,8.331425,1
3.600000,6,11.655857,7.135257,17.576079,26.055479,11.655857,7.135257,1
3.600000,7,11.071550,6.550950,17.576079,26.055479,11.071550,6.550950,1
4.100000,5,11.265444,6.744844,17.482822,25.962222,11.265444,6.744844,1
4.100000,6,11.548327,7.027727,17.482822,25.962222,11.548327,7.027727,1
4.100000,7,11.740990,7.220390,17.482822,25.962222,11.740990,7.220390,1
4.600000,5,11.731438,7.210838,17.398328,25.877728,11.731438,7.210838,1
4.600000,6,14.819726,10.299126,17.398328,25.877728,14.819726,10.299126,1
4.600000,7,12.858602,8.338002,17.398328,25.877728,12.858602,8.338002,1
5.100000,5,13.971892,9.451292,17.557671,26.037071,13.971892,9.451292,1
5.100000,6,12.118631,7.598031,17.557671,26.037071,12.118631,7.598031,1
5.100000,7,12.606586,8.085986,17.557671,26.037071,12.606586,8.085986,1
5.600000,5,9.165886,4.645286,17.831050,26.310450,9.165886,4.645286,1
5.600000,6,11.922602,7.402002,17.831050,26.310450,11.922602,7.402002,1
5.600000,7,13.797389,9.276789,17.831050,26.310450,13.797389,9.276789,1
6.100000,5,13.206947,8.686347,18.004901,26.484301,13.206947,8.686347,1
6.100000,6,14.647269,10.126669,18.004901,26.484301,14.647269,10.126669,1
6.100000,7,15.593611,11.073011,18.004901,26.484301,15.593611,11.073011,1
6.600000,5,9.092905,4.572305,18.740044,27.219444,9.092905,4.572305,1
6.600000,6,11.007474,6.486875,18.740044,27.219444,11.007474,6.486875,1
6.600000,7,12.046220,7.525620,18.740044,27.219444,12.046220,7.525620,1
7.100000,5,13.458644,8.938044,19.758240,28.237641,13.458644,8.938044,1
7.100000,6,11.959594,7.438994,19.758240,28.237641,11.959594,7.438994,1
7.100000,7,13.357154,8.836554,19.758240,28.237641,13.357154,8.836554,1
7.600000,5,13.855391,9.334791,19.827432,28.306832,13.855391,9.334791,1
7.600000,6,12.644919,8.124319,19.827432,28.306832,12.644919,8.124319,1
7.600000,7,8.657779,4.137180,19.827432,28.306832,8.657779,4.137180,1
8.100000,5,14.233499,9.712899,17.468605,25.948005,14.233499,9.712899,1
8.100000,6,11.741085,7.220485,17.468605,25.948005,11.741085,7.220485,1
8.100000,7,12.889928,8.369328,17.468605,25.948005,12.889928,8.369328,1
8.600000,5,11.347502,6.826902,22.104083,30.583484,11.347502,6.826902,1
8.600000,6,12.176289,7.655689,22.104083,30.583484,12.176289,7.655689,1
8.600000,7,13.290817,8.770217,22.104083,30.583484,13.290817,8.770217,1
9.100000,5,10.049127,5.528527,18.962513,27.441913,10.049127,5.528527,1
9.100000,6,14.159656,9.639056,18.962513,27.441913,14.159656,9.639056,1
9.100000,7,14.420822,9.900222,18.962513,27.441913,14.420822,9.900222,1
9.600000,5,11.579676,7.059076,15.988876,24.468276,11.579676,7.059076,1
9.600000,6,13.389452,8.868852,15.988876,24.468276,13.389452,8.868852,1
9.600000,7,14.753140,10.232540,15.988876,24.468276,14.753140,10.232540,1
10.100000,5,9.898623,5.378023,18.046571,26.525971,9.898623,5.378023,1
10.100000,6,8.680441,4.159841,18.046571,26.525971,8.680441,4.159841,1
10.100000,7,12.803783,8.283184,18.046571,26.525971,12.803783,8.283184,1
10.600000,5,10.899431,6.378831,16.749199,25.228599,10.899431,6.378831,1
10.600000,6,13.082031,8.561431,16.749199,25.228599,13.082031,8.561431,1
10.600000,7,11.449306,6.928706,16.749199,25.228599,11.449306,6.928706,1
11.100000,5,11.595788,7.075188,20.749099,29.228499,11.595788,7.075188,1
11.100000,6,12.774803,8.254203,20.749099,29.228499,12.774803,8.254203,1
11.100000,7,12.940655,8.420055,20.749099,29.228499,12.940655,8.420055,1
11.600000,5,12.964160,8.443560,19.082824,27.562224,12.964160,8.443560,1
11.600000,6,13.239519,8.718919,19.082824,27.562224,13.239519,8.718919,1
11.600000,7,14.281451,9.760851,19.082824,27.562224,14.281451,9.760851,1
12.100000,5,13.347945,8.827346,16.535991,25.015391,13.347945,8.827346,1
12.100000,6,11.083863,6.563263,16.535991,25.015391,11.083863,6.563263,1
12.100000,7,8.823875,4.303275,16.535991,25.015391,8.823875,4.303275,1
12.600000,5,13.156079,8.635479,18.662824,27.142225,13.156079,8.635479,1
12.600000,6,11.580884,7.060284,18.662824,27.142225,11.580884,7.060284,1
12.600000,7,9.147028,4.626428,18.662824,27.142225,9.147028,4.626428,1
13.100000,5,10.552832,6.032232,16.692662,25.172062,10.552832,6.032232,1
13.100000,6,14.652124,10.131524,16.692662,25.172062,14.652124,10.131524,1
13.100000,7,11.176819,6.656219,16.692662,25.172062,11.176819,6.656219,1
13.600000,5,9.322218,4.801618,17.545192,26.024592,9.322218,4.801618,1
13.600000,6,13.088865,8.568265,17.545192,26.024592,13.088865,8.568265,1
13.600000,7,14.897923,10.377323,17.545192,26.024592,14.897923,10.377323,1
14.100000,5,13.709655,9.189056,16.845236,25.324636,13.709655,9.189056,1
14.100000,6,8.987434,4.466834,16.845236,25.324636,8.987434,4.466834,1
