time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,9,8,2,-102.23,1,-100.395,4,4,20,0,-999,-999,0
6.5,9,8,2,-102.23,6,-100.749,4,4,15,1,10.8018,6.28116,0
6.5,9,8,2,-102.23,3,-119.468,5,5,20,0,-999,-999,0
6.5,9,8,2,-102.23,4,-120.609,3,3,20,0,-999,-999,0
6.5,9,8,2,-102.23,7,-127.444,4,4,15,1,12.3788,7.85816,0
6.5,9,8,2,-102.23,5,-131.364,2,2,15,1,12.0601,7.5395,0
6.5,13,40,3,-103.778,1,-95.612,4,4,20,0,-999,-999,0
6.5,13,40,3,-103.778,4,-104.827,3,3,20,0,-999,-999,0
6.5,13,40,3,-103.778,7,-112.06,4,4,15,1,12.3788,7.85816,0
6.5,13,40,3,-103.778,2,-114.236,1,1,20,0,-999,-999,0
6.5,13,40,3,-103.778,5,-137.562,2,2,15,1,12.0601,7.5395,0
6.5,13,40,3,-103.778,6,-146.227,4,4,15,1,10.8018,6.28116,0
6.5,15,29,3,-83.9943,6,-106.764,4,4,15,1,10.8018,6.28116,0
6.5,15,29,3,-83.9943,2,-115.101,1,1,20,0,-999,-999,0
6.5,15,29,3,-83.9943,1,-117.272,4,4,20,0,-999,-999,0
6.5,15,29,3,-83.9943,5,-128.122,2,2,15,1,12.0601,7.5395,0
6.5,15,29,3,-83.9943,7,-131.824,4,4,15,1,12.3788,7.85816,0
6.5,15,29,3,-83.9943,4,-142.185,3,3,20,0,-999,-999,0
6.5,23,22,1,-70.382,2,-116.641,1,1,20,0,-999,-999,0
6.5,23,22,1,-70.382,3,-123.756,5,5,20,0,-999,-999,0
6.5,23,22,1,-70.382,5,-127.067,2,2,15,1,12.0601,7.5395,0
6.5,23,22,1,-70.382,6,-127.275,4,4,15,1,10.8018,6.28116,0
6.5,23,22,1,-70.382,4,-128.75,3,3,20,0,-999,-999,0
6.5,23,22,1,-70.382,7,-132.899,4,4,15,1,12.3788,7.85816,0
6.5,26,30,3,-85.4201,1,-109.39,4,4,20,0,-999,-999,0
6.5,26,30,3,-85.4201,2,-117.909,1,1,20,0,-999,-999,0
6.5,26,30,3,-85.4201,7,-130.633,4,4,15,1,12.3788,7.85816,0
6.5,26,30,3,-85.4201,5,-132.408,2,2,15,1,12.0601,7.5395,0
6.5,26,30,3,-85.4201,4,-134.809,3,3,20,0,-999,-999,0
6.5,26,30,3,-85.4201,6,-142.187,4,4,15,1,10.8018,6.28116,0
6.5,33,8,7,-88.3626,2,-88.733,1,1,20,0,-999,-999,0
6.5,33,8,7,-88.3626,1,-100.65,4,4,20,0,-999,-999,0
6.5,33,8,7,-88.3626,6,-113.201,4,4,15,1,10.8018,6.28116,0
6.5,33,8,7,-88.3626,3,-117.301,5,5,20,0,-999,-999,0
6.5,33,8,7,-88.3626,4,-134.616,3,3,20,0,-999,-999,0
6.5,33,8,7,-88.3626,5,-136.272,2,2,15,1,12.0601,7.5395,0
6.5,35,8,5,-123.139,1,-104.698,4,4,20,0,-999,-999,0
