Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,XhaulRsrpDbm,XhaulState,XhaulDegradationActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
0.5,tn-uav,0,5,4,-60.8777,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
0.5,tn-uav,1,6,1,-60.4147,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
1.5,tn-uav,0,5,4,-60.8777,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
1.5,tn-uav,1,6,1,-60.4147,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
2.5,tn-uav,0,5,4,-60.8777,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
2.5,tn-uav,1,6,1,-60.4147,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
3.5,tn-uav,0,5,4,-60.8777,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
3.5,tn-uav,1,6,1,-60.4147,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
4.5,tn-uav,0,5,4,-60.8777,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
4.5,tn-uav,1,6,1,-60.4147,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
5.5,tn-uav,0,5,4,-60.8777,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
5.5,tn-uav,1,6,1,-60.4147,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
6.5,tn-uav,0,5,4,-60.8777,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
6.5,tn-uav,1,6,1,-60.4147,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
7.5,tn-uav,0,5,4,-60.8586,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
7.5,tn-uav,1,6,1,-60.405,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
8.5,tn-uav,0,5,4,-60.8275,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
8.5,tn-uav,1,6,1,-60.3897,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
9.5,tn-uav,0,5,4,-60.7971,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
9.5,tn-uav,1,6,1,-60.3754,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
10.5,tn-uav,0,5,4,-60.7675,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
10.5,tn-uav,1,6,1,-60.3622,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
11.5,tn-uav,0,5,4,-60.7386,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
11.5,tn-uav,1,6,1,-60.35,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
12.5,tn-uav,0,5,4,-60.7106,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
12.5,tn-uav,1,6,1,-60.3388,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
13.5,tn-uav,0,5,4,-60.6482,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
13.5,tn-uav,1,6,1,-60.3347,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
14.5,tn-uav,0,5,4,-60.5621,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
14.5,tn-uav,1,6,1,-60.3347,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
15.5,tn-uav,0,5,4,-60.4753,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
15.5,tn-uav,1,6,1,-60.3347,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
16.5,tn-uav,0,5,4,-60.3879,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
16.5,tn-uav,1,6,1,-60.3347,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
17.5,tn-uav,0,5,4,-60.3367,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
17.5,tn-uav,1,6,1,-60.3288,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
18.5,tn-uav,0,5,4,-60.3107,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
18.5,tn-uav,1,6,1,-60.3197,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
19.5,tn-uav,0,5,4,-60.2856,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
19.5,tn-uav,1,6,1,-60.3118,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
20.5,tn-uav,0,5,4,-60.2615,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
20.5,tn-uav,1,6,1,-60.3049,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
21.5,tn-uav,0,5,4,-60.1994,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
21.5,tn-uav,1,6,1,-60.3025,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
22.5,tn-uav,0,5,4,-60.1108,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
22.5,tn-uav,1,6,1,-60.3025,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
23.5,tn-uav,0,5,4,-60.0616,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
23.5,tn-uav,1,6,1,-60.2991,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
24.5,tn-uav,0,5,4,-60.0397,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
24.5,tn-uav,1,6,1,-60.2944,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
25.5,tn-uav,0,5,4,-60.0188,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
25.5,tn-uav,1,6,1,-60.2908,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
26.5,tn-uav,0,5,4,-59.999,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
26.5,tn-uav,1,6,1,-60.2883,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
27.5,tn-uav,0,5,4,-59.9803,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
27.5,tn-uav,1,6,1,-60.287,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
28.5,tn-uav,0,5,4,-59.9628,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
28.5,tn-uav,1,6,1,-60.2867,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
29.5,tn-uav,0,5,4,-59.9463,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
29.5,tn-uav,1,6,1,-60.2876,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
30.5,tn-uav,0,5,4,-59.9309,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
30.5,tn-uav,1,6,1,-60.2895,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
31.5,tn-uav,0,5,4,-59.9172,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
31.5,tn-uav,1,6,1,-60.2924,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
32.5,tn-uav,0,5,4,-59.9051,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
32.5,tn-uav,1,6,1,-60.2963,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
33.5,tn-uav,0,5,4,-59.8941,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
33.5,tn-uav,1,6,1,-60.3014,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
34.5,tn-uav,0,5,4,-59.8843,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
34.5,tn-uav,1,6,1,-60.3075,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
35.5,tn-uav,0,5,4,-59.8757,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
35.5,tn-uav,1,6,1,-60.3147,HEALTHY,0,-999,-999,0,0.1,2,2,COVERAGE_EXTENSION
