time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,8,22,2,-80.2521,5,-68.5144,10,10,10,1,-999,-999,0
6.5,8,22,2,-80.2521,7,-82.4361,3,3,10,1,-999,-999,0
6.5,8,22,2,-80.2521,1,-84.881,7,7,20,0,-999,-999,0
6.5,8,22,2,-80.2521,3,-85.3571,11,11,20,0,-999,-999,0
6.5,8,22,2,-80.2521,4,-94.3179,7,7,20,0,-999,-999,0
6.5,8,22,2,-80.2521,6,-101.924,9,9,10,1,-999,-999,0
6.5,9,23,2,-73.8858,6,-53.8547,9,9,10,1,-999,-999,0
6.5,9,23,2,-73.8858,1,-69.2472,7,7,20,0,-999,-999,0
6.5,9,23,2,-73.8858,7,-74.1498,3,3,10,1,-999,-999,0
6.5,9,23,2,-73.8858,3,-78.6758,11,11,20,0,-999,-999,0
6.5,9,23,2,-73.8858,4,-83.2046,7,7,20,0,-999,-999,0
6.5,9,23,2,-73.8858,5,-91.8013,10,10,10,1,-999,-999,0
6.5,10,78,3,-62.1086,5,-44.8632,10,10,10,1,-999,-999,0
6.5,10,78,3,-62.1086,1,-72.2111,7,7,20,0,-999,-999,0
6.5,10,78,3,-62.1086,4,-75.1036,7,7,20,0,-999,-999,0
6.5,10,78,3,-62.1086,7,-82.0057,3,3,10,1,-999,-999,0
6.5,10,78,3,-62.1086,2,-86.1156,3,3,20,0,-999,-999,0
6.5,10,78,3,-62.1086,6,-92.8422,9,9,10,1,-999,-999,0
6.5,11,64,6,-82.0029,2,-54.9122,3,3,20,0,-999,-999,0
6.5,11,64,6,-82.0029,5,-59.4178,10,10,10,1,-999,-999,0
6.5,11,64,6,-82.0029,7,-79.7965,3,3,10,1,-999,-999,0
6.5,11,64,6,-82.0029,4,-87.4982,7,7,20,0,-999,-999,0
6.5,11,64,6,-82.0029,3,-91.6437,11,11,20,0,-999,-999,0
6.5,11,64,6,-82.0029,1,-92.4698,7,7,20,0,-999,-999,0
6.5,12,71,5,-75.3501,2,-93.3111,3,3,20,0,-999,-999,0
6.5,12,71,5,-75.3501,1,-93.5576,7,7,20,0,-999,-999,0
6.5,12,71,5,-75.3501,3,-95.0731,11,11,20,0,-999,-999,0
6.5,12,71,5,-75.3501,7,-95.7312,3,3,10,1,-999,-999,0
6.5,12,71,5,-75.3501,6,-105.957,9,9,10,1,-999,-999,0
