Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
4.5,tn-uav,0,5,-64.2447,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
4.5,tn-uav,1,6,-59.6999,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
4.5,tn-uav,2,7,-59.9085,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav,0,5,-65.7369,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav,1,6,-61.3205,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav,2,7,-59.2856,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav,0,5,-64.5071,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav,1,6,-55.1895,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav,2,7,-57.2966,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav,2,7,-57.9022,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav,1,6,-64.6635,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav,0,5,-64.2782,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav,0,5,-64.1378,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav,1,6,-54.8512,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav,2,7,-58.0655,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav,0,5,-61.658,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav,1,6,-61.1698,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav,2,7,-61.1617,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav,0,5,-66.037,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav,1,6,-60.0844,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav,2,7,-59.6299,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
18.5,tn-uav,2,7,-58.142,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
18.5,tn-uav,0,5,-63.1671,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
18.5,tn-uav,1,6,-57.7154,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
20.5,tn-uav,0,5,-65.9146,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
20.5,tn-uav,1,6,-62.1441,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
20.5,tn-uav,2,7,-59.0471,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
22.5,tn-uav,0,5,-61.7334,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
22.5,tn-uav,1,6,-60.3863,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
22.5,tn-uav,2,7,-58.1032,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
24.5,tn-uav,2,7,-58.0613,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
24.5,tn-uav,1,6,-56.1116,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
24.5,tn-uav,0,5,-69.2019,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
26.5,tn-uav,0,5,-64.0422,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
26.5,tn-uav,1,6,-60.1152,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
26.5,tn-uav,2,7,-63.3324,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
28.5,tn-uav,0,5,-63.1425,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
28.5,tn-uav,1,6,-59.004,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
28.5,tn-uav,2,7,-60.4476,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
30.5,tn-uav,1,6,-1000000000.0,1,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
30.5,tn-uav,2,7,-1000000000.0,1,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
30.5,tn-uav,0,5,-1000000000.0,1,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
32.5,tn-uav,2,7,-1000000000.0,1,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
32.5,tn-uav,0,5,-1000000000.0,1,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
32.5,tn-uav,1,6,-1000000000.0,1,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
34.5,tn-uav,0,5,-1000000000.0,1,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
34.5,tn-uav,1,6,-1000000000.0,1,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
34.5,tn-uav,2,7,-1000000000.0,1,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
36.5,tn-uav,0,5,-1000000000.0,1,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
36.5,tn-uav,1,6,-1000000000.0,1,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
36.5,tn-uav,2,7,-1000000000.0,1,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
38.5,tn-uav,1,6,-1000000000.0,1,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
