time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,8,22,2,-112.428,5,-107.898,10,10,10,1,-999,-999,0
6.5,8,22,2,-112.428,3,-117.844,11,11,20,0,-999,-999,0
6.5,8,22,2,-112.428,1,-118.326,7,7,20,0,-999,-999,0
6.5,8,22,2,-112.428,7,-126.531,3,3,10,1,-999,-999,0
6.5,8,22,2,-112.428,4,-133.829,7,7,20,0,-999,-999,0
6.5,8,22,2,-112.428,6,-135.928,9,9,10,1,-999,-999,0
6.5,9,23,2,-112.073,6,-95.42,9,9,10,1,-999,-999,0
6.5,9,23,2,-112.073,1,-101.791,7,7,20,0,-999,-999,0
6.5,9,23,2,-112.073,7,-114.913,3,3,10,1,-999,-999,0
6.5,9,23,2,-112.073,3,-116.592,11,11,20,0,-999,-999,0
6.5,9,23,2,-112.073,4,-119.626,7,7,20,0,-999,-999,0
6.5,9,23,2,-112.073,5,-128.525,10,10,10,1,-999,-999,0
6.5,10,78,3,-101.411,5,-85.4694,10,10,10,1,-999,-999,0
6.5,10,78,3,-101.411,1,-108.314,7,7,20,0,-999,-999,0
6.5,10,78,3,-101.411,7,-115.634,3,3,10,1,-999,-999,0
6.5,10,78,3,-101.411,4,-115.804,7,7,20,0,-999,-999,0
6.5,10,78,3,-101.411,2,-126.742,3,3,20,0,-999,-999,0
6.5,10,78,3,-101.411,6,-136.881,9,9,10,1,-999,-999,0
6.5,11,64,6,-123.927,2,-91.6414,3,3,20,0,-999,-999,0
6.5,11,64,6,-123.927,5,-100.325,10,10,10,1,-999,-999,0
6.5,11,64,6,-123.927,1,-123.946,7,7,20,0,-999,-999,0
6.5,11,64,6,-123.927,7,-124.425,3,3,10,1,-999,-999,0
6.5,11,64,6,-123.927,4,-124.938,7,7,20,0,-999,-999,0
6.5,11,64,6,-123.927,3,-131.256,11,11,20,0,-999,-999,0
6.5,12,71,5,-116.542,2,-131.994,3,3,20,0,-999,-999,0
6.5,12,71,5,-116.542,3,-132.572,11,11,20,0,-999,-999,0
6.5,12,71,5,-116.542,1,-133.344,7,7,20,0,-999,-999,0
6.5,12,71,5,-116.542,4,-144.269,7,7,20,0,-999,-999,0
6.5,12,71,5,-116.542,7,-144.985,3,3,10,1,-999,-999,0
6.5,12,71,5,-116.542,6,-146.025,9,9,10,1,-999,-999,0
6.5,13,50,1,-85.4627,3,-81.4934,11,11,20,0,-999,-999,0
6.5,13,50,1,-85.4627,2,-117.499,3,3,20,0,-999,-999,0
6.5,13,50,1,-85.4627,5,-122.758,10,10,10,1,-999,-999,0
6.5,13,50,1,-85.4627,7,-126.785,3,3,10,1,-999,-999,0
6.5,13,50,1,-85.4627,4,-133.04,7,7,20,0,-999,-999,0
6.5,13,50,1,-85.4627,6,-134.073,9,9,10,1,-999,-999,0
6.5,14,72,5,-73.7883,7,-128.72,3,3,10,1,-999,-999,0
6.5,14,72,5,-73.7883,3,-136.753,11,11,20,0,-999,-999,0
6.5,14,72,5,-73.7883,1,-138.359,7,7,20,0,-999,-999,0
6.5,14,72,5,-73.7883,2,-142.653,3,3,20,0,-999,-999,0
6.5,14,72,5,-73.7883,6,-159.057,9,9,10,1,-999,-999,0
6.5,14,72,5,-73.7883,4,-160.593,7,7,20,0,-999,-999,0
6.5,15,89,3,-91.5692,2,-92.6142,3,3,20,0,-999,-999,0
6.5,15,89,3,-91.5692,1,-97.2587,7,7,20,0,-999,-999,0
6.5,15,89,3,-91.5692,5,-99.8565,10,10,10,1,-999,-999,0
6.5,15,89,3,-91.5692,4,-132.544,7,7,20,0,-999,-999,0
6.5,15,89,3,-91.5692,6,-137.945,9,9,10,1,-999,-999,0
6.5,15,89,3,-91.5692,7,-140.745,3,3,10,1,-999,-999,0
6.5,16,50,4,-80.1758,6,-89.3594,9,9,10,1,-999,-999,0
