time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,8,22,2,-116.066,5,-108,10,10,10,1,-999,-999,0
6.5,8,22,2,-116.066,1,-116.458,7,7,20,0,-999,-999,0
6.5,8,22,2,-116.066,3,-121.403,11,11,20,0,-999,-999,0
6.5,8,22,2,-116.066,7,-122.535,3,3,10,1,-999,-999,0
6.5,8,22,2,-116.066,4,-131.322,7,7,20,0,-999,-999,0
6.5,8,22,2,-116.066,6,-141.574,9,9,10,1,-999,-999,0
6.5,9,23,2,-114.973,6,-94.4596,9,9,10,1,-999,-999,0
6.5,9,23,2,-114.973,1,-108.321,7,7,20,0,-999,-999,0
6.5,9,23,2,-114.973,7,-109.876,3,3,10,1,-999,-999,0
6.5,9,23,2,-114.973,3,-116.726,11,11,20,0,-999,-999,0
6.5,9,23,2,-114.973,4,-119.974,7,7,20,0,-999,-999,0
6.5,9,23,2,-114.973,5,-133.551,10,10,10,1,-999,-999,0
6.5,10,78,3,-102.757,5,-85.663,10,10,10,1,-999,-999,0
6.5,10,78,3,-102.757,1,-108.672,7,7,20,0,-999,-999,0
6.5,10,78,3,-102.757,2,-124.974,3,3,20,0,-999,-999,0
6.5,10,78,3,-102.757,7,-127.014,3,3,10,1,-999,-999,0
6.5,10,78,3,-102.757,6,-141.753,9,9,10,1,-999,-999,0
6.5,10,78,3,-102.757,4,-143.931,7,7,20,0,-999,-999,0
6.5,11,64,6,-125.73,2,-91.5554,3,3,20,0,-999,-999,0
6.5,11,64,6,-125.73,5,-100.848,10,10,10,1,-999,-999,0
6.5,11,64,6,-125.73,7,-126.044,3,3,10,1,-999,-999,0
6.5,11,64,6,-125.73,4,-129.549,7,7,20,0,-999,-999,0
6.5,11,64,6,-125.73,3,-130.139,11,11,20,0,-999,-999,0
6.5,11,64,6,-125.73,1,-132.724,7,7,20,0,-999,-999,0
6.5,12,71,5,-118.624,3,-130.373,11,11,20,0,-999,-999,0
6.5,12,71,5,-118.624,1,-132.882,7,7,20,0,-999,-999,0
6.5,12,71,5,-118.624,2,-135.398,3,3,20,0,-999,-999,0
6.5,12,71,5,-118.624,7,-140.2,3,3,10,1,-999,-999,0
6.5,12,71,5,-118.624,6,-141.139,9,9,10,1,-999,-999,0
6.5,12,71,5,-118.624,4,-153.505,7,7,20,0,-999,-999,0
6.5,13,50,1,-88.1,3,-82.2606,11,11,20,0,-999,-999,0
6.5,13,50,1,-88.1,2,-107.978,3,3,20,0,-999,-999,0
6.5,13,50,1,-88.1,5,-124.824,10,10,10,1,-999,-999,0
6.5,13,50,1,-88.1,7,-129.526,3,3,10,1,-999,-999,0
6.5,13,50,1,-88.1,6,-134.212,9,9,10,1,-999,-999,0
6.5,13,50,1,-88.1,4,-137.405,7,7,20,0,-999,-999,0
6.5,14,72,5,-73.2585,7,-133.76,3,3,10,1,-999,-999,0
6.5,14,72,5,-73.2585,3,-137.016,11,11,20,0,-999,-999,0
6.5,14,72,5,-73.2585,1,-139.25,7,7,20,0,-999,-999,0
6.5,14,72,5,-73.2585,2,-144.163,3,3,20,0,-999,-999,0
6.5,14,72,5,-73.2585,6,-146.227,9,9,10,1,-999,-999,0
6.5,14,72,5,-73.2585,4,-159.911,7,7,20,0,-999,-999,0
6.5,15,89,3,-68.8902,2,-90.5827,3,3,20,0,-999,-999,0
6.5,15,89,3,-68.8902,1,-97.1892,7,7,20,0,-999,-999,0
6.5,15,89,3,-68.8902,5,-100.204,10,10,10,1,-999,-999,0
6.5,15,89,3,-68.8902,4,-131.132,7,7,20,0,-999,-999,0
6.5,15,89,3,-68.8902,6,-134.328,9,9,10,1,-999,-999,0
6.5,15,89,3,-68.8902,7,-141.988,3,3,10,1,-999,-999,0
6.5,16,50,4,-79.6948,6,-89.1243,9,9,10,1,-999,-999,0
6.5,16,50,4,-79.6948,1,-130.339,7,7,20,0,-999,-999,0
6.5,16,50,4,-79.6948,3,-137.168,11,11,20,0,-999,-999,0
6.5,16,50,4,-79.6948,2,-138.75,3,3,20,0,-999,-999,0
6.5,16,50,4,-79.6948,5,-139.993,10,10,10,1,-999,-999,0
6.5,16,50,4,-79.6948,7,-140.94,3,3,10,1,-999,-999,0
6.5,17,65,6,-95.1722,2,-101.776,3,3,20,0,-999,-999,0
6.5,17,65,6,-95.1722,5,-117.101,10,10,10,1,-999,-999,0
6.5,17,65,6,-95.1722,4,-118.487,7,7,20,0,-999,-999,0
6.5,17,65,6,-95.1722,1,-126.086,7,7,20,0,-999,-999,0
6.5,17,65,6,-95.1722,3,-126.321,11,11,20,0,-999,-999,0
6.5,17,65,6,-95.1722,7,-129.871,3,3,10,1,-999,-999,0
6.5,18,90,3,-102.066,1,-94.5281,7,7,20,0,-999,-999,0
