time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,8,22,2,-82.4593,5,-66.7361,10,10,10,1,-999,-999,0
6.5,8,22,2,-82.4593,7,-82.5784,3,3,10,1,-999,-999,0
6.5,8,22,2,-82.4593,1,-84.7084,7,7,20,0,-999,-999,0
6.5,8,22,2,-82.4593,3,-89.6007,11,11,20,0,-999,-999,0
6.5,8,22,2,-82.4593,4,-95.6234,7,7,20,0,-999,-999,0
6.5,8,22,2,-82.4593,6,-103.047,9,9,10,1,-999,-999,0
6.5,9,23,2,-75.1802,6,-50.4465,9,9,10,1,-999,-999,0
6.5,9,23,2,-75.1802,1,-63.9565,7,7,20,0,-999,-999,0
6.5,9,23,2,-75.1802,7,-74.3636,3,3,10,1,-999,-999,0
6.5,9,23,2,-75.1802,4,-83.8583,7,7,20,0,-999,-999,0
6.5,9,23,2,-75.1802,3,-89.0787,11,11,20,0,-999,-999,0
6.5,9,23,2,-75.1802,5,-89.483,10,10,10,1,-999,-999,0
6.5,10,78,3,-38.0629,5,-43.6281,10,10,10,1,-999,-999,0
6.5,10,78,3,-38.0629,1,-71.1319,7,7,20,0,-999,-999,0
6.5,10,78,3,-38.0629,4,-76.2506,7,7,20,0,-999,-999,0
6.5,10,78,3,-38.0629,7,-82.0932,3,3,10,1,-999,-999,0
6.5,10,78,3,-38.0629,2,-85.9582,3,3,20,0,-999,-999,0
6.5,10,78,3,-38.0629,6,-101.717,9,9,10,1,-999,-999,0
6.5,11,64,6,-85.2932,2,-54.4988,3,3,20,0,-999,-999,0
6.5,11,64,6,-85.2932,5,-60.4639,10,10,10,1,-999,-999,0
6.5,11,64,6,-85.2932,7,-79.6383,3,3,10,1,-999,-999,0
6.5,11,64,6,-85.2932,4,-89.6543,7,7,20,0,-999,-999,0
6.5,11,64,6,-85.2932,1,-91.875,7,7,20,0,-999,-999,0
6.5,11,64,6,-85.2932,3,-93.7232,11,11,20,0,-999,-999,0
6.5,12,71,5,-76.6609,2,-93.6766,3,3,20,0,-999,-999,0
6.5,12,71,5,-76.6609,1,-95.3563,7,7,20,0,-999,-999,0
6.5,12,71,5,-76.6609,3,-96.092,11,11,20,0,-999,-999,0
6.5,12,71,5,-76.6609,7,-98.5344,3,3,10,1,-999,-999,0
6.5,12,71,5,-76.6609,6,-104.908,9,9,10,1,-999,-999,0
6.5,12,71,5,-76.6609,4,-117.984,7,7,20,0,-999,-999,0
6.5,13,50,1,-52.4638,3,-44.5307,11,11,20,0,-999,-999,0
6.5,13,50,1,-52.4638,2,-80.3722,3,3,20,0,-999,-999,0
6.5,13,50,1,-52.4638,7,-82.0786,3,3,10,1,-999,-999,0
6.5,13,50,1,-52.4638,5,-83.2203,10,10,10,1,-999,-999,0
6.5,13,50,1,-52.4638,6,-91.8677,9,9,10,1,-999,-999,0
6.5,13,50,1,-52.4638,4,-96.4835,7,7,20,0,-999,-999,0
6.5,14,72,5,-32.8384,7,-100.623,3,3,10,1,-999,-999,0
6.5,14,72,5,-32.8384,1,-100.867,7,7,20,0,-999,-999,0
6.5,14,72,5,-32.8384,3,-101.521,11,11,20,0,-999,-999,0
6.5,14,72,5,-32.8384,2,-106.774,3,3,20,0,-999,-999,0
6.5,14,72,5,-32.8384,6,-113.098,9,9,10,1,-999,-999,0
6.5,14,72,5,-32.8384,4,-120.613,7,7,20,0,-999,-999,0
6.5,15,89,3,-31.4181,2,-52.0265,3,3,20,0,-999,-999,0
6.5,15,89,3,-31.4181,5,-59.1054,10,10,10,1,-999,-999,0
6.5,15,89,3,-31.4181,1,-60.6804,7,7,20,0,-999,-999,0
6.5,15,89,3,-31.4181,7,-97.9035,3,3,10,1,-999,-999,0
