Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,BestDonorDistanceM,XhaulConnected,XhaulChannelVariationDb,XhaulRsrpDbm,XhaulState,XhaulDegradationActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,OnboardUavRicAvailable,OnboardUavRicState,BackhaulMode,ControlPath,ActiveUavRic,NormalUeHandoverAllowed,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
4.5,tn-uav,0,5,1,1451.84,1,0,-64.6796,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
4.5,tn-uav,1,6,4,629.258,1,0,-57.4178,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
4.5,tn-uav,2,7,2,765.017,1,0,-59.1146,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav,0,5,1,1451.84,1,0,-64.6796,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav,1,6,4,629.258,1,0,-57.4178,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav,2,7,2,765.017,1,0,-59.1146,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav,0,5,1,1451.84,1,0,-64.6796,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav,1,6,4,629.258,1,0,-57.4178,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav,2,7,2,765.572,1,0,-59.1209,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav,0,5,1,1451.84,1,0,-64.6796,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav,1,6,4,643.166,1,0,-57.6077,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav,2,7,2,766.665,1,0,-59.1333,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav,0,5,1,1451.84,1,0,-64.6796,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav,1,6,4,660.753,1,0,-57.842,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav,2,7,2,766.943,1,0,-59.1365,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
14.5,tn-uav,0,5,1,1451.84,1,0,-64.6796,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
14.5,tn-uav,1,6,4,678.49,1,0,-58.0721,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
14.5,tn-uav,2,7,2,766.943,1,0,-59.1365,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
16.5,tn-uav,0,5,1,1451.84,1,0,-64.6796,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
16.5,tn-uav,1,6,4,682.052,1,0,-58.1176,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
16.5,tn-uav,2,7,2,762.55,1,0,-59.0866,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
18.5,tn-uav,0,5,1,1451.84,1,0,-64.6796,HEALTHY,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
