time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,8,22,2,-85.3275,5,-66.4374,10,10,10,1,-999,-999,0
6.5,8,22,2,-85.3275,1,-81.9002,7,7,20,0,-999,-999,0
6.5,8,22,2,-85.3275,3,-84.4091,11,11,20,0,-999,-999,0
6.5,8,22,2,-85.3275,7,-89.4961,3,3,10,1,-999,-999,0
6.5,8,22,2,-85.3275,4,-95.0581,7,7,20,0,-999,-999,0
6.5,8,22,2,-85.3275,6,-95.2506,9,9,10,1,-999,-999,0
6.5,9,23,2,-78.0227,6,-54.2426,9,9,10,1,-999,-999,0
6.5,9,23,2,-78.0227,1,-70.2075,7,7,20,0,-999,-999,0
6.5,9,23,2,-78.0227,7,-72.5046,3,3,10,1,-999,-999,0
6.5,9,23,2,-78.0227,3,-80.0685,11,11,20,0,-999,-999,0
6.5,9,23,2,-78.0227,4,-84.5434,7,7,20,0,-999,-999,0
6.5,9,23,2,-78.0227,5,-92.1783,10,10,10,1,-999,-999,0
6.5,10,78,3,-61.2237,5,-44.7544,10,10,10,1,-999,-999,0
6.5,10,78,3,-61.2237,1,-72.8925,7,7,20,0,-999,-999,0
6.5,10,78,3,-61.2237,7,-81.2913,3,3,10,1,-999,-999,0
6.5,10,78,3,-61.2237,2,-87.1419,3,3,20,0,-999,-999,0
6.5,10,78,3,-61.2237,6,-98.4833,9,9,10,1,-999,-999,0
6.5,10,78,3,-61.2237,4,-107.72,7,7,20,0,-999,-999,0
6.5,11,64,6,-85.8085,2,-54.7241,3,3,20,0,-999,-999,0
6.5,11,64,6,-85.8085,5,-60.6122,10,10,10,1,-999,-999,0
6.5,11,64,6,-85.8085,7,-83.8527,3,3,10,1,-999,-999,0
6.5,11,64,6,-85.8085,1,-88.7963,7,7,20,0,-999,-999,0
6.5,11,64,6,-85.8085,4,-89.058,7,7,20,0,-999,-999,0
6.5,11,64,6,-85.8085,3,-90.4102,11,11,20,0,-999,-999,0
6.5,12,71,5,-62.6936,3,-93.7809,11,11,20,0,-999,-999,0
6.5,12,71,5,-62.6936,1,-94.3238,7,7,20,0,-999,-999,0
6.5,12,71,5,-62.6936,2,-95.699,3,3,20,0,-999,-999,0
6.5,12,71,5,-62.6936,7,-98.303,3,3,10,1,-999,-999,0
6.5,12,71,5,-62.6936,6,-99.7769,9,9,10,1,-999,-999,0
6.5,12,71,5,-62.6936,4,-121.079,7,7,20,0,-999,-999,0
6.5,13,50,1,-49.598,3,-45.3614,11,11,20,0,-999,-999,0
6.5,13,50,1,-49.598,2,-77.1043,3,3,20,0,-999,-999,0
6.5,13,50,1,-49.598,5,-80.2596,10,10,10,1,-999,-999,0
6.5,13,50,1,-49.598,7,-81.8043,3,3,10,1,-999,-999,0
6.5,13,50,1,-49.598,4,-97.349,7,7,20,0,-999,-999,0
6.5,13,50,1,-49.598,6,-100.001,9,9,10,1,-999,-999,0
6.5,14,72,5,-30.7291,7,-92.6937,3,3,10,1,-999,-999,0
6.5,14,72,5,-30.7291,1,-100.322,7,7,20,0,-999,-999,0
6.5,14,72,5,-30.7291,3,-104.02,11,11,20,0,-999,-999,0
6.5,14,72,5,-30.7291,2,-109.008,3,3,20,0,-999,-999,0
6.5,14,72,5,-30.7291,4,-116.718,7,7,20,0,-999,-999,0
6.5,14,72,5,-30.7291,6,-117.569,9,9,10,1,-999,-999,0
6.5,15,89,3,-56.2165,2,-52.4194,3,3,20,0,-999,-999,0
6.5,15,89,3,-56.2165,5,-60.4839,10,10,10,1,-999,-999,0
6.5,15,89,3,-56.2165,1,-61.9888,7,7,20,0,-999,-999,0
6.5,15,89,3,-56.2165,6,-93.5743,9,9,10,1,-999,-999,0
6.5,15,89,3,-56.2165,4,-93.9918,7,7,20,0,-999,-999,0
6.5,15,89,3,-56.2165,7,-98.7686,3,3,10,1,-999,-999,0
6.5,16,50,4,-42.5721,6,-48.5452,9,9,10,1,-999,-999,0
6.5,16,50,4,-42.5721,1,-90.9227,7,7,20,0,-999,-999,0
6.5,16,50,4,-42.5721,3,-94.2774,11,11,20,0,-999,-999,0
6.5,16,50,4,-42.5721,5,-97.682,10,10,10,1,-999,-999,0
6.5,16,50,4,-42.5721,7,-98.8808,3,3,10,1,-999,-999,0
6.5,16,50,4,-42.5721,2,-100.121,3,3,20,0,-999,-999,0
6.5,17,65,6,-79.3677,2,-65.6158,3,3,20,0,-999,-999,0
6.5,17,65,6,-79.3677,5,-75.8724,10,10,10,1,-999,-999,0
6.5,17,65,6,-79.3677,3,-87.4994,11,11,20,0,-999,-999,0
6.5,17,65,6,-79.3677,4,-88.8911,7,7,20,0,-999,-999,0
6.5,17,65,6,-79.3677,1,-90.0432,7,7,20,0,-999,-999,0
6.5,17,65,6,-79.3677,7,-91.7566,3,3,10,1,-999,-999,0
6.5,18,90,3,-63.5319,1,-56.1001,7,7,20,0,-999,-999,0
6.5,18,90,3,-63.5319,5,-87.3306,10,10,10,1,-999,-999,0
6.5,18,90,3,-63.5319,7,-90.3236,3,3,10,1,-999,-999,0
6.5,18,90,3,-63.5319,2,-90.6775,3,3,20,0,-999,-999,0
6.5,18,90,3,-63.5319,6,-102.197,9,9,10,1,-999,-999,0
6.5,18,90,3,-63.5319,4,-105.924,7,7,20,0,-999,-999,0
6.5,19,73,5,-60.6422,3,-68.2645,11,11,20,0,-999,-999,0
6.5,19,73,5,-60.6422,7,-81.1281,3,3,10,1,-999,-999,0
6.5,19,73,5,-60.6422,1,-85.6448,7,7,20,0,-999,-999,0
6.5,19,73,5,-60.6422,2,-94.3073,3,3,20,0,-999,-999,0
6.5,19,73,5,-60.6422,4,-104.435,7,7,20,0,-999,-999,0
6.5,19,73,5,-60.6422,6,-109.607,9,9,10,1,-999,-999,0
6.5,20,81,5,-40.1994,3,-51.1768,11,11,20,0,-999,-999,0
6.5,20,81,5,-40.1994,2,-66.2833,3,3,20,0,-999,-999,0
6.5,20,81,5,-40.1994,1,-83.3609,7,7,20,0,-999,-999,0
6.5,20,81,5,-40.1994,7,-90.5357,3,3,10,1,-999,-999,0
6.5,20,81,5,-40.1994,6,-101.191,9,9,10,1,-999,-999,0
6.5,20,81,5,-40.1994,4,-109.235,7,7,20,0,-999,-999,0
6.5,21,51,4,-40.0365,6,-83.1626,9,9,10,1,-999,-999,0
6.5,21,51,4,-40.0365,7,-87.1961,3,3,10,1,-999,-999,0
