reason,ue,curr,cand,rsrp
HO_FAIL_LOW_RSRP,179,7,4,-121.027
HO_FAIL_LOW_RSRP,91,8,13,-130.155
HO_FAIL_LOW_RSRP,159,9,13,-122.871
HO_FAIL_LOW_RSRP,82,7,13,-141.72
HO_FAIL_LOW_RSRP,29,3,9,-126.987
HO_FAIL_LOW_RSRP,215,5,9,-134.752
HO_FAIL_LOW_RSRP,19,12,14,-121.323
HO_FAIL_LOW_RSRP,35,6,5,-127.036
HO_FAIL_LOW_RSRP,211,3,12,-123.829
HO_FAIL_LOW_RSRP,218,5,12,-121.737
HO_FAIL_LOW_RSRP,19,6,12,-123.124
HO_FAIL_LOW_RSRP,38,2,12,-124.265
HO_FAIL_LOW_RSRP,71,2,13,-126.546
HO_FAIL_LOW_RSRP,108,8,13,-129.941
HO_FAIL_LOW_RSRP,137,5,13,-129.613
HO_FAIL_LOW_RSRP,166,5,12,-124.314
HO_FAIL_LOW_RSRP,241,5,13,-123.089
HO_FAIL_LOW_RSRP,63,3,14,-123.87
HO_FAIL_LOW_RSRP,91,8,13,-129.434
HO_FAIL_LOW_RSRP,107,9,12,-132.262
HO_FAIL_LOW_RSRP,128,2,3,-127.531
HO_FAIL_LOW_RSRP,190,12,14,-135.686
HO_FAIL_LOW_RSRP,206,5,14,-124.813
HO_FAIL_LOW_RSRP,15,8,3,-122
HO_FAIL_LOW_RSRP,35,2,5,-126.29
HO_FAIL_LOW_RSRP,150,1,6,-120.783
HO_FAIL_LOW_RSRP,44,6,12,-126.337
HO_FAIL_LOW_RSRP,63,3,13,-122.339
HO_FAIL_LOW_RSRP,74,7,9,-132.016
HO_FAIL_LOW_RSRP,84,7,9,-122.214
HO_FAIL_LOW_RSRP,125,4,13,-123.991
HO_FAIL_LOW_RSRP,180,7,9,-141.893
HO_FAIL_LOW_RSRP,220,3,13,-120.992
HO_FAIL_LOW_RSRP,225,4,12,-123.459
HO_FAIL_LOW_RSRP,15,8,4,-121.648
HO_FAIL_LOW_RSRP,19,3,5,-126.338
HO_FAIL_LOW_RSRP,38,2,6,-127.03
HO_FAIL_LOW_RSRP,42,3,8,-124.956
HO_FAIL_LOW_RSRP,47,1,9,-121.286
HO_FAIL_LOW_RSRP,53,1,13,-120.197
HO_FAIL_LOW_RSRP,84,7,9,-125.935
HO_FAIL_LOW_RSRP,96,4,8,-120.919
HO_FAIL_LOW_RSRP,98,5,13,-131.037
HO_FAIL_LOW_RSRP,137,5,9,-132.457
HO_FAIL_LOW_RSRP,190,2,8,-133.719
HO_FAIL_LOW_RSRP,205,7,8,-123.569
HO_FAIL_LOW_RSRP,243,8,12,-125.154
HO_FAIL_LOW_RSRP,63,3,12,-126.658
HO_FAIL_LOW_RSRP,91,8,13,-124.484
HO_FAIL_LOW_RSRP,93,6,9,-123.533
HO_FAIL_LOW_RSRP,110,14,9,-134.057
HO_FAIL_LOW_RSRP,205,7,8,-121.687
HO_FAIL_LOW_RSRP,42,3,5,-120.676
HO_FAIL_LOW_RSRP,60,14,12,-124.336
HO_FAIL_LOW_RSRP,69,2,9,-124.919
HO_FAIL_LOW_RSRP,85,5,12,-128.651
HO_FAIL_LOW_RSRP,99,4,13,-126.604
HO_FAIL_LOW_RSRP,125,4,9,-133.345
HO_FAIL_LOW_RSRP,193,13,9,-124.884
HO_FAIL_LOW_RSRP,194,6,9,-125.651
HO_FAIL_LOW_RSRP,206,5,12,-126.979
HO_FAIL_LOW_RSRP,224,6,2,-120.66
HO_FAIL_LOW_RSRP,77,1,9,-129.218
HO_FAIL_LOW_RSRP,137,5,11,-120.428
HO_FAIL_LOW_RSRP,205,7,8,-124.448
HO_FAIL_LOW_RSRP,209,8,6,-122.68
HO_FAIL_LOW_RSRP,219,7,12,-131.874
HO_FAIL_LOW_RSRP,77,1,6,-122.567
HO_FAIL_LOW_RSRP,147,5,11,-126.065
HO_FAIL_LOW_RSRP,178,1,9,-129.237
HO_FAIL_LOW_RSRP,190,2,11,-129.748
HO_FAIL_LOW_RSRP,220,3,11,-125.203
HO_FAIL_LOW_RSRP,230,4,13,-121.678
HO_FAIL_LOW_RSRP,231,7,13,-122.198
HO_FAIL_LOW_RSRP,233,3,9,-132.612
HO_FAIL_LOW_RSRP,239,5,13,-126.666
HO_FAIL_LOW_RSRP,240,8,13,-121.489
HO_FAIL_LOW_RSRP,63,3,11,-120.309
HO_FAIL_LOW_RSRP,122,12,11,-120.497
HO_FAIL_LOW_RSRP,153,3,14,-122.022
HO_FAIL_LOW_RSRP,179,7,9,-120.924
HO_FAIL_LOW_RSRP,180,7,9,-134.125
HO_FAIL_LOW_RSRP,209,8,3,-126.82
HO_FAIL_LOW_RSRP,234,3,7,-126.358
HO_FAIL_LOW_RSRP,239,5,14,-124.2
HO_FAIL_LOW_RSRP,22,4,14,-126.831
HO_FAIL_LOW_RSRP,37,11,12,-127.765
HO_FAIL_LOW_RSRP,70,1,9,-130.263
HO_FAIL_LOW_RSRP,115,5,12,-124.598
HO_FAIL_LOW_RSRP,125,4,12,-133.728
HO_FAIL_LOW_RSRP,157,2,3,-121.922
HO_FAIL_LOW_RSRP,178,1,12,-127.881
HO_FAIL_LOW_RSRP,190,2,6,-125.98
HO_FAIL_LOW_RSRP,202,5,12,-122.757
HO_FAIL_LOW_RSRP,209,8,12,-120.037
HO_FAIL_LOW_RSRP,210,4,6,-123.474
HO_FAIL_LOW_RSRP,213,13,14,-127.24
HO_FAIL_LOW_RSRP,240,8,14,-135.678
