time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
12.5,17,16,3,-91.4765,11,-118.168,0,0,10,1,-999,-999,0
12.5,17,16,3,-91.4765,5,-119.39,0,0,20,0,-999,-999,0
12.5,17,16,3,-91.4765,10,-127.04,2,2,10,1,-999,-999,0
12.5,17,16,3,-91.4765,13,-130.529,1,1,10,1,-999,-999,0
12.5,17,16,3,-91.4765,9,-133.387,2,2,10,1,-999,-999,0
12.5,17,16,3,-91.4765,4,-134.992,0,0,20,0,-999,-999,0
12.5,17,16,3,-91.4765,8,-136.13,1,1,20,0,-999,-999,0
12.5,17,16,3,-91.4765,6,-139.946,4,4,20,0,-999,-999,0
12.5,17,16,3,-91.4765,14,-143.088,1,1,10,1,-999,-999,0
12.5,17,16,3,-91.4765,2,-145.013,2,2,20,0,-999,-999,0
12.5,17,16,3,-91.4765,1,-145.18,2,2,20,0,-999,-999,0
12.5,17,16,3,-91.4765,12,-148.064,1,1,10,1,-999,-999,0
12.5,17,16,3,-91.4765,7,-157.028,0,0,20,0,-999,-999,0
12.5,19,8,8,-112.97,6,-84.9703,4,4,20,0,-999,-999,0
12.5,19,8,8,-112.97,9,-85.3073,2,2,10,1,-999,-999,0
12.5,19,8,8,-112.97,4,-88.085,0,0,20,0,-999,-999,0
12.5,19,8,8,-112.97,5,-111.332,0,0,20,0,-999,-999,0
12.5,19,8,8,-112.97,12,-128.098,1,1,10,1,-999,-999,0
12.5,19,8,8,-112.97,3,-130.685,2,2,20,0,-999,-999,0
12.5,19,8,8,-112.97,1,-132.535,2,2,20,0,-999,-999,0
12.5,19,8,8,-112.97,13,-133.703,1,1,10,1,-999,-999,0
12.5,19,8,8,-112.97,2,-135.305,2,2,20,0,-999,-999,0
12.5,19,8,8,-112.97,10,-135.766,2,2,10,1,-999,-999,0
12.5,19,8,8,-112.97,11,-137.976,0,0,10,1,-999,-999,0
12.5,19,8,8,-112.97,14,-147.3,1,1,10,1,-999,-999,0
12.5,19,8,8,-112.97,7,-150.711,0,0,20,0,-999,-999,0
12.5,23,8,13,-108.166,9,-101.44,2,2,10,1,-999,-999,0
12.5,23,8,13,-108.166,4,-112.089,0,0,20,0,-999,-999,0
12.5,23,8,13,-108.166,3,-120.236,2,2,20,0,-999,-999,0
12.5,23,8,13,-108.166,2,-122.137,2,2,20,0,-999,-999,0
12.5,23,8,13,-108.166,6,-123.623,4,4,20,0,-999,-999,0
12.5,23,8,13,-108.166,8,-133.176,1,1,20,0,-999,-999,0
12.5,23,8,13,-108.166,10,-141.635,2,2,10,1,-999,-999,0
12.5,23,8,13,-108.166,12,-142.117,1,1,10,1,-999,-999,0
12.5,23,8,13,-108.166,7,-142.197,0,0,20,0,-999,-999,0
12.5,23,8,13,-108.166,5,-142.413,0,0,20,0,-999,-999,0
12.5,23,8,13,-108.166,1,-144.011,2,2,20,0,-999,-999,0
12.5,23,8,13,-108.166,14,-144.209,1,1,10,1,-999,-999,0
12.5,23,8,13,-108.166,11,-147.45,0,0,10,1,-999,-999,0
12.5,25,16,10,-117.697,4,-124.961,0,0,20,0,-999,-999,0
12.5,25,16,10,-117.697,6,-126.744,4,4,20,0,-999,-999,0
12.5,25,16,10,-117.697,9,-129.466,2,2,10,1,-999,-999,0
12.5,25,16,10,-117.697,1,-130.84,2,2,20,0,-999,-999,0
12.5,25,16,10,-117.697,8,-130.933,1,1,20,0,-999,-999,0
12.5,25,16,10,-117.697,2,-135.215,2,2,20,0,-999,-999,0
12.5,25,16,10,-117.697,3,-140.183,2,2,20,0,-999,-999,0
12.5,25,16,10,-117.697,7,-141.302,0,0,20,0,-999,-999,0
12.5,25,16,10,-117.697,13,-142.149,1,1,10,1,-999,-999,0
12.5,25,16,10,-117.697,5,-145.187,0,0,20,0,-999,-999,0
12.5,25,16,10,-117.697,12,-145.57,1,1,10,1,-999,-999,0
12.5,25,16,10,-117.697,14,-151.704,1,1,10,1,-999,-999,0
12.5,25,16,10,-117.697,11,-154.306,0,0,10,1,-999,-999,0
12.5,27,8,14,-133.75,2,-96.3467,2,2,20,0,-999,-999,0
12.5,27,8,14,-133.75,1,-99.6155,2,2,20,0,-999,-999,0
12.5,27,8,14,-133.75,3,-107.275,2,2,20,0,-999,-999,0
12.5,27,8,14,-133.75,5,-123.279,0,0,20,0,-999,-999,0
12.5,27,8,14,-133.75,6,-129.737,4,4,20,0,-999,-999,0
12.5,27,8,14,-133.75,11,-130.863,0,0,10,1,-999,-999,0
12.5,27,8,14,-133.75,10,-136.109,2,2,10,1,-999,-999,0
12.5,27,8,14,-133.75,9,-136.987,2,2,10,1,-999,-999,0
12.5,27,8,14,-133.75,12,-137.782,1,1,10,1,-999,-999,0
12.5,27,8,14,-133.75,4,-143.507,0,0,20,0,-999,-999,0
12.5,27,8,14,-133.75,8,-146.52,1,1,20,0,-999,-999,0
12.5,27,8,14,-133.75,13,-148.907,1,1,10,1,-999,-999,0
12.5,27,8,14,-133.75,7,-154.652,0,0,20,0,-999,-999,0
12.5,28,16,1,-105.085,6,-92.9192,4,4,20,0,-999,-999,0
12.5,28,16,1,-105.085,12,-98.1446,1,1,10,1,-999,-999,0
12.5,28,16,1,-105.085,2,-110.461,2,2,20,0,-999,-999,0
12.5,28,16,1,-105.085,10,-118.995,2,2,10,1,-999,-999,0
12.5,28,16,1,-105.085,7,-120.646,0,0,20,0,-999,-999,0
12.5,28,16,1,-105.085,9,-126.229,2,2,10,1,-999,-999,0
12.5,28,16,1,-105.085,4,-129.28,0,0,20,0,-999,-999,0
12.5,28,16,1,-105.085,8,-137.851,1,1,20,0,-999,-999,0
12.5,28,16,1,-105.085,3,-139.722,2,2,20,0,-999,-999,0
12.5,28,16,1,-105.085,13,-139.936,1,1,10,1,-999,-999,0
12.5,28,16,1,-105.085,5,-147.86,0,0,20,0,-999,-999,0
