Time,UE,Delay,Jitter,Throughput,PDR,PLR
2,0,0,0,0,0,0
2,1,0,0,0,0,0
2,2,0,0,0,0,0
2,3,0,0,0,0,0
2,4,0,0,0,0,0
2,5,0,0,0,0,0
2,6,0,0,0,0,0
2,7,0,0,0,0,0
2,8,0,0,0,0,0
2,9,0,0,0,0,0
2,10,0,0,0,0,0
2,11,0,0,0,0,0
2,12,0,0,0,0,0
2,13,0,0,0,0,0
2,14,0,0,0,0,0
2,15,0,0,0,0,0
2,16,0,0,0,0,0
2,17,0,0,0,0,0
2,18,0,0,0,0,0
2,19,0,0,0,0,0
2,20,0,0,0,0,0
2,21,0,0,0,0,0
2,22,0,0,0,0,0
2,23,0,0,0,0,0
2,24,0,0,0,0,0
2,25,0,0,0,0,0
2,26,0,0,0,0,0
2,27,0,0,0,0,0
2,28,0,0,0,0,0
2,29,0,0,0,0,0
2,30,0,0,0,0,0
2,31,0,0,0,0,0
2,32,0,0,0,0,0
2,33,0,0,0,0,0
2,34,0,0,0,0,0
2,35,0,0,0,0,0
2,36,0,0,0,0,0
2,37,0,0,0,0,0
2,38,0,0,0,0,0
2,39,0,0,0,0,0
2,40,0,0,0,0,0
2,41,0,0,0,0,0
2,42,0,0,0,0,0
2,43,0,0,0,0,0
2,44,0,0,0,0,0
2,45,0,0,0,0,0
2,46,0,0,0,0,0
2,47,0,0,0,0,0
2,48,0,0,0,0,0
2,49,0,0,0,0,0
2,50,0,0,0,0,0
2,51,0,0,0,0,0
2,52,0,0,0,0,0
2,53,0,0,0,0,0
2,54,0,0,0,0,0
2,55,0,0,0,0,0
2,56,0,0,0,0,0
2,57,0,0,0,0,0
2,58,0,0,0,0,0
2,59,0,0,0,0,0
2,60,0,0,0,0,0
2,61,0,0,0,0,0
2,62,0,0,0,0,0
2,63,0,0,0,0,0
2,64,0,0,0,0,0
2,65,0,0,0,0,0
2,66,0,0,0,0,0
2,67,0,0,0,0,0
2,68,0,0,0,0,0
2,69,0,0,0,0,0
2,70,0,0,0,0,0
2,71,0,0,0,0,0
2,72,0,0,0,0,0
2,73,0,0,0,0,0
2,74,0,0,0,0,0
4,0,0.136518,0.0277303,0.21392,56.4516,43.5484
4,1,0.111933,0.0303784,0.36672,73.1707,26.8293
4,2,0.122326,0.0316071,0.317824,59.0909,40.9091
4,3,0.140914,0.0247766,0.036672,8.82353,91.1765
4,4,0.119521,0.0326886,0.287264,61.039,38.961
4,5,0.142952,0.0484248,0.171136,32.9412,67.0588
4,6,0.113088,0.0307956,0.3056,66.6667,33.3333
4,7,0.0684986,0.0190075,0.433952,71.7172,28.2828
4,8,0.125405,0.0289616,0.21392,53.0303,46.9697
4,9,0.0343849,0.0112874,0.507296,92.2222,7.77778
4,10,0.0851024,0.0207778,0.33616,74.3243,25.6757
4,11,0.105247,0.0242373,0.220032,58.0645,41.9355
4,12,0.00399195,0.000220325,0.440064,100,0
4,13,0.158606,0.0371367,0.171136,31.8182,68.1818
4,14,0.131736,0.0326653,0.226144,57.8125,42.1875
4,15,0.134627,0.035553,0.207808,56.6667,43.3333
4,16,0.102237,0.0296816,0.293376,67.6056,32.3944
4,17,0.0275674,0.00995698,0.391168,94.1176,5.88235
4,18,0.153011,0.0465574,0.18336,34.4828,65.5172
4,19,0.12389,0.0277177,0.287264,57.3171,42.6829
4,20,0.139288,0.0297665,0.293376,58.5366,41.4634
4,21,0.147677,0.0342593,0.140576,30.2632,69.7368
4,22,0.134816,0.0304688,0.189472,34.8315,65.1685
4,23,0.127677,0.0412898,0.103904,20.9877,79.0123
4,24,0.10599,0.0352563,0.165024,50,50
4,25,0.00548373,0.00209576,0.354496,98.3051,1.69492
