Time,UE,Delay,Jitter,Throughput,PDR,PLR
2,0,0,0,0,0,0
2,1,0,0,0,0,0
2,2,0,0,0,0,0
2,3,0,0,0,0,0
2,4,0,0,0,0,0
2,5,0,0,0,0,0
2,6,0,0,0,0,0
2,7,0,0,0,0,0
2,8,0,0,0,0,0
2,9,0,0,0,0,0
2,10,0,0,0,0,0
2,11,0,0,0,0,0
2,12,0,0,0,0,0
2,13,0,0,0,0,0
2,14,0,0,0,0,0
2,15,0,0,0,0,0
2,16,0,0,0,0,0
2,17,0,0,0,0,0
2,18,0,0,0,0,0
2,19,0,0,0,0,0
2,20,0,0,0,0,0
2,21,0,0,0,0,0
2,22,0,0,0,0,0
2,23,0,0,0,0,0
2,24,0,0,0,0,0
2,25,0,0,0,0,0
2,26,0,0,0,0,0
2,27,0,0,0,0,0
2,28,0,0,0,0,0
2,29,0,0,0,0,0
2,30,0,0,0,0,0
2,31,0,0,0,0,0
2,32,0,0,0,0,0
2,33,0,0,0,0,0
2,34,0,0,0,0,0
2,35,0,0,0,0,0
2,36,0,0,0,0,0
2,37,0,0,0,0,0
2,38,0,0,0,0,0
2,39,0,0,0,0,0
2,40,0,0,0,0,0
2,41,0,0,0,0,0
2,42,0,0,0,0,0
2,43,0,0,0,0,0
2,44,0,0,0,0,0
2,45,0,0,0,0,0
2,46,0,0,0,0,0
2,47,0,0,0,0,0
2,48,0,0,0,0,0
2,49,0,0,0,0,0
4,0,0.166397,0.0312687,0.146688,24.2424,75.7576
4,1,0.157284,0.0267193,0.281152,56.0976,43.9024
4,2,0.196109,0.0108129,0.03056,7.14286,92.8571
4,3,0.151395,0.0386527,0.171136,45.1613,54.8387
4,4,0.128354,0.0401925,0.18336,36.5854,63.4146
4,5,0.11485,0.028562,0.268928,55,45
4,6,0.0115196,0.00357648,0.385056,98.4375,1.5625
4,7,0.138523,0.0358836,0.207808,45.3333,54.6667
4,8,0.13593,0.02968,0.27504,48.913,51.087
4,9,0.170826,0.0381373,0.158912,36.6197,63.3803
4,10,0.110238,0.0391775,0.250592,58.5714,41.4286
4,11,0.121034,0.0420891,0.201696,41.25,58.75
4,12,0.119333,0.0290488,0.268928,57.1429,42.8571
4,13,0.134282,0.035023,0.103904,19.7674,80.2326
4,14,0.146214,0.03269,0.110016,27.2727,72.7273
4,15,0.138887,0.0198463,0.055008,12,88
4,16,0.15632,0.0350686,0.067232,16.6667,83.3333
4,17,0.140863,0.0309841,0.226144,41.573,58.427
4,18,0.134509,0.0347638,0.226144,57.8125,42.1875
4,19,0.141546,0.0221258,0.226144,50,50
4,20,0.0755099,0.0240512,0.299488,84.4828,15.5172
4,21,0.115917,0.0418934,0.165024,43.5484,56.4516
4,22,0.109798,0.0245809,0.299488,55.6818,44.3182
4,23,0.132295,0.029688,0.201696,39.759,60.241
4,24,0.130511,0.024214,0.18336,40,60
4,25,0.103869,0.0304448,0.281152,60.5263,39.4737
4,26,0.115968,0.0339091,0.232256,43.6782,56.3218
4,27,0.14225,0.0247989,0.103904,30.9091,69.0909
4,28,0.178319,0.008,0.018336,4.61538,95.3846
4,29,0.15907,0.0310811,0.134464,31.4286,68.5714
4,30,0.137377,0.0292438,0.158912,34.2105,65.7895
4,31,0.141851,0.0355887,0.134464,29.3333,70.6667
4,32,0.149622,0.0305698,0.134464,36.0656,63.9344
4,33,0.169936,0.0356136,0.226144,35.9223,64.0777
4,34,0.127488,0.0286458,0.281152,50.5495,49.4505
4,35,0.132867,0.0371924,0.171136,38.8889,61.1111
4,36,0.185644,0.0161314,0.012224,2.89855,97.1014
4,37,0.148309,0.0216,0.06112,14.7059,85.2941
4,38,0.143075,0.0683164,0.06112,12.8205,87.1795
