Time,UE,Delay,Jitter,Throughput,PDR,PLR
2,0,0,0,0,0,0
2,1,0,0,0,0,0
2,2,0,0,0,0,0
2,3,0,0,0,0,0
2,4,0,0,0,0,0
2,5,0,0,0,0,0
2,6,0,0,0,0,0
2,7,0,0,0,0,0
2,8,0,0,0,0,0
2,9,0,0,0,0,0
2,10,0,0,0,0,0
2,11,0,0,0,0,0
2,12,0,0,0,0,0
2,13,0,0,0,0,0
2,14,0,0,0,0,0
2,15,0,0,0,0,0
2,16,0,0,0,0,0
2,17,0,0,0,0,0
2,18,0,0,0,0,0
2,19,0,0,0,0,0
2,20,0,0,0,0,0
2,21,0,0,0,0,0
2,22,0,0,0,0,0
2,23,0,0,0,0,0
2,24,0,0,0,0,0
2,25,0,0,0,0,0
2,26,0,0,0,0,0
2,27,0,0,0,0,0
2,28,0,0,0,0,0
2,29,0,0,0,0,0
2,30,0,0,0,0,0
2,31,0,0,0,0,0
2,32,0,0,0,0,0
2,33,0,0,0,0,0
2,34,0,0,0,0,0
2,35,0,0,0,0,0
2,36,0,0,0,0,0
2,37,0,0,0,0,0
2,38,0,0,0,0,0
2,39,0,0,0,0,0
2,40,0,0,0,0,0
2,41,0,0,0,0,0
2,42,0,0,0,0,0
2,43,0,0,0,0,0
2,44,0,0,0,0,0
2,45,0,0,0,0,0
2,46,0,0,0,0,0
2,47,0,0,0,0,0
2,48,0,0,0,0,0
2,49,0,0,0,0,0
2,50,0,0,0,0,0
2,51,0,0,0,0,0
2,52,0,0,0,0,0
2,53,0,0,0,0,0
2,54,0,0,0,0,0
2,55,0,0,0,0,0
2,56,0,0,0,0,0
2,57,0,0,0,0,0
2,58,0,0,0,0,0
2,59,0,0,0,0,0
2,60,0,0,0,0,0
2,61,0,0,0,0,0
2,62,0,0,0,0,0
2,63,0,0,0,0,0
2,64,0,0,0,0,0
2,65,0,0,0,0,0
2,66,0,0,0,0,0
2,67,0,0,0,0,0
2,68,0,0,0,0,0
2,69,0,0,0,0,0
2,70,0,0,0,0,0
2,71,0,0,0,0,0
2,72,0,0,0,0,0
2,73,0,0,0,0,0
2,74,0,0,0,0,0
4,0,0.143531,0.0291233,0.220032,58.0645,41.9355
4,1,0.106405,0.0378856,0.33616,67.0732,32.9268
4,2,0.119967,0.0325626,0.299488,55.6818,44.3182
4,3,0.148914,0.0237802,0.018336,4.41176,95.5882
4,4,0.11984,0.0289666,0.299488,63.6364,36.3636
4,5,0.155675,0.0296332,0.201696,38.8235,61.1765
4,6,0.0972362,0.0223219,0.293376,64,36
4,7,0.0841144,0.0257447,0.42784,70.7071,29.2929
4,8,0.115512,0.0282208,0.21392,53.0303,46.9697
4,9,0.0470227,0.0133999,0.507296,92.2222,7.77778
4,10,0.126757,0.0266603,0.311712,68.9189,31.0811
4,11,0.0888643,0.0316282,0.262816,69.3548,30.6452
4,12,0.00399195,0.000220325,0.440064,100,0
4,13,0.177132,0.0489568,0.165024,30.6818,69.3182
4,14,0.13187,0.0313943,0.195584,50,50
4,15,0.128724,0.0283105,0.232256,63.3333,36.6667
4,16,0.11107,0.0369733,0.293376,67.6056,32.3944
4,17,0.0629911,0.019716,0.360608,86.7647,13.2353
4,18,0.178151,0.0271069,0.238368,44.8276,55.1724
4,19,0.131792,0.0294385,0.27504,54.878,45.122
4,20,0.149154,0.0339726,0.268928,53.6585,46.3415
4,21,0.163851,0.0224506,0.195584,42.1053,57.8947
4,22,0.135061,0.026749,0.18336,33.7079,66.2921
4,23,0.106306,0.0339152,0.128352,25.9259,74.0741
4,24,0.131653,0.0294724,0.128352,38.8889,61.1111
4,25,0.00548373,0.00209576,0.354496,98.3051,1.69492
