Time,UE,Delay,Jitter,Throughput,PDR,PLR
2,0,0,0,0,0,0
2,1,0,0,0,0,0
2,2,0,0,0,0,0
2,3,0,0,0,0,0
2,4,0,0,0,0,0
2,5,0,0,0,0,0
2,6,0,0,0,0,0
2,7,0,0,0,0,0
2,8,0,0,0,0,0
2,9,0,0,0,0,0
2,10,0,0,0,0,0
2,11,0,0,0,0,0
2,12,0,0,0,0,0
2,13,0,0,0,0,0
2,14,0,0,0,0,0
2,15,0,0,0,0,0
2,16,0,0,0,0,0
2,17,0,0,0,0,0
2,18,0,0,0,0,0
2,19,0,0,0,0,0
2,20,0,0,0,0,0
2,21,0,0,0,0,0
2,22,0,0,0,0,0
2,23,0,0,0,0,0
2,24,0,0,0,0,0
2,25,0,0,0,0,0
2,26,0,0,0,0,0
2,27,0,0,0,0,0
2,28,0,0,0,0,0
2,29,0,0,0,0,0
2,30,0,0,0,0,0
2,31,0,0,0,0,0
2,32,0,0,0,0,0
2,33,0,0,0,0,0
2,34,0,0,0,0,0
2,35,0,0,0,0,0
2,36,0,0,0,0,0
2,37,0,0,0,0,0
2,38,0,0,0,0,0
2,39,0,0,0,0,0
2,40,0,0,0,0,0
2,41,0,0,0,0,0
2,42,0,0,0,0,0
2,43,0,0,0,0,0
2,44,0,0,0,0,0
2,45,0,0,0,0,0
2,46,0,0,0,0,0
2,47,0,0,0,0,0
2,48,0,0,0,0,0
2,49,0,0,0,0,0
4,0,0.0814598,0.0345976,0.042784,53.8462,46.1538
4,1,0.0220096,0.0241356,0.048896,72.7273,27.2727
4,2,0.047749,0.029473,0.067232,68.75,31.25
4,3,0.0497444,0.052039,0.067232,61.1111,38.8889
4,4,0.0293549,0.0282418,0.036672,54.5455,45.4545
4,5,0.0781181,0.0167808,0.06112,55.5556,44.4444
4,6,0.0487995,0.0422436,0.085568,70,30
4,7,0.00443458,0.000469642,0.085568,100,0
4,8,0.00402069,0.000469015,0.085568,100,0
4,9,0.0146391,0.0148818,0.085568,93.3333,6.66667
4,10,0.0543773,0.0529244,0.042784,46.6667,53.3333
4,11,0.0617066,0.0593689,0.055008,64.2857,35.7143
4,12,0.0258158,0.0313626,0.079456,86.6667,13.3333
4,13,0.0162767,0.0175284,0.073344,92.3077,7.69231
4,14,0.0216026,0.0254547,0.097792,88.8889,11.1111
4,15,0.0644247,0.0525624,0.055008,50,50
4,16,0.0592299,0.0492305,0.042784,63.6364,36.3636
4,17,0.079767,0.0518543,0.03056,31.25,68.75
4,18,0.00393375,0.000638621,0.085568,100,0
4,19,0.0162854,0.0161414,0.073344,92.3077,7.69231
4,20,0.0359365,0.0272718,0.073344,70.5882,29.4118
4,21,0.0586085,0.0506451,0.042784,41.1765,58.8235
4,22,0.00461431,0.000638529,0.103904,100,0
4,23,0.0370195,0.0427138,0.079456,81.25,18.75
4,24,0.00397421,0.000554715,0.085568,100,0
4,25,0.0243908,0.0159386,0.073344,85.7143,14.2857
4,26,0.0815202,0.0557829,0.036672,46.1538,53.8462
4,27,0.00438434,0.000696517,0.067232,100,0
4,28,0.0226222,0.0271797,0.09168,88.2353,11.7647
4,29,0.0426549,0.0595188,0.06112,66.6667,33.3333
4,30,0.0150238,0.0158719,0.079456,92.8571,7.14286
4,31,0.0994873,0.0203547,0.03056,27.7778,72.2222
4,32,0.0802901,0.0233834,0.024448,44.4444,55.5556
4,33,0.103218,0.0866754,0.018336,20,80
4,34,0.00408615,0.000520291,0.085568,100,0
4,35,0.0673342,0.0592346,0.042784,50,50
4,36,0.0196059,0.0225971,0.110016,90,10
4,37,0.035628,0.0405489,0.073344,80,20
4,38,0.0519697,0.0405179,0.079456,72.2222,27.7778
