Time,UE,Delay,Jitter,Throughput,PDR,PLR
2,0,0,0,0,0,0
2,1,0,0,0,0,0
2,2,0,0,0,0,0
2,3,0,0,0,0,0
2,4,0,0,0,0,0
2,5,0,0,0,0,0
2,6,0,0,0,0,0
2,7,0,0,0,0,0
2,8,0,0,0,0,0
2,9,0,0,0,0,0
2,10,0,0,0,0,0
2,11,0,0,0,0,0
2,12,0,0,0,0,0
2,13,0,0,0,0,0
2,14,0,0,0,0,0
2,15,0,0,0,0,0
2,16,0,0,0,0,0
2,17,0,0,0,0,0
2,18,0,0,0,0,0
2,19,0,0,0,0,0
2,20,0,0,0,0,0
2,21,0,0,0,0,0
2,22,0,0,0,0,0
2,23,0,0,0,0,0
2,24,0,0,0,0,0
2,25,0,0,0,0,0
2,26,0,0,0,0,0
2,27,0,0,0,0,0
2,28,0,0,0,0,0
2,29,0,0,0,0,0
2,30,0,0,0,0,0
2,31,0,0,0,0,0
2,32,0,0,0,0,0
2,33,0,0,0,0,0
2,34,0,0,0,0,0
2,35,0,0,0,0,0
2,36,0,0,0,0,0
2,37,0,0,0,0,0
2,38,0,0,0,0,0
2,39,0,0,0,0,0
2,40,0,0,0,0,0
2,41,0,0,0,0,0
2,42,0,0,0,0,0
2,43,0,0,0,0,0
2,44,0,0,0,0,0
2,45,0,0,0,0,0
2,46,0,0,0,0,0
2,47,0,0,0,0,0
2,48,0,0,0,0,0
2,49,0,0,0,0,0
2,50,0,0,0,0,0
2,51,0,0,0,0,0
2,52,0,0,0,0,0
2,53,0,0,0,0,0
2,54,0,0,0,0,0
2,55,0,0,0,0,0
2,56,0,0,0,0,0
2,57,0,0,0,0,0
2,58,0,0,0,0,0
2,59,0,0,0,0,0
2,60,0,0,0,0,0
2,61,0,0,0,0,0
2,62,0,0,0,0,0
2,63,0,0,0,0,0
2,64,0,0,0,0,0
2,65,0,0,0,0,0
2,66,0,0,0,0,0
2,67,0,0,0,0,0
2,68,0,0,0,0,0
2,69,0,0,0,0,0
2,70,0,0,0,0,0
2,71,0,0,0,0,0
2,72,0,0,0,0,0
2,73,0,0,0,0,0
2,74,0,0,0,0,0
4,0,0.0198056,0.0137909,0.09168,88.2353,11.7647
4,1,0.0276137,0.0272436,0.073344,85.7143,14.2857
4,2,0.0763041,0.0393969,0.06112,55.5556,44.4444
4,3,0.0220282,0.0242899,0.048896,72.7273,27.2727
4,4,0.0539588,0.0467359,0.042784,38.8889,61.1111
4,5,0.00405371,0.000639047,0.085568,100,0
4,6,0.0432616,0.0440467,0.067232,68.75,31.25
4,7,0.0483952,0.0315352,0.067232,68.75,31.25
4,8,0.0439417,0.0328456,0.079456,68.4211,31.5789
4,9,0.0387148,0.0314228,0.067232,68.75,31.25
4,10,0.0448098,0.0346314,0.073344,63.1579,36.8421
4,11,0.0733183,0.0477528,0.042784,58.3333,41.6667
4,12,0.044968,0.0466706,0.048896,50,50
4,13,0.0607249,0.0494442,0.073344,66.6667,33.3333
4,14,0.0299317,0.036829,0.067232,84.6154,15.3846
4,15,0.0610828,0.0321791,0.036672,60,40
4,16,0.0254719,0.0312221,0.079456,86.6667,13.3333
4,17,0.053873,0.025,0.024448,21.0526,78.9474
4,18,0.0100489,0.0116522,0.048896,50,50
4,19,0.0510253,0.0472673,0.067232,68.75,31.25
4,20,0.0508975,0.0258769,0.03056,45.4545,54.5455
4,21,0.0275844,0.0261597,0.073344,80,20
4,22,0.0149852,0.0159845,0.079456,86.6667,13.3333
4,23,0.00415841,0.000405853,0.103904,89.4737,10.5263
4,24,0.0390224,0.0333314,0.067232,78.5714,21.4286
4,25,0.0150293,0.0159903,0.079456,92.8571,7.14286
