Time,UE,Delay,Jitter,Throughput,PDR,PLR
2,0,0,0,0,0,0
2,1,0,0,0,0,0
2,2,0,0,0,0,0
2,3,0,0,0,0,0
2,4,0,0,0,0,0
2,5,0,0,0,0,0
2,6,0,0,0,0,0
2,7,0,0,0,0,0
2,8,0,0,0,0,0
2,9,0,0,0,0,0
2,10,0,0,0,0,0
2,11,0,0,0,0,0
2,12,0,0,0,0,0
2,13,0,0,0,0,0
2,14,0,0,0,0,0
2,15,0,0,0,0,0
2,16,0,0,0,0,0
2,17,0,0,0,0,0
2,18,0,0,0,0,0
2,19,0,0,0,0,0
2,20,0,0,0,0,0
2,21,0,0,0,0,0
2,22,0,0,0,0,0
2,23,0,0,0,0,0
2,24,0,0,0,0,0
2,25,0,0,0,0,0
2,26,0,0,0,0,0
2,27,0,0,0,0,0
2,28,0,0,0,0,0
2,29,0,0,0,0,0
2,30,0,0,0,0,0
2,31,0,0,0,0,0
2,32,0,0,0,0,0
2,33,0,0,0,0,0
2,34,0,0,0,0,0
2,35,0,0,0,0,0
2,36,0,0,0,0,0
2,37,0,0,0,0,0
2,38,0,0,0,0,0
2,39,0,0,0,0,0
2,40,0,0,0,0,0
2,41,0,0,0,0,0
2,42,0,0,0,0,0
2,43,0,0,0,0,0
2,44,0,0,0,0,0
2,45,0,0,0,0,0
2,46,0,0,0,0,0
2,47,0,0,0,0,0
2,48,0,0,0,0,0
2,49,0,0,0,0,0
4,0,0.0113361,0.00345185,0.385056,98.4375,1.5625
4,1,0.103793,0.0296691,0.378944,60.7843,39.2157
4,2,0.140352,0.0374177,0.293376,55.1724,44.8276
4,3,0.116605,0.0284815,0.3056,60.9756,39.0244
4,4,0.0178622,0.00638094,0.403392,95.6522,4.34783
4,5,0.00423448,0.000470221,0.537856,100,0
4,6,0.0098649,0.00309861,0.464512,98.7013,1.2987
4,7,0.0970492,0.0316994,0.268928,68.75,31.25
4,8,0.0504357,0.0180928,0.36672,90.9091,9.09091
4,9,0.0945224,0.0284111,0.342272,66.6667,33.3333
4,10,0.122007,0.0261862,0.293376,59.2593,40.7407
4,11,0.124156,0.0275382,0.177248,36.7089,63.2911
4,12,0.095914,0.0211844,0.323936,67.9487,32.0513
4,13,0.0815932,0.0277714,0.3056,69.4444,30.5556
4,14,0.107838,0.026002,0.250592,70.6897,29.3103
4,15,0.129181,0.0245821,0.33616,72.3684,27.6316
4,16,0.110189,0.0258254,0.299488,69.0141,30.9859
4,17,0.133443,0.0364721,0.085568,20,80
4,18,0.104057,0.0529524,0.018336,3.44828,96.5517
4,19,0.142504,0.0325538,0.250592,40.1961,59.8039
4,20,0,0,0,0,100
4,21,0.107017,0.0257993,0.293376,64.8649,35.1351
4,22,0.114513,0.0328654,0.232256,38.7755,61.2245
4,23,0.110492,0.0355226,0.281152,46,54
4,24,0.122559,0.0280425,0.18336,46.875,53.125
4,25,0.099054,0,0.006112,1.49254,98.5075
4,26,0.139738,0.0302047,0.158912,33.7662,66.2338
4,27,0.175177,0.012,0.036672,7.89474,92.1053
4,28,0.151218,0.0362053,0.073344,13.7931,86.2069
4,29,0.18547,0.041012,0.079456,18.8406,81.1594
4,30,0.0877474,0.0211923,0.311712,71.831,28.169
4,31,0.143183,0.026,0.012224,2.5641,97.4359
4,32,0.106459,0.0302376,0.232256,63.3333,36.6667
4,33,0.153384,0.0372805,0.1528,38.4615,61.5385
4,34,0.123524,0.0395199,0.226144,51.3889,48.6111
4,35,0.0040268,0.000285781,0.501184,100,0
4,36,0.122181,0.0521066,0.073344,14.4578,85.5422
4,37,0.154516,0.02494,0.140576,29.1139,70.8861
4,38,0.0913503,0.0297519,0.342272,76.7123,23.2877
