DataStatus,EastM,NorthM,PredictedProbability
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,-950,0.035927410789668754
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,-850,0.03958038783876143
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,-750,0.017541587257818715
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,-650,0.02125817534562625
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,-550,0.03978429573114528
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,-450,0.02224055543485079
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,-350,0.037138475904782565
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,-250,0.006014212605220056
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,-150,0.03544908868973841
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,-50,0.05585800382982427
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,50,0.017728667229458088
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,150,0.007898611274282787
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,250,0.0186316312375552
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,350,0.06369580068343653
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,450,0.04850055953437675
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,550,0.023215726693412028
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,650,0.04632280937655672
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,750,0.03254428796488237
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,850,0.033052707101778364
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-950,950,0.03136714656319382
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-850,-950,0.03275063034991285
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-850,-850,0.01323108714209491
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-850,-750,0.019327345582625298
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,-850,-650,0.03199935356701542
