DataStatus,PredictionHorizonS,SyntheticSeed,CellSample,TrueLabel,PredictedProbability
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,0,0,0.06954580889433383
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,1,0,0.04890972741407745
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,2,0,0.10935037295453465
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,3,0,0.15405434874622212
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,4,0,0.0964225789903805
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,5,0,0.6786925223597937
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,6,0,0.4153375421752271
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,7,0,0.2074500655222852
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,8,0,0.21463697890444527
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,9,0,0.07269346074759793
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,10,0,0.39135389761677836
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,11,0,0.20120020609045577
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,12,0,0.18459266475955258
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,13,0,0.3078980429349273
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,14,0,0.11669479742005551
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,15,1,0.5891442698462093
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,16,0,0.11800825568518294
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,17,0,0.2884142670679261
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,18,0,0.04619474950824848
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,19,0,0.011999700102787003
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,20,0,0.15866969543849108
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,21,0,0.17811200296717825
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,22,0,0.10861107906130377
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,23,0,0.3398847145159755
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,24,0,0.15213040585504878
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,25,0,0.16177552301340664
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,26,0,0.08791606646361003
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,27,0,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,28,0,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,29,0,0.30084029120606376
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,30,1,0.7134416813550237
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,31,0,0.11258472917139586
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,32,0,0.20748152891396898
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,33,0,0.2159034894103348
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,34,0,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,35,0,0.1809609125592408
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,36,0,0.36197850465088854
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,37,0,0.026972695613216587
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,38,0,0.24883075562471346
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,39,0,0.10778526663327742
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,40,1,0.5217551059829941
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,41,0,0.10346616604158856
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,42,0,0.2864732944884736
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,43,0,0.126732460138473
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,44,0,0.3458385119753251
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,45,0,0.21876468185957185
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,46,0,0.3078919125053084
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,47,0,0.01559123185217031
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,48,0,0.10944575162656472
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,49,1,0.5740898242802144
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,50,0,0.042211117517808636
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,51,0,0.3040157346503075
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,52,0,0.24018227116730684
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,53,0,0.16515422181560016
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,54,0,0.11142455835843634
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,55,1,0.40838802976012545
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,56,0,0.21614084156449329
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,57,0,0.19311375064965314
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,58,0,0.11443231667198275
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,59,0,0.6184310535878184
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,60,0,0.22080707244279454
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,61,0,0.21350522528704713
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,62,0,0.43870915497438434
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,63,0,0.07220916308283543
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,64,0,0.06262142349613414
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,65,0,0.01829235164510149
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,66,0,0.13001154909451162
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,67,0,0.16371564412171344
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,68,0,0.15161886107211303
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,69,0,0.3334365725087237
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,70,1,0.7099476114213148
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,71,0,0.16812217972174287
