Threshold,Precision,Recall,F1,DataStatus,PredictionHorizonS
0.0,0.16271428571428573,1.0,0.27988696400049146,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.005,0.167278601850492,1.0,0.2866129843985909,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.01,0.1681677247896058,1.0,0.2879170879676441,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.015,0.16926735027492942,1.0,0.2895271987798679,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.02,0.17053451115436444,1.0,0.29137886927602974,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.025,0.1722104626549743,1.0,0.2938217464207404,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.03,0.17384004884004883,1.0,0.29619035235990115,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.035,0.1753386699507389,1.0,0.29836280288146694,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.04,0.17752493765586036,1.0,0.30152217074784915,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.045,0.1797947908445146,1.0,0.3047899384533048,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.05,0.18212344099776143,1.0,0.3081293115108887,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.055,0.18424458104173408,1.0,0.31115967763966673,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.06,0.18687448728465955,1.0,0.31490185236383744,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.065,0.18977007664111964,1.0,0.3190029407645988,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.07,0.19278943805010157,1.0,0.32325812402440757,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.075,0.19641317468529057,1.0,0.3283366964543096,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.08,0.19985962449552552,1.0,0.33313834454518865,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.085,0.20332024277043914,1.0,0.3379320575582258,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.09,0.20739257101238165,1.0,0.34353792791434173,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.095,0.21226239284383153,1.0,0.35019215987701763,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.1,0.2167047184170472,1.0,0.3562157935887412,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.105,0.22103628954007373,1.0,0.3620470438652257,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.11,0.22532146389713156,1.0,0.367775266386826,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.115,0.23066018631024707,1.0,0.37485601448082934,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.12,0.23581780538302277,1.0,0.38163846540459034,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.125,0.24014336917562723,1.0,0.3872832369942197,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.13,0.2438450010704346,1.0,0.3920826161790017,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.135,0.24868995633187774,1.0,0.3983213848574925,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.14,0.254014272970562,1.0,0.40512182109194383,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.145,0.2592171142467,1.0,0.4117115488884872,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.15,0.26500697999069334,1.0,0.4189810557292625,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.155,0.2701612903225806,1.0,0.4253968253968254,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.16,0.2757869249394673,1.0,0.4323401024862403,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.165,0.28214020312112953,1.0,0.4401081916537867,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.17,0.28982188295165395,1.0,0.449398303412902,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.17500000000000002,0.2959210184463497,1.0,0.4566960705693665,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.18,0.3033288948069241,1.0,0.4654679199019207,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.185,0.30976339407125375,1.0,0.47300664451827246,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.19,0.31718184349763295,1.0,0.48160676532769553,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.195,0.32487164860239587,1.0,0.4904198062432723,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.2,0.3326518691588785,1.0,0.4992329607714223,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.20500000000000002,0.34173417341734175,1.0,0.509391771019678,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.21,0.3497083205403746,1.0,0.5181983621474068,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.215,0.35671782023175697,1.0,0.525854108956602,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.22,0.3649471323293816,1.0,0.5347417840375587,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.225,0.37528830313014827,1.0,0.5457594633445136,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.23,0.3841483979763912,1.0,0.5550682261208577,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.23500000000000001,0.39302967563837127,1.0,0.5642804062422591,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.24,0.40233133168491697,1.0,0.5738035264483626,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.245,0.4101548433561397,1.0,0.5817160367722165,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.25,0.41967575534266766,1.0,0.5912276148455748,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.255,0.42948717948717946,1.0,0.600896860986547,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.26,0.43993820007724993,1.0,0.6110515021459227,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.265,0.45288270377733597,1.0,0.6234263820470717,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.27,0.46128901499797326,0.9991220368744512,0.6311702717692734,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.275,0.4700536968194961,0.9991220368744512,0.6393258426966293,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.28,0.483843537414966,0.9991220368744512,0.6519621884846749,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.28500000000000003,0.4937093275488069,0.9991220368744512,0.6608594657375145,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.29,0.5046604527296937,0.9982440737489026,0.6704009433962264,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.295,0.5147125396106835,0.9982440737489026,0.6792114695340501,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.3,0.5249307479224377,0.9982440737489026,0.6880484114977307,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.305,0.5368271954674221,0.9982440737489026,0.6981885170402211,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.31,0.5490575157080715,0.9973661106233538,0.7082294264339152,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.315,0.5598817151306063,0.9973661106233538,0.7171717171717171,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.32,0.5731584258324924,0.9973661106233538,0.7279718039090035,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.325,0.5825641025641025,0.9973661106233538,0.7355131110391712,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.33,0.5982095839915745,0.9973661106233538,0.7478604344963792,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.335,0.6098871574422353,0.9964881474978051,0.7566666666666666,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.34,0.618995633187773,0.9956101843722563,0.7633793335577247,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.34500000000000003,0.6288888888888889,0.9938542581211589,0.7703300442327322,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.35000000000000003,0.6413597733711048,0.9938542581211589,0.7796143250688705,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.355,0.6522491349480969,0.9929762949956101,0.7873303167420814,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.36,0.6617905207723815,0.9929762949956101,0.7942415730337078,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.365,0.6724137931034483,0.9929762949956101,0.8018433179723502,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.37,0.6846246973365617,0.9929762949956101,0.810462199928341,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.375,0.6942909760589319,0.9929762949956101,0.8171965317919074,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.38,0.7065081351689612,0.9912203687445127,0.824990865911582,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.385,0.7181933842239185,0.9912203687445127,0.8329029878273699,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.39,0.7268041237113402,0.990342405618964,0.8383500557413601,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.395,0.7345075016307893,0.9885864793678666,0.842814371257485,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.4,0.741424802110818,0.9868305531167691,0.8467043314500942,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.405,0.7525150905432596,0.9850746268656716,0.8532319391634982,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.41000000000000003,0.7598371777476255,0.9833187006145742,0.8572522005357825,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.41500000000000004,0.7692307692307693,0.9833187006145742,0.8631984585741812,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.42,0.778397212543554,0.9806848112379281,0.867909867909868,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.425,0.7888418079096046,0.9806848112379281,0.8743639921722114,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.43,0.7938877043354655,0.9806848112379281,0.8774548311076198,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.435,0.8038932948810382,0.9789288849868305,0.8828186856690419,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
0.44,0.8149231894659839,0.9780509218612818,0.8890662410215483,SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2
