DataStatus,UavIndex,TimeS,EastM,NorthM
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,12,-85.0,55.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,14,-104.14256053284153,77.15955152519305
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,16,-123.36593587010518,98.89686834174968
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,18,-142.7487363990169,119.83547142336086
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,20,-162.36522380316495,139.6854347702193
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,22,-182.28328539735733,158.27480338976426
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,24,-202.5625823386429,175.56822728828172
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,26,-223.2529222254721,191.67079219123548
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,28,-244.3929004762499,206.8166318743396
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,30,-266.00884754693254,221.34355613600036
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,32,-288.1141107048273,235.6564438639996
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,34,-310.7086899499342,250.1833681256604
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,36,-333.7792380149458,265.3292078087645
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,38,-357.29942444390605,281.4317727117182
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,40,-381.2306538184099,298.72519661023574
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,42,-405.52311854000703,317.3145652297806
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,44,-430.11715745164844,337.1645285766391
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,46,-454.9448832385262,358.1031316582502
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,48,-479.932034217052,379.8404484748069
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1,50,-505.0,402.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,12,50.14647772654214,90.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,14,76.83139369080236,108.45820393249937
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,16,103.11048304378536,126.55342302750968
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,18,128.96086852214995,143.95820393249937
